,Topic 0
117,determinator/0.0006859097047708929
118,villainousbreakdown/0.0006834688247181475
119,wideopensandbox/0.0006761462427675724
120,mindscrew/0.0006761462427675724
121,mygodwhathaveidone/0.0006737053627148271
122,creatorcameo/0.0006737053627148271
123,whamshot/0.0006737053627148271
124,bagofspilling/0.0006688236026093364
125,videogamesof20102014/0.0006688236026093364
126,blandnameproduct/0.0006615009624511003
127,spiritualsuccessor/0.0006590601406060159
128,fateworsethandeath/0.0006541783805005252
129,madeofiron/0.0006517375004477799
130,bigdamnheroes/0.0006419739802367985
131,ruleofthree/0.0006370922783389688
132,haveanicedeath/0.0006370922783389688
133,sequencebreaking/0.0006346513982862234
134,takeathirdoption/0.0006322105182334781
135,playercharacter/0.0006322105182334781
136,tagline/0.0006322105182334781
137,callforward/0.0006322105182334781
138,cutsceneincompetence/0.0006297696381807327
139,finalboss/0.0006273287581279874
140,bigno/0.0006273287581279874
141,jumpscare/0.000624887878075242
142,adultfear/0.000617565237917006
143,sarcasmmode/0.000617565237917006
144,eldritchabomination/0.000617565237917006
145,downerbeginning/0.000617565237917006
146,petthedog/0.0006151243578642607
147,heroicmime/0.0006151243578642607
148,adventuregame/0.0006126834778115153
149,ascendedextra/0.00061024259775877
150,selfdeprecation/0.0006053608958609402
151,zigzaggingtrope/0.0006053608958609402
152,stealthbasedmission/0.0006029200158081949
153,surprisinglyrealisticoutcome/0.0006004791357554495
154,nevertrustatrailer/0.0005980382557027042
155,soundtrackdissonance/0.0005980382557027042
156,damnyoumusclememory/0.0005955973756499588
157,retcon/0.0005955973756499588
158,itsawonderfulfailure/0.0005955973756499588
159,mercykill/0.0005907156155444682
160,heroicbsod/0.0005907156155444682
161,stupidityistheonlyoption/0.0005882747936993837
162,youhaveoutlivedyourusefulness/0.000583393033593893
163,impaledwithextremeprejudice/0.000583393033593893
164,pressxtodie/0.0005809521535411477
165,thebadguywins/0.0005809521535411477
166,evilversusevil/0.0005785112734884024
167,invokedtrope/0.0005785112734884024
168,nocelebritieswereharmed/0.0005785112734884024
169,anachronismstew/0.000576070393435657
170,groinattack/0.000576070393435657
171,eyescream/0.000576070393435657
172,foregoneconclusion/0.0005736295133829117
173,funwithacronyms/0.000568747753277421
174,unusuallyuninterestingsight/0.000568747753277421
175,faceheelturn/0.0005663069314323366
176,killemall/0.0005663069314323366
177,leitmotif/0.0005663069314323366
178,fandisservice/0.0005565434112213552
179,mooks/0.0005565434112213552
180,villainprotagonist/0.0005565434112213552
181,hopespot/0.0005565434112213552
182,enemymine/0.0005541025311686099
183,controllablehelplessness/0.0005516616511158645
184,sequelescalation/0.0005516616511158645
185,madscientist/0.0005516616511158645
186,paperthindisguise/0.0005492207710631192
187,absurdlyspacioussewer/0.0005492207710631192
188,catchphrase/0.0005492207710631192
189,genreshift/0.0005492207710631192
190,corruptcorporateexecutive/0.0005467799492180347
191,downloadablecontent/0.0005467799492180347
192,bloodlesscarnage/0.0005443390691652894
193,shaggydogstory/0.0005443390691652894
194,noticethis/0.0005443390691652894
195,macguffin/0.0005443390691652894
196,frombadtoworse/0.0005418981891125441
197,artshift/0.0005370164290070534
198,failureistheonlyoption/0.0005370164290070534
199,cloudcuckoolander/0.0005370164290070534
200,nothingisscarier/0.0005370164290070534
201,goldenending/0.0005321346689015627
202,thatoneachievement/0.0005321346689015627
203,updatedrerelease/0.0005321346689015627
204,affablyevil/0.0005248120869509876
205,productplacement/0.0005248120869509876
206,fortheevulz/0.0005223712068982422
207,trialanderrorgameplay/0.0005223712068982422
208,laserguidedkarma/0.0005199303268454969
209,freezeframebonus/0.0005174894467927516
210,badassboast/0.0005174894467927516
211,berserkbutton/0.0005126076866872609
212,sadisticchoice/0.0005077259847894311
213,playingwithatrope/0.0005077259847894311
214,itmakessenseincontext/0.0005077259847894311
215,missioncontrol/0.0005077259847894311
216,onehitkill/0.0005052851047366858
217,chekhovsgunman/0.0005052851047366858
218,assholevictim/0.0005052851047366858
219,bigbadensemble/0.0005052851047366858
220,loadsandloadsofloading/0.0005004033446311951
221,badboss/0.0005004033446311951
222,collectionsidequest/0.0005004033446311951
223,antihero/0.0004979624645784497
224,feelies/0.0004955215845257044
225,catharsisfactor/0.0004955215845257044
226,bowdlerise/0.000493080704472959
227,baitandswitch/0.000493080704472959
228,apocalypticlog/0.0004906398244202137
229,puzzleboss/0.0004906398244202137
230,deconstruction/0.0004906398244202137
231,curbstompbattle/0.0004881989734712988
232,youbastard/0.0004881989734712988
233,theguardsmustbecrazy/0.00048575809341855347
234,scenerygorn/0.0004833172424696386
235,notsodifferentremark/0.0004833172424696386
236,idiotball/0.0004833172424696386
237,invertedtrope/0.0004833172424696386
238,nicejobfixingitvillain/0.00048087636241689324
239,theendoftheworldasweknowit/0.00048087636241689324
240,actionizedsequel/0.0004784354823641479
241,tookalevelinbadass/0.00047599460231140256
242,suspiciouslyspecificdenial/0.00047599460231140256
243,hypocriticalhumor/0.00047599460231140256
244,colourcodedforyourconvenience/0.0004735537513624877
245,ironicecho/0.00047111287130974233
246,thereasonyousuckspeech/0.00047111287130974233
247,imahumanitarian/0.000468671991256997
248,timeskip/0.000468671991256997
249,lefthanging/0.00046623111120425165
250,earlybirdcameo/0.00046623111120425165
251,funnybackgroundevent/0.00046379026025533676
252,batmangambit/0.00046379026025533676
253,heroantagonist/0.00046379026025533676
254,camerascrew/0.00046379026025533676
255,ghost/0.0004613493802025914
256,gorydiscretionshot/0.0004613493802025914
257,youalllookfamiliar/0.0004613493802025914
258,evillaugh/0.0004613493802025914
259,captainobvious/0.0004613493802025914
260,trailersalwaysspoil/0.0004613493802025914
261,wouldhurtachild/0.0004613493802025914
262,itspersonal/0.0004589085001498461
263,unwittingpawn/0.00045646762009710073
264,nooshacompliance/0.00045646762009710073
265,despaireventhorizon/0.00045646762009710073
266,centraltheme/0.00045646762009710073
267,interquel/0.00045402676914818585
268,previousplayercharactercameo/0.0004515858890954405
269,offwithhishead/0.0004515858890954405
270,theunreveal/0.0004515858890954405
271,scarechord/0.00044914500904269516
272,wellintentionedextremist/0.00044914500904269516
273,eldritchlocation/0.00044914500904269516
274,escortmission/0.0004467041289899498
275,actionadventure/0.0004467041289899498
276,apocalypsehow/0.0004467041289899498
277,abortedarc/0.0004467041289899498
278,itsuptoyou/0.0004467041289899498
279,poorcommunicationkills/0.0004467041289899498
280,dirtycoward/0.00044426327804103494
281,implacableman/0.00044426327804103494
282,gainaxending/0.0004418223979882896
283,latearrivalspoiler/0.0004418223979882896
284,cutsceneboss/0.0004418223979882896
285,mundaneutility/0.0004418223979882896
286,sequelnumbersnarl/0.0004418223979882896
287,justifiedtutorial/0.0004418223979882896
288,artisticlicensebiology/0.00043938151793554425
289,hypocrite/0.00043938151793554425
290,lastlousypoint/0.0004369406378827989
291,allfornothing/0.0004369406378827989
292,guiltbasedgaming/0.0004369406378827989
293,denserandwackier/0.000434499786933884
294,savescumming/0.000434499786933884
295,anyonecandie/0.000434499786933884
296,continueyourmissiondammit/0.000434499786933884
297,blackandgraymorality/0.0004320589068811387
298,annoyingvideogamehelper/0.0004320589068811387
299,punchclockvillain/0.0004320589068811387
300,damselindistress/0.0004320589068811387
301,vaporware/0.0004320589068811387
302,reallife/0.0004320589068811387
303,friendlyfandoms/0.0004320589068811387
304,andtheadventurecontinues/0.00042961802682839334
305,evilsoundsdeep/0.00042961802682839334
306,ungratefulbastard/0.000427177146775648
307,theverydefinitelyfinaldungeon/0.000427177146775648
308,unexplainedrecovery/0.00042473626672290266
309,canadianmedia/0.00042473626672290266
310,numberedsequels/0.00042473626672290266
311,backfromthedead/0.00042473626672290266
312,contestedsequel/0.00042473626672290266
313,artificialstupidity/0.00042229541577398777
314,compilationrerelease/0.00042229541577398777
315,cliffhanger/0.00042229541577398777
316,bottomlessmagazines/0.00042229541577398777
317,howwegothere/0.0004174136556684971
318,punctuatedforemphasis/0.0004174136556684971
319,featurelessprotagonist/0.00041497277561575174
320,dialoguetree/0.00041497277561575174
321,heroofanotherstory/0.00041497277561575174
322,boringbutpractical/0.00041253192466683686
323,ascendedmeme/0.00041253192466683686
324,variablemix/0.0004100910446140915
325,posthumouscharacter/0.0004100910446140915
326,bloodierandgorier/0.0004100910446140915
327,departmentofredundancydepartment/0.0004100910446140915
328,onlysaneman/0.0004100910446140915
329,characterdevelopment/0.0004076501645613462
330,insistentterminology/0.00040520928450860083
331,hiddendepths/0.00040520928450860083
332,continuitysnarl/0.00040520928450860083
333,nintendohard/0.00040520928450860083
334,overlylonggag/0.00040276843355968595
335,alternatecontinuity/0.00040276843355968595
336,youhaveresearchedbreathing/0.00040276843355968595
337,evilishammy/0.00040276843355968595
338,squick/0.00040276843355968595
339,anticlimaxboss/0.00040276843355968595
340,hideyourchildren/0.00040276843355968595
341,disneydeath/0.0004003275535069406
342,shoottheshaggydog/0.0004003275535069406
343,gamewithinagame/0.0004003275535069406
344,andthenjohnwasazombie/0.00039788667345419526
345,villainwithgoodpublicity/0.00039788667345419526
346,stealthbasedgame/0.00039788667345419526
347,cutscene/0.00039788667345419526
348,demotedtoextra/0.0003954457934014499
349,whereitallbegan/0.00039300494245253503
350,killedoffforreal/0.00039300494245253503
351,cuttingtheknot/0.0003905640623997897
352,youhavefailedme/0.0003905640623997897
353,themole/0.0003905640623997897
354,ruleofcool/0.00038812318234704435
355,boomheadshot/0.00038812318234704435
356,cruelandunusualdeath/0.00038812318234704435
357,policeareuseless/0.00038812318234704435
358,forscience/0.00038812318234704435
359,spannerintheworks/0.000385682302294299
360,stylisticsuck/0.000385682302294299
361,tronlines/0.000385682302294299
362,hammerspace/0.000385682302294299
363,offscreenmomentofawesome/0.000385682302294299
364,finalbattle/0.0003832414513453841
365,smugsnake/0.0003832414513453841
366,crueltyistheonlyoption/0.0003832414513453841
367,dirtycop/0.0003832414513453841
368,establishingcharactermoment/0.0003832414513453841
369,zombieapocalypse/0.0003832414513453841
370,licensedgame/0.0003808005712926388
371,gottacatchthemall/0.0003808005712926388
372,coversalwayslie/0.0003808005712926388
373,inmediasres/0.0003808005712926388
374,aiisacrapshoot/0.00037835969123989344
375,ourzombiesaredifferent/0.00037835969123989344
376,hyperspacearsenal/0.00037835969123989344
377,kleptomaniachero/0.00037835969123989344
378,deliberatelymonochrome/0.00037835969123989344
379,actionprologue/0.00037835969123989344
380,actiongirl/0.00037835969123989344
381,homage/0.00037835969123989344
382,missingsecret/0.00037835969123989344
383,freudianexcuse/0.00037835969123989344
384,gaidengame/0.00037835969123989344
385,doubleentendre/0.0003759188111871481
386,onewomanwail/0.0003759188111871481
387,niceguy/0.0003734779602382332
388,visualpun/0.0003734779602382332
389,doomedbycanon/0.0003734779602382332
390,obviousbeta/0.0003734779602382332
391,unreliablenarrator/0.0003734779602382332
392,unwinnable/0.0003734779602382332
393,takingyouwithme/0.0003734779602382332
394,deathisaslaponthewrist/0.00037103708018548787
395,onceperepisode/0.00037103708018548787
396,noholdsbarredbeatdown/0.00037103708018548787
397,failedaspotcheck/0.00037103708018548787
398,broadstrokes/0.00037103708018548787
399,newgameplus/0.0003685962001327425
400,neverfoundthebody/0.0003685962001327425
401,brokenbridge/0.0003685962001327425
402,artificialbrilliance/0.0003685962001327425
403,extremelyshorttimespan/0.0003685962001327425
404,voiceofthelegion/0.0003685962001327425
405,laughingmad/0.0003685962001327425
406,crapsaccharineworld/0.0003661553200799972
407,forwantofanail/0.0003661553200799972
408,playableepilogue/0.0003661553200799972
409,loopholeabuse/0.0003661553200799972
410,whydontyoujustshoothim/0.0003661553200799972
411,railroading/0.0003661553200799972
412,luckbasedmission/0.0003661553200799972
413,nofaircheating/0.0003661553200799972
414,bondoneliner/0.0003661553200799972
415,twentyminutesintothefuture/0.0003637144691310823
416,diabolusexmachina/0.0003637144691310823
417,badasslongcoat/0.0003637144691310823
418,unwinnablebydesign/0.0003637144691310823
419,thebuscameback/0.0003637144691310823
420,ruleofsymbolism/0.0003637144691310823
421,truthintelevision/0.0003637144691310823
422,mushroomsamba/0.0003637144691310823
423,humanoidabomination/0.00036127358907833695
424,disconefinalboss/0.00036127358907833695
425,onestevelimit/0.00036127358907833695
426,goshdangittoheck/0.00036127358907833695
427,suspiciouslysimilarsubstitute/0.00036127358907833695
428,badassnormal/0.00036127358907833695
429,nonamegiven/0.0003588327090255916
430,halfthemanheusedtobe/0.0003588327090255916
431,anaesop/0.0003588327090255916
432,epicfail/0.00035639182897284627
433,antivillain/0.00035639182897284627
434,killitwithfire/0.00035639182897284627
435,unexpectedlyrealisticgameplay/0.00035639182897284627
436,heknowstoomuch/0.00035639182897284627
437,everythingtryingtokillyou/0.00035639182897284627
438,disneyvillaindeath/0.00035639182897284627
439,jerkwithaheartofgold/0.0003539509780239314
440,ludicrousgibs/0.0003539509780239314
441,braggingrightsreward/0.0003539509780239314
442,refugeinaudacity/0.00035151009797118604
443,prequel/0.00035151009797118604
444,wholeplotreference/0.00035151009797118604
445,gorn/0.0003490692179184407
446,videogamesofthe1990s/0.0003490692179184407
447,coldbloodedtorture/0.0003490692179184407
448,notquitedead/0.0003490692179184407
449,cosmeticaward/0.0003490692179184407
450,deathseeker/0.0003490692179184407
451,theatoner/0.0003490692179184407
452,pyrrhicvictory/0.0003490692179184407
453,gameover/0.0003490692179184407
454,thevoiceless/0.00034662833786569536
455,hublevel/0.00034662833786569536
456,themanydeathsofyou/0.00034662833786569536
457,plothole/0.00034662833786569536
458,ambiguoussituation/0.00034662833786569536
459,suddenlyvoiced/0.00034418748691678047
460,onlyinitforthemoney/0.00034418748691678047
461,themanbehindtheman/0.00034418748691678047
462,showwithinashow/0.00034418748691678047
463,offscreenteleportation/0.00034418748691678047
464,fatbastard/0.00034418748691678047
465,ruleoffunny/0.00034418748691678047
466,storytogameplayratio/0.00034418748691678047
467,nocanonforthewicked/0.00034418748691678047
468,alljustadream/0.00034174660686403513
469,breadeggsmilksquick/0.00034174660686403513
470,gonehorriblyright/0.00034174660686403513
471,breatherlevel/0.00034174660686403513
472,revenge/0.00034174660686403513
473,beatemup/0.00034174660686403513
474,rewatchbonus/0.00034174660686403513
475,laughablyevil/0.0003393057268112898
476,bigbadduumvirate/0.0003393057268112898
477,pixelhunt/0.0003393057268112898
478,realisbrown/0.0003393057268112898
479,theunfought/0.00033686484675854445
480,karmicdeath/0.00033686484675854445
481,oocisseriousbusiness/0.00033686484675854445
482,sanityslippage/0.00033686484675854445
483,megacorp/0.00033686484675854445
484,troll/0.00033686484675854445
485,karmameter/0.00033442399580962956
486,schrodingersgun/0.00033442399580962956
487,tomatointhemirror/0.00033442399580962956
488,maybemagicmaybemundane/0.00033442399580962956
489,shutuphannibal/0.00033442399580962956
490,saymyname/0.00033442399580962956
491,videogamesofthe2020s/0.00033442399580962956
492,fauxaffablyevil/0.00033442399580962956
493,arcnumber/0.0003319831157568842
494,actorallusion/0.0003319831157568842
495,lastsecondendingchoice/0.0003319831157568842
496,glowingeyesofdoom/0.0003319831157568842
497,anarmandaleg/0.0003319831157568842
498,mortonsfork/0.0003319831157568842
499,deadallalong/0.0003319831157568842
500,fantasticdrug/0.0003295422357041389
501,acceptablebreaksfromreality/0.0003295422357041389
502,chaosarchitecture/0.0003295422357041389
503,dungeonbypass/0.0003295422357041389
504,riddlefortheages/0.0003295422357041389
505,doublemeaningtitle/0.00032710135565139353
506,cosmichorrorstory/0.00032710135565139353
507,bizarrchitecture/0.00032710135565139353
508,aliensky/0.00032710135565139353
509,thealcoholic/0.00032710135565139353
510,easilyforgiven/0.00032710135565139353
511,crazyprepared/0.00032710135565139353
512,suspiciousvideogamegenerosity/0.00032710135565139353
513,thedreaded/0.00032710135565139353
514,signatureline/0.00032710135565139353
515,improvisedweapon/0.00032710135565139353
516,doortobefore/0.00032710135565139353
517,womblevel/0.00032466050470247865
518,moonlogicpuzzle/0.00032466050470247865
519,mrexposition/0.00032466050470247865
520,hurricaneofpuns/0.00032466050470247865
521,nofourthwall/0.00032466050470247865
522,framingdevice/0.0003222196246497333
523,grievousharmwithabody/0.0003222196246497333
524,authoravatar/0.0003222196246497333
525,fivesecondforeshadowing/0.0003222196246497333
526,actionsurvivor/0.0003222196246497333
527,easyleveltrick/0.00031977874459698796
528,itsallaboutme/0.00031977874459698796
529,fromnobodytonightmare/0.00031977874459698796
530,contrivedcoincidence/0.00031977874459698796
531,clusterfbomb/0.00031977874459698796
532,comicallymissingthepoint/0.0003173378645442426
533,vomitindiscretionshot/0.0003173378645442426
534,survivalhorror/0.0003173378645442426
535,enemychatter/0.0003173378645442426
536,defiedtrope/0.00031489701359532773
537,baldofevil/0.00031489701359532773
538,collapsinglair/0.00031489701359532773
539,yourheadasplode/0.00031489701359532773
540,softwater/0.00031489701359532773
541,loadingscreen/0.00031489701359532773
542,cassandratruth/0.0003124561335425824
543,biggood/0.0003124561335425824
544,heelrealization/0.0003124561335425824
545,sillinessswitch/0.0003124561335425824
546,reasonableauthorityfigure/0.0003100152825936675
547,battleinthecenterofthemind/0.0003100152825936675
548,combatpragmatist/0.0003100152825936675
549,mindrape/0.0003100152825936675
550,remixedlevel/0.0003100152825936675
551,storybranching/0.0003100152825936675
552,genrethrowback/0.0003100152825936675
553,menaretheexpendablegender/0.0003100152825936675
554,doublesubversion/0.0003100152825936675
555,eleventhhoursuperpower/0.0003100152825936675
556,everybodysdeaddave/0.00030757440254092216
557,aluminumchristmastrees/0.00030757440254092216
558,teethclenchedteamwork/0.00030757440254092216
559,zeroeffortboss/0.00030757440254092216
560,uniqueenemy/0.00030757440254092216
561,emptyroompsych/0.00030757440254092216
562,necksnap/0.00030757440254092216
563,youarealreadydead/0.00030757440254092216
564,redshirtarmy/0.00030757440254092216
565,achievementmockery/0.0003051335224881768
566,greyandgraymorality/0.0003051335224881768
567,cyberpunk/0.0003051335224881768
568,expositionfairy/0.0003051335224881768
569,redeyestakewarning/0.0003051335224881768
570,hellisthatnoise/0.0003051335224881768
571,onemanarmy/0.0003051335224881768
572,papawolf/0.0003026926424354315
573,thelastoftheseisnotliketheothers/0.0003026926424354315
574,nevermyfault/0.0003026926424354315
575,casualdangerdialog/0.0003026926424354315
576,blownacrosstheroom/0.0003026926424354315
577,dramaticirony/0.0003026926424354315
578,paintingthemedium/0.0003026926424354315
579,properlyparanoid/0.0003026926424354315
580,seriousbusiness/0.0003026926424354315
581,happyendingoverride/0.0003026926424354315
582,noflowincgi/0.0003026926424354315
583,autosave/0.0003002517914865166
584,alaspoorvillain/0.0003002517914865166
585,storybreadcrumbs/0.0003002517914865166
586,dressingastheenemy/0.0003002517914865166
587,toilethumour/0.0003002517914865166
588,leparkour/0.0003002517914865166
589,easymodemockery/0.0003002517914865166
590,gamemod/0.0003002517914865166
591,hewhofightsmonsters/0.00029781091143377125
592,meaningfulbackgroundevent/0.00029781091143377125
593,anachronicorder/0.00029781091143377125
594,bullettime/0.00029781091143377125
595,darkesthour/0.00029781091143377125
596,horrorvideogames/0.0002953700313810259
597,deathischeap/0.0002953700313810259
598,checkpointstarvation/0.0002953700313810259
599,buffyspeak/0.0002953700313810259
600,evilplan/0.0002953700313810259
601,duetothedead/0.0002953700313810259
602,cardcarryingvillain/0.0002953700313810259
603,elaborateundergroundbase/0.0002953700313810259
604,informedattribute/0.00029292915132828057
605,nobodypoops/0.00029292915132828057
606,seriescontinuityerror/0.00029292915132828057
607,awesomebutimpractical/0.00029292915132828057
608,meleeatrois/0.00029292915132828057
609,grandfinale/0.00029292915132828057
610,didntthinkthisthrough/0.00029292915132828057
611,drowningmysorrows/0.00029292915132828057
612,everyonehasstandards/0.0002904883003793657
613,honorbeforereason/0.0002904883003793657
614,shareduniverse/0.0002904883003793657
615,voodooshark/0.0002904883003793657
616,doesnotlikeshoes/0.0002904883003793657
617,malevolentarchitecture/0.0002904883003793657
618,malevolentmaskedmen/0.0002904883003793657
619,stoppednumberingsequels/0.00028804742032662034
620,dullsurprise/0.00028804742032662034
621,rememberthenewguy/0.00028804742032662034
622,superdrowningskills/0.00028804742032662034
623,tearjerker/0.00028804742032662034
624,mediumawareness/0.00028804742032662034
625,videogameperversitypotential/0.00028804742032662034
626,wretchedhive/0.00028804742032662034
627,sidetrackedbythegoldsaucer/0.000285606540273875
628,copyprotection/0.000285606540273875
629,harderthanhard/0.000285606540273875
630,undyingloyalty/0.000285606540273875
631,thefaceless/0.000285606540273875
632,earlyinstallmentweirdness/0.000285606540273875
633,revengebeforereason/0.000285606540273875
634,thereisnokilllikeoverkill/0.000285606540273875
635,serialkiller/0.000285606540273875
636,theunintelligible/0.000285606540273875
637,artificiallimbs/0.000285606540273875
638,affectionateparody/0.00028316566022112966
639,productionforeshadowing/0.00028316566022112966
640,stuffblowingup/0.00028316566022112966
641,shiptease/0.00028316566022112966
642,somethingcompletelydifferent/0.00028316566022112966
643,knighttemplar/0.00028316566022112966
644,namestorunawayfromreallyfast/0.00028316566022112966
645,obviouslyevil/0.00028316566022112966
646,timetravel/0.00028316566022112966
647,cutscenepowertothemax/0.00028072480927221477
648,lawyerfriendlycameo/0.00028072480927221477
649,pacmanfever/0.00028072480927221477
650,senselesssacrifice/0.00028072480927221477
651,finalexamboss/0.00028072480927221477
652,preorderbonus/0.00028072480927221477
653,mundanemadeawesome/0.00028072480927221477
654,percussivemaintenance/0.00028072480927221477
655,notthefallthatkillsyou/0.00027828392921946943
656,takethataudience/0.00027828392921946943
657,youdontlooklikeyou/0.00027828392921946943
658,acclaimedflop/0.00027828392921946943
659,tropenamers/0.00027828392921946943
660,developmentgag/0.00027828392921946943
661,addedalliterativeappeal/0.00027828392921946943
662,evilallalong/0.00027828392921946943
663,villainhasapoint/0.00027828392921946943
664,fridgelogic/0.0002758430491667241
665,defictionalization/0.0002758430491667241
666,castinggag/0.0002758430491667241
667,vocaldissonance/0.0002758430491667241
668,everyonecallshimbarkeep/0.0002758430491667241
669,notevenbotheringwiththeaccent/0.0002758430491667241
670,solesurvivor/0.0002758430491667241
671,skewedpriorities/0.0002758430491667241
672,msfanservice/0.0002758430491667241
673,unwittinginstigatorofdoom/0.0002758430491667241
674,aerithandbob/0.0002758430491667241
675,noonecouldsurvivethat/0.0002758430491667241
676,thestarscream/0.0002758430491667241
677,recursivecanon/0.00027340216911397874
678,breatherepisode/0.00027340216911397874
679,adaptedout/0.00027340216911397874
680,wecanruletogether/0.00027340216911397874
681,fetchquest/0.00027340216911397874
682,evenevilhaslovedones/0.00027340216911397874
683,itsshortsoitsucks/0.00027340216911397874
684,optionalsexualencounter/0.00027096131816506386
685,elitemooks/0.00027096131816506386
686,justforpun/0.00027096131816506386
687,memeticmutation/0.00027096131816506386
688,dynamicloading/0.00027096131816506386
689,downthedrain/0.00027096131816506386
690,droneofdread/0.00027096131816506386
691,thedogbitesback/0.00027096131816506386
692,speakingsimlish/0.00027096131816506386
693,multidiscwork/0.00027096131816506386
694,becarefulwhatyouwishfor/0.00027096131816506386
695,ascendtoahigherplaneofexistence/0.00027096131816506386
696,herewegoagain/0.00027096131816506386
697,fakelongevity/0.00027096131816506386
698,artisticlicensegeography/0.0002685204381123185
699,theendorisit/0.0002685204381123185
700,chainsawgood/0.0002685204381123185
701,adaptationalvillainy/0.0002685204381123185
702,fridgehorror/0.0002685204381123185
