,Topic 8,Topic 9,Topic 11
86,thehero/0.0007998590590432286,villainkiller/0.0017734854482114315,chekhovsgun/2.797202796500642e-05
87,degradedboss/0.0007942658266983926,eviluncle/0.0017734854482114315,videogamesofthe2020s/2.797202796500642e-05
88,peninsulaofpowerleveling/0.0007914692396298051,justicewillprevail/0.0017734854482114315,playercharacter/2.797202796500642e-05
89,uselessusefulspell/0.0007914692396298051,commissarcap/0.0017734854482114315,slippyslideyiceworld/2.797202796500642e-05
90,fantasticracism/0.0007914692396298051,theeveryman/0.0017734854482114315,whathappenedtothemouse/2.797202796500642e-05
91,vendortrash/0.0007914692396298051,memeticbadass/0.0017734854482114315,bossrush/2.797202796500642e-05
92,duelboss/0.0007914692396298051,humansarecthulhu/0.0017734854482114315,hoistbyhisownpetard/2.797202796500642e-05
93,boringbutpractical/0.0007886726525612175,misguidedmissile/0.0017734854482114315,titledrop/2.797202796500642e-05
94,expy/0.0007858760072849691,bodyguardingabadass/0.0017734854482114315,dualboss/2.797202796500642e-05
95,ourdragonsaredifferent/0.0007858760072849691,swordfight/0.0017734854482114315,playingwithfire/2.797202796500642e-05
96,cutscenepowertothemax/0.0007746895425952971,roboship/0.0017734854482114315,flunkyboss/2.797202796500642e-05
97,criticalhit/0.0007746895425952971,rankup/0.0017734854482114315,escortmission/2.797202796500642e-05
98,spellmynamewithans/0.0007746895425952971,realafterall/0.0017734854482114315,onewingedangel/2.797202796500642e-05
99,cap/0.0007718929555267096,cataclysmbackstory/0.0017734854482114315,wordofgod/2.797202796500642e-05
100,flunkyboss/0.000769096368458122,airstrikeimpossible/0.0017734854482114315,jerkass/2.797202796500642e-05
101,weaponofchoice/0.000769096368458122,spiritualantithesis/0.0017734854482114315,killitwithfire/2.797202796500642e-05
102,randomdrop/0.000769096368458122,misfitmobilizationmoment/0.0017734854482114315,toodumbtolive/2.797202796500642e-05
103,bladeonastick/0.0007662997231818736,gorgeousgorgon/0.0017734854482114315,pun/2.797202796500642e-05
104,yougottahavebluehair/0.0007551132584922016,wakeupcallboss/0.0017734854482114315,wakeupcallboss/2.797202796500642e-05
105,crutchcharacter/0.000752316671423614,theparagon/0.0017734854482114315,videogamecaringpotential/2.797202796500642e-05
106,callingyourattacks/0.0007495200843550265,lightningbruiser/0.0017734854482114315,lightningbruiser/2.797202796500642e-05
107,themenaming/0.0007495200843550265,hivequeen/0.0017734854482114315,difficultbutawesome/2.797202796500642e-05
108,contractualbossimmunity/0.0007439268520101905,operationblank/0.0017734854482114315,bodyhorror/2.797202796500642e-05
109,warpwhistle/0.0007383336196653545,highspeedmissiledodge/0.0017734854482114315,lethallavaland/2.797202796500642e-05
110,dembones/0.0007383336196653545,tobelawfulorgood/0.0017734854482114315,braggingrightsreward/2.797202796500642e-05
111,absurdlyhighlevelcap/0.0007383336196653545,superweaponsurprise/0.0017734854482114315,deathisaslaponthewrist/2.797202796500642e-05
112,beefgate/0.0007327403873205185,bluebirdofhappiness/0.0017734854482114315,fragilespeedster/2.797202796500642e-05
113,bloodknight/0.0007327403873205185,nonheteronormativesociety/0.0017734854482114315,breakingthefourthwall/2.797202796500642e-05
114,randomencounters/0.000729943800251931,hiredguns/0.0017734854482114315,thereveal/2.797202796500642e-05
115,exaggeratedtrope/0.000718757335562259,plottailoredtotheparty/0.0017734854482114315,schmuckbait/2.797202796500642e-05
116,blindidiottranslation/0.000718757335562259,chestblaster/0.0017734854482114315,nostalgialevel/2.797202796500642e-05
117,backfromthedead/0.000713164045009762,realrobotgenre/0.0017734854482114315,turnsred/2.797202796500642e-05
118,difficultyspike/0.000713164045009762,justplanewrong/0.0017734854482114315,jackofallstats/2.797202796500642e-05
119,fightermagethief/0.0007103674579411745,drilltank/0.0017734854482114315,downloadablecontent/2.797202796500642e-05
120,dubnamechange/0.0007103674579411745,pentuppowerperil/0.0017734854482114315,deadpansnarker/2.797202796500642e-05
121,lifedrain/0.0007047742255963385,hopelesswar/0.0017734854482114315,punnyname/2.797202796500642e-05
122,lethaljokecharacter/0.0007019775803200901,wackyland/0.0017734854482114315,guestfighter/2.797202796500642e-05
123,updatedrerelease/0.0007019775803200901,charclone/0.0017734854482114315,licensedgame/2.797202796500642e-05
124,lightisnotgood/0.0006991809932515025,casinopark/0.0017734854482114315,bossinmookclothing/2.797202796500642e-05
125,fetchquest/0.0006991809932515025,expositorypronoun/0.0017734854482114315,nerf/2.797202796500642e-05
126,thememusicpowerup/0.000696384406182915,mergingthebranches/0.0017734854482114315,hopelessbossfight/2.797202796500642e-05
127,heroespreferswords/0.0006935877609066665,limitbreak/0.0017734854482114315,limitbreak/2.797202796500642e-05
128,exactlywhatitsaysonthetin/0.0006935877609066665,declarationofprotection/0.0017734854482114315,whamline/2.797202796500642e-05
129,brokenbridge/0.0006879945285618305,humongousmecha/0.0017734854482114315,humongousmecha/2.797202796500642e-05
130,magitek/0.000685197941493243,pygmalionplot/0.0017734854482114315,gameover/2.797202796500642e-05
131,artificialstupidity/0.0006824012962169945,superrobotgenre/0.0017734854482114315,degradedboss/2.797202796500642e-05
132,thedragon/0.000679604709148407,madeofevil/0.0017734854482114315,largeham/2.797202796500642e-05
133,nosell/0.0006768081220798194,energybeings/0.0017734854482114315,giantspacefleafromnowhere/2.797202796500642e-05
134,finishingmove/0.000674011476803571,irrelevantsidequest/0.0017734854482114315,cap/2.797202796500642e-05
135,magicknight/0.000674011476803571,killenemiestoopen/0.0017734854482114315,crapsackworld/2.797202796500642e-05
136,scratchdamage/0.000668418244458735,freudianexcusedenial/0.0017734854482114315,videogamesofthe1980s/2.797202796500642e-05
137,promotedtoplayable/0.000668418244458735,cherryblossoms/0.0017734854482114315,takethat/2.797202796500642e-05
138,disconefinaldungeon/0.000668418244458735,fanficsof20152019/0.0017734854482114315,gottacatchthemall/2.797202796500642e-05
139,bigdamnheroes/0.0006656216573901474,powernullifier/0.0017734854482114315,bilingualbonus/2.797202796500642e-05
140,secretcharacter/0.000662825012113899,gridinventory/0.0017734854482114315,bfg/2.797202796500642e-05
141,combatmedic/0.0006572318379767239,documentaryepisode/0.0017734854482114315,puzzleboss/2.797202796500642e-05
142,relationshipvalues/0.0006544351927004755,sophomoreslump/0.0017734854482114315,bigdamnheroes/2.797202796500642e-05
143,sinisterscythe/0.0006488419603556395,lampshadewearing/0.0017734854482114315,recurringboss/2.797202796500642e-05
144,moneyspider/0.0006488419603556395,militarysciencefiction/0.0017734854482114315,attackitsweakpoint/2.797202796500642e-05
145,climaxboss/0.0006488419603556395,rousingspeech/0.0017734854482114315,damnyoumusclememory/2.797202796500642e-05
146,adamsmithhatesyourguts/0.0006460453732870519,endgameplus/0.0017734854482114315,everythingtryingtokillyou/2.797202796500642e-05
147,msfanservice/0.0006460453732870519,viciouscycle/0.0017734854482114315,anaxetogrind/2.797202796500642e-05
148,rarecandy/0.0006432487280108035,polishmedia/0.0017734854482114315,adventuregame/2.797202796500642e-05
149,inexplicabletreasurechests/0.0006404521409422159,phlegmings/0.0017734854482114315,chargedattack/2.797202796500642e-05
150,mirrorboss/0.0006376555538736284,maximumhpreduction/0.0017734854482114315,goldenending/2.797202796500642e-05
151,ambidextroussprite/0.0006376555538736284,videogamegeography/0.0017734854482114315,whatthehellhero/2.797202796500642e-05
152,warmupboss/0.0006348589085973799,fireforgedfriends/0.0017734854482114315,curbstompbattle/2.797202796500642e-05
153,thechosenone/0.0006348589085973799,prolongedvideogamesequel/0.0017734854482114315,earlyinstallmentweirdness/2.797202796500642e-05
154,thebattledidntcount/0.0006320623215287924,sterilityplague/0.0017734854482114315,leaningonthefourthwall/2.797202796500642e-05
155,difficultbutawesome/0.0006320623215287924,evilchancellor/0.0017734854482114315,dropthehammer/2.797202796500642e-05
156,curbstompbattle/0.0006320623215287924,humansarewhite/0.0017734854482114315,inuniverse/2.797202796500642e-05
157,teleportspam/0.0006320623215287924,twogirlstoateam/0.0017734854482114315,wideopensandbox/2.797202796500642e-05
158,noobcave/0.0006292656762525439,unrealisticblackhole/0.0017734854482114315,sequencebreaking/2.797202796500642e-05
159,thebigguy/0.0006292656762525439,ghostship/0.0017734854482114315,promotedtoplayable/2.797202796500642e-05
160,swordbeam/0.0006292656762525439,milehighclub/0.0017734854482114315,lighterandsofter/2.797202796500642e-05
161,fightingyourfriend/0.0006264690891839564,bigapplesauce/0.0017734854482114315,truefinalboss/2.797202796500642e-05
162,sidequest/0.0006264690891839564,impliedloveinterest/0.0017734854482114315,marathonlevel/2.797202796500642e-05
163,swordofplotadvancement/0.0006236724439077079,mindcontrol/0.0017734854482114315,pointofnoreturn/2.797202796500642e-05
164,fragilespeedster/0.0006208758568391204,superteam/0.0017734854482114315,regeneratinghealth/2.797202796500642e-05
165,moneyfornothing/0.0006208758568391204,legendaryinthesequel/0.0017734854482114315,arbitraryheadcountlimit/2.797202796500642e-05
166,battlethememusic/0.0006180792697705328,souljar/0.0017734854482114315,awinnerisyou/2.797202796500642e-05
167,sequentialboss/0.0006180792697705328,alienworks/0.0017734854482114315,dualwielding/2.797202796500642e-05
168,statusbuff/0.0006124860374256968,poisonedweapons/0.0017734854482114315,videogamecrueltypunishment/2.797202796500642e-05
169,downloadablecontent/0.0006124860374256968,beneaththeearth/0.0017734854482114315,tookalevelinbadass/2.797202796500642e-05
170,lethaljokeitem/0.0006124860374256968,therapyisfortheweak/0.0017734854482114315,ruleofcool/2.797202796500642e-05
171,brutalbonuslevel/0.0006096893921494484,realtimewithpause/0.0017734854482114315,difficultyspike/2.797202796500642e-05
172,flashstep/0.0006068928050808609,colorcodedarmies/0.0017734854482114315,damselindistress/2.797202796500642e-05
173,marathonboss/0.0006012995727360249,vocaldissonance/0.0017734854482114315,bottomlesspits/2.797202796500642e-05
174,whipitgood/0.0005985029856674373,lightninggun/0.0017734854482114315,onemanarmy/2.797202796500642e-05
175,loadsandloadsofcharacters/0.0005985029856674373,badassbookworm/0.0017734854482114315,actionbomb/2.797202796500642e-05
176,breakableweapons/0.0005957063403911889,playingthevictimcard/0.0017734854482114315,thestinger/2.797202796500642e-05
177,meaningfulname/0.0005957063403911889,againstthesettingsun/0.0017734854482114315,takeyourtime/2.797202796500642e-05
178,wecannotgoonwithoutyou/0.0005957063403911889,wackyamericanshavewackynames/0.0017734854482114315,energyweapon/2.797202796500642e-05
179,fantasycounterpartculture/0.0005957063403911889,bigfootsasquatchandyeti/0.0017734854482114315,gamemod/2.797202796500642e-05
180,nonplayercharacter/0.0005957063403911889,fogofwar/0.0017734854482114315,zergrush/2.797202796500642e-05
181,namestorunawayfromreallyfast/0.0005929097533226013,lenodevice/0.0017734854482114315,macguffin/2.797202796500642e-05
182,secondquest/0.0005901131080463529,patchworkmap/0.0017734854482114315,oldsavebonus/2.797202796500642e-05
183,purposelyoverpowered/0.0005901131080463529,magikarppower/0.0017734854482114315,magikarppower/2.797202796500642e-05
184,makingasplash/0.0005873165209777653,officialpresidentialtransport/0.0017734854482114315,wellintentionedextremist/2.797202796500642e-05
185,bareyourmidriff/0.0005873165209777653,badasscrew/0.0017734854482114315,moodwhiplash/2.797202796500642e-05
186,allthereinthemanual/0.0005873165209777653,healinghands/0.0017734854482114315,showntheirwork/2.797202796500642e-05
187,takenforgranite/0.0005873165209777653,instantdeathradius/0.0017734854482114315,aftertheend/2.797202796500642e-05
188,autorevive/0.0005845198757015169,lordbritishpostulate/0.0017734854482114315,axcrazy/2.797202796500642e-05
189,manameter/0.0005845198757015169,takecover/0.0017734854482114315,violationofcommonsense/2.797202796500642e-05
190,hackandslash/0.0005845198757015169,nocampaignforthewicked/0.0017734854482114315,ascendedextra/2.797202796500642e-05
191,desperationattack/0.0005817232886329293,elevatoractionsequence/0.0017734854482114315,macrossmissilemassacre/2.797202796500642e-05
192,atasteofpower/0.0005817232886329293,blackknight/0.0017734854482114315,continuingispainful/2.797202796500642e-05
193,theempire/0.0005817232886329293,bfs/0.0017734854482114315,bfs/2.797202796500642e-05
194,gamebreaker/0.0005789267015643418,monstercompendium/0.0017734854482114315,faceheelturn/2.797202796500642e-05
195,informedequipment/0.0005761300562880933,logojoke/0.0017734854482114315,earlygamehell/2.797202796500642e-05
196,therival/0.0005733334692195058,ganguponthehuman/0.0017734854482114315,dembones/2.797202796500642e-05
197,jokecharacter/0.0005733334692195058,postendgamecontent/0.0017734854482114315,enemymine/2.797202796500642e-05
198,fightinggame/0.0005733334692195058,chargeattack/0.0017734854482114315,thereisnokilllikeoverkill/2.797202796500642e-05
199,thatoneattack/0.0005733334692195058,tragicstillbirth/0.0017734854482114315,stuffblowingup/2.797202796500642e-05
200,wellintentionedextremist/0.0005705368239432573,distractedbytheluxury/0.0017734854482114315,downplayedtrope/2.797202796500642e-05
201,thecorruption/0.0005677402368746698,sillinessswitch/0.0017734854482114315,whamepisode/2.797202796500642e-05
202,harderthanhard/0.0005649435915984213,jetpack/0.0017734854482114315,compilationrerelease/2.797202796500642e-05
203,charactercustomization/0.0005649435915984213,hotblooded/0.0017734854482114315,spikesofdoom/2.797202796500642e-05
204,faceheelturn/0.0005649435915984213,powerup/0.0017734854482114315,bowdlerise/2.797202796500642e-05
205,linearwarriorsquadraticwizards/0.0005621470045298338,cyborg/0.0017734854482114315,idiosyncraticdifficultylevels/2.797202796500642e-05
206,mooks/0.0005621470045298338,shieldbearingmook/0.0017734854482114315,retraux/2.797202796500642e-05
207,doomedhometown/0.0005593503592535853,orcraisedbyelves/0.0017734854482114315,whatthehellplayer/2.797202796500642e-05
208,chargedattack/0.0005565537721849978,earthshatteringkaboom/0.0017734854482114315,arsonmurderandjaywalking/2.797202796500642e-05
209,bribingyourwaytovictory/0.0005565537721849978,dudleydorightstopstohelp/0.0017734854482114315,horrorvideogames/2.797202796500642e-05
210,physicalgod/0.0005565537721849978,codeemergency/0.0017734854482114315,yougottahavebluehair/2.797202796500642e-05
211,randomnumbergod/0.0005509605398401618,goodoldfisticuffs/0.0017734854482114315,greaterscopevillain/2.797202796500642e-05
212,cherrytapping/0.0005509605398401618,mirrormatch/0.0017734854482114315,deathfromabove/2.797202796500642e-05
213,thepoweroffriendship/0.0005509605398401618,colonydrop/0.0017734854482114315,leitmotif/2.797202796500642e-05
214,dishingoutdirt/0.0005481639527715743,fantasycounterpartculture/0.0017734854482114315,madscientist/2.797202796500642e-05
215,purelyaestheticgender/0.0005481639527715743,magitek/0.0017734854482114315,demotedtoextra/2.797202796500642e-05
216,powercopying/0.0005481639527715743,hardmodeperks/0.0017734854482114315,kingmook/2.797202796500642e-05
217,walkingshirtlessscene/0.0005481639527715743,westernrpg/0.0017734854482114315,insurmountablewaistheightfence/2.797202796500642e-05
218,notcompletelyuseless/0.0005453673074953258,callingyourattacks/0.0017734854482114315,spellmynamewithans/2.797202796500642e-05
219,barefistedmonk/0.0005425707204267383,manameter/0.0017734854482114315,fakedifficulty/2.797202796500642e-05
220,balefulpolymorph/0.0005425707204267383,homingprojectile/0.0017734854482114315,sequentialboss/2.797202796500642e-05
221,tooawesometouse/0.0005397740751504898,theannouncer/0.0017734854482114315,themenaming/2.797202796500642e-05
222,humongousmecha/0.0005369774880819023,armorpiercingattack/0.0017734854482114315,cutscenepowertothemax/2.797202796500642e-05
223,westernrpg/0.0005369774880819023,eccentricartist/0.0017734854482114315,wavemotiongun/2.797202796500642e-05
224,bossremix/0.0005341809010133147,holdtheline/0.0017734854482114315,andnowforsomeonecompletelydifferent/2.797202796500642e-05
225,inuniversegameclock/0.0005341809010133147,theempire/0.0017734854482114315,driventosuicide/2.797202796500642e-05
226,damageovertime/0.0005341809010133147,lethaljokeitem/0.0017734854482114315,freewaregames/2.797202796500642e-05
227,nonlinearsequel/0.0005313842557370663,ourdragonsaredifferent/0.0017734854482114315,supertitle64advance/2.797202796500642e-05
228,inconsistentdub/0.0005313842557370663,randomdrop/0.0017734854482114315,brutalbonuslevel/2.797202796500642e-05
229,backgroundmusicoverride/0.0005313842557370663,keepingtheenemyclose/0.0017734854482114315,giantmook/2.797202796500642e-05
230,guyssmashgirlsshoot/0.0005313842557370663,lethaljokecharacter/0.0017734854482114315,namestorunawayfromreallyfast/2.797202796500642e-05
231,damagespongeboss/0.0005285876686684787,elementalrockpaperscissors/0.0017734854482114315,mookmaker/2.797202796500642e-05
232,knifenut/0.0005257910233922303,blowyouaway/0.0017734854482114315,takingyouwithme/2.797202796500642e-05
233,publicdomainartifact/0.0005257910233922303,thepromposal/0.0017734854482114315,deflectorshields/2.797202796500642e-05
234,marathonlevel/0.0005257910233922303,mirrorboss/0.0017734854482114315,powerupletdown/2.797202796500642e-05
235,crossover/0.0005257910233922303,blindidiottranslation/0.0017734854482114315,idleanimation/2.797202796500642e-05
236,flamingsword/0.0005229944363236427,shieldsurf/0.0017734854482114315,stripperiffic/2.797202796500642e-05
237,thelancer/0.0005229944363236427,actionrpg/0.0017734854482114315,mindscrew/2.797202796500642e-05
238,powerupletdown/0.0005174012039788067,castfromhitpoints/0.0017734854482114315,blatantlies/2.797202796500642e-05
239,tsundere/0.0005146046169102192,emergencytraineebattledeployment/0.0017734854482114315,aniceperson/2.797202796500642e-05
240,thesmartguy/0.0005146046169102192,avenger/0.0017734854482114315,artshift/2.797202796500642e-05
241,coolsword/0.0005146046169102192,artshift/1.7559261323185638e-05,artificialbrilliance/2.797202796500642e-05
242,lethallavaland/0.0005118079716339707,fetchquest/1.7559261323185638e-05,fetchquest/2.797202796500642e-05
243,powerglows/0.0005118079716339707,evillaugh/1.7559261323185638e-05,evillaugh/2.797202796500642e-05
244,lampshadehanging/0.0005090113845653832,fanservice/1.7559261323185638e-05,fanservice/2.797202796500642e-05
245,rarerandomdrop/0.0005090113845653832,backfromthedead/1.7559261323185638e-05,backfromthedead/2.797202796500642e-05
246,pointofnoreturn/0.0005090113845653832,brokenbridge/1.7559261323185638e-05,brokenbridge/2.797202796500642e-05
247,healersignsonearly/0.0005062147392891347,lifemeter/1.7559261323185638e-05,lifemeter/2.797202796500642e-05
248,wolverineclaws/0.0005034181522205472,aniceperson/1.7559261323185638e-05,gatlinggood/2.797202796500642e-05
249,omnicidalmaniac/0.0005034181522205472,dubnamechange/1.7559261323185638e-05,dubnamechange/2.797202796500642e-05
