,Topic 0
154,flamingsword/0.0004730564833153039
155,mookhorrorshow/0.0004669136833399534
156,rarerandomdrop/0.0004669136833399534
157,shotgunsarejustbetter/0.0004669136833399534
158,canonname/0.0004669136833399534
159,ourzombiesaredifferent/0.0004607708833646029
160,experiencebooster/0.0004607708833646029
161,gameplayallyimmortality/0.0004607708833646029
162,warpwhistle/0.0004607708833646029
163,noflowincgi/0.0004607708833646029
164,inventorymanagementpuzzle/0.0004607708833646029
165,idontlikethesoundofthatplace/0.0004607708833646029
166,incendiaryexponent/0.0004546281124930829
167,continueyourmissiondammit/0.0004546281124930829
168,globalcurrency/0.0004546281124930829
169,commonplacerare/0.0004546281124930829
170,sillinessswitch/0.0004546281124930829
171,blownacrosstheroom/0.0004546281124930829
172,videogameflamethrowerssuck/0.0004546281124930829
173,talkingisafreeaction/0.0004546281124930829
174,plotlinedeath/0.0004546281124930829
175,icallitvera/0.0004484853125177324
176,sortingalgorithmofevil/0.0004484853125177324
177,uselessusefulstealth/0.0004484853125177324
178,emergencyweapon/0.0004484853125177324
179,pinataenemy/0.0004484853125177324
180,onehitpolykill/0.0004484853125177324
181,lordbritishpostulate/0.0004423425125423819
182,enemycivilwar/0.0004423425125423819
183,featurelessprotagonist/0.0004423425125423819
184,solongandthanksforallthegear/0.0004423425125423819
185,gameplayandstorysegregation/0.0004423425125423819
186,randomencounters/0.0004423425125423819
187,charactercustomisation/0.0004361997125670314
188,criticalexistencefailure/0.0004361997125670314
189,donotrunwithagun/0.0004361997125670314
190,evilishammy/0.0004361997125670314
191,finalbattle/0.0004361997125670314
192,masterofnone/0.0004361997125670314
193,nerfarm/0.0004361997125670314
194,fantasyvideogames/0.0004361997125670314
195,criticalhitclass/0.0004361997125670314
196,dressingastheenemy/0.00043005694169551134
197,permadeath/0.00043005694169551134
198,shieldbash/0.00043005694169551134
199,lethaljokeitem/0.00043005694169551134
200,blingblingbang/0.00043005694169551134
201,defectorfromdecadence/0.00043005694169551134
202,nominalimportance/0.00043005694169551134
203,legendaryinthesequel/0.00043005694169551134
204,forcedlevelgrinding/0.00043005694169551134
205,leakedexperience/0.00043005694169551134
206,apocalypticlog/0.00042391414172016084
207,smashmook/0.00042391414172016084
208,villainwithgoodpublicity/0.00042391414172016084
209,deaderthandead/0.00042391414172016084
210,themedic/0.00042391414172016084
211,thecomputerisalyingbastard/0.00042391414172016084
212,forscience/0.00042391414172016084
213,violationofcommonsense/0.00041777134174481034
214,schrodingersgun/0.00041777134174481034
215,masterofall/0.00041777134174481034
216,teleportation/0.00041777134174481034
217,respawningenemies/0.00041777134174481034
218,thepirateswhodontdoanything/0.00041777134174481034
219,criticalsuccess/0.00041777134174481034
220,obviousrulepatch/0.00041777134174481034
221,whenallyouhaveisahammer/0.00041777134174481034
222,jokeitem/0.00041777134174481034
223,facelessgoons/0.00041777134174481034
224,webuyanything/0.00041162854176945984
225,theredmage/0.00041162854176945984
226,nonelemental/0.00041162854176945984
227,startervillain/0.00041162854176945984
228,purposelyoverpowered/0.00041162854176945984
229,inthehood/0.00041162854176945984
230,theremnant/0.00041162854176945984
231,gadgeteergenius/0.00041162854176945984
232,elaborateundergroundbase/0.00041162854176945984
233,limitedloadout/0.00041162854176945984
234,inferredholocaust/0.0004054857708979398
235,yourheadasplode/0.0004054857708979398
236,sciencefantasy/0.0004054857708979398
237,losttechnology/0.0004054857708979398
238,hugeguytinygirl/0.0004054857708979398
239,nocanonforthewicked/0.0004054857708979398
240,karmameter/0.0004054857708979398
241,plotarmor/0.0004054857708979398
242,dungeontown/0.0004054857708979398
243,gayoption/0.0004054857708979398
244,ragnarokproofing/0.0004054857708979398
245,heavilyarmoredmook/0.0003993429709225893
246,supportingprotagonist/0.0003993429709225893
247,simpleyetawesome/0.0003993429709225893
248,gunsareworthless/0.0003993429709225893
249,pacifistrun/0.0003993429709225893
250,openingthesandbox/0.0003993429709225893
251,twentybearasses/0.0003993429709225893
252,videogamestealing/0.0003993429709225893
253,attackreflector/0.0003993429709225893
254,chainmailbikini/0.0003993429709225893
255,cantcatchup/0.0003993429709225893
256,hyperactivemetabolism/0.0003932001709472388
257,requiredpartymember/0.0003932001709472388
258,thatoneachievement/0.0003932001709472388
259,ascendtoahigherplaneofexistence/0.0003932001709472388
260,fordoomthebelltolls/0.0003932001709472388
261,generationxerox/0.0003932001709472388
262,hiddenelfvillage/0.0003932001709472388
263,holyhandgrenade/0.00038705734186805785
264,fallingdamage/0.00038705734186805785
265,camebackwrong/0.00038705734186805785
266,barrierwarrior/0.00038705734186805785
267,neverfoundthebody/0.00038705734186805785
268,purpleispowerful/0.00038705734186805785
269,grenadelauncher/0.00038705734186805785
270,andthenjohnwasazombie/0.0003809145709965378
271,playercharactercalculus/0.0003809145709965378
272,medievalstasis/0.0003809145709965378
273,aka47/0.0003809145709965378
274,genrethrowback/0.0003809145709965378
275,menaretheexpendablegender/0.0003809145709965378
276,sequencebreaking/0.0003809145709965378
277,masterswordsman/0.0003809145709965378
278,bondoneliner/0.0003809145709965378
279,authorityequalsasskicking/0.0003809145709965378
280,eviltowerofominousness/0.0003809145709965378
281,enemysummoner/0.0003809145709965378
282,gasmaskmooks/0.0003747717710211873
283,onehandedzweihander/0.0003747717710211873
284,unexpectedlyrealisticgameplay/0.0003747717710211873
285,megacorp/0.0003747717710211873
286,downerbeginning/0.0003747717710211873
287,magicknight/0.0003747717710211873
288,getontheboat/0.0003747717710211873
289,expansionpackworld/0.0003747717710211873
290,alwayschaoticevil/0.0003747717710211873
291,redshirt/0.0003747717710211873
292,downloadablecontent/0.0003747717710211873
293,villainhasapoint/0.0003747717710211873
294,autosave/0.0003747717710211873
295,thecorruption/0.0003747717710211873
296,sniperrifle/0.0003747717710211873
297,blackknight/0.0003747717710211873
298,artificialatmosphericactions/0.0003747717710211873
299,voluntaryshapeshifting/0.0003747717710211873
300,soundcodedforyourconvenience/0.0003686289710458368
301,callahitpointasmeerp/0.0003686289710458368
302,bladebelowtheshoulder/0.0003686289710458368
303,optionalpartymember/0.0003686289710458368
304,aliensky/0.0003686289710458368
305,fakebalance/0.0003686289710458368
306,healthyself/0.0003686289710458368
307,softwater/0.0003686289710458368
308,instantdeathradius/0.0003686289710458368
309,thepaladin/0.0003686289710458368
310,mrexposition/0.0003686289710458368
311,crystaldragonjesus/0.0003686289710458368
312,stocksoundeffects/0.0003686289710458368
313,rasputiniandeath/0.0003624861710704863
314,bagofsharing/0.0003624861710704863
315,invisiblemonsters/0.0003624861710704863
316,youwillnotevademe/0.0003624861710704863
317,standardfpsguns/0.0003624861710704863
318,globalairship/0.0003624861710704863
319,voicewithaninternetconnection/0.0003624861710704863
320,onlyinitforthemoney/0.0003624861710704863
321,duetothedead/0.0003624861710704863
322,darkactiongirl/0.0003624861710704863
323,diegeticinterface/0.0003624861710704863
324,firstpersonshooter/0.00035634340019896626
325,westernrpg/0.00035634340019896626
326,optionalstealth/0.00035634340019896626
327,fashionableasymmetry/0.00035634340019896626
328,andimustscream/0.00035634340019896626
329,minmaxing/0.00035634340019896626
330,cosmichorrorstory/0.00035634340019896626
331,crapsackworld/0.00035634340019896626
332,pistolwhipping/0.00035634340019896626
333,dudewheresmyrespect/0.00035634340019896626
334,rainbowpimpgear/0.00035634340019896626
335,humanpopsicle/0.00035634340019896626
336,messianicarchetype/0.00035634340019896626
337,continuitylockout/0.00035634340019896626
338,humansarewhite/0.00035634340019896626
339,flagshipfranchise/0.00035634340019896626
340,revengebeforereason/0.00035634340019896626
341,implacableman/0.00035634340019896626
342,sniperpistol/0.00035020060022361577
343,globalcurrencyexception/0.00035020060022361577
344,artificialbrilliance/0.00035020060022361577
345,starterequipment/0.00035020060022361577
346,hurricaneofpuns/0.00035020060022361577
347,worldofham/0.00035020060022361577
348,theallseeingai/0.00035020060022361577
349,bottomlessbladder/0.00035020060022361577
350,thebeastmaster/0.00035020060022361577
351,cherrytapping/0.00035020060022361577
352,improbablepowerdiscrepancy/0.00035020060022361577
353,experiencedprotagonist/0.00035020060022361577
354,cantdropthehero/0.00035020060022361577
355,laststand/0.00035020060022361577
356,evolvingweapon/0.00034405780024826527
357,chaoticevil/0.00034405780024826527
358,starcrossedlovers/0.00034405780024826527
359,asskickingequalsauthority/0.00034405780024826527
360,badassarmy/0.00034405780024826527
361,lefthanging/0.00034405780024826527
362,troperworks/0.00034405780024826527
363,storybranchfavoritism/0.00034405780024826527
364,worldofbadass/0.00034405780024826527
365,explosivebarrels/0.00034405780024826527
366,falseflagoperation/0.00034405780024826527
367,cycleofhurting/0.00034405780024826527
368,porttown/0.00034405780024826527
369,thetetriseffect/0.00033791500027291477
370,levelscaling/0.00033791500027291477
371,armorofinvincibility/0.00033791500027291477
372,latecharactersyndrome/0.00033791500027291477
373,numericalhard/0.00033791500027291477
374,sprintmeter/0.00033791500027291477
375,traumainn/0.00033791500027291477
376,darkskinnedblond/0.00033791500027291477
377,thesocialdarwinist/0.00033791500027291477
378,largeandincharge/0.00033791500027291477
379,sandworm/0.00033791500027291477
380,ascendedglitch/0.00033791500027291477
381,trueneutral/0.00033791500027291477
382,fakeultimatemook/0.00033791500027291477
383,antigrinding/0.00033791500027291477
384,beehivebarrier/0.00033791500027291477
385,bowandswordinaccord/0.00033791500027291477
386,rockettaggameplay/0.00033791500027291477
387,manaburn/0.00033791500027291477
388,magemarksman/0.0003317722294013947
389,cashcowfranchise/0.0003317722294013947
390,chivalrouspervert/0.0003317722294013947
391,awizarddidit/0.0003317722294013947
392,damageincreasingdebuff/0.0003317722294013947
393,enemydetectingradar/0.0003317722294013947
394,lasersight/0.0003317722294013947
395,healingshiv/0.0003317722294013947
396,letssplitupgang/0.0003317722294013947
397,fandomlifecycle/0.0003317722294013947
398,charactercustomization/0.0003317722294013947
399,literallyshatteredlives/0.0003317722294013947
400,mana/0.0003317722294013947
401,drivingquestion/0.0003317722294013947
402,knightinshiningarmor/0.0003317722294013947
403,notusingthezword/0.0003317722294013947
404,religionofevil/0.0003317722294013947
405,supersoldier/0.0003317722294013947
406,thrivingghosttown/0.0003317722294013947
407,teleportingkeycardsquad/0.0003317722294013947
408,gonehorriblywrong/0.0003317722294013947
409,anadventurerisyou/0.0003317722294013947
410,fanficsof20152019/0.0003317722294013947
411,thechosenone/0.0003317722294013947
412,animatedarmor/0.0003256294294260442
413,churchmilitant/0.0003256294294260442
414,dyingasyourself/0.0003256294294260442
415,functionalmagic/0.0003256294294260442
416,eleventhhourranger/0.0003256294294260442
417,namedweapons/0.0003256294294260442
418,onlysixfaces/0.0003256294294260442
419,unstableequilibrium/0.0003256294294260442
420,plotcouponthatdoessomething/0.0003256294294260442
421,referenceoverdosed/0.0003256294294260442
422,whatthehellisthataccent/0.0003256294294260442
423,convenientlyanorphan/0.0003256294294260442
424,universalammunition/0.0003256294294260442
425,stickstotheback/0.0003256294294260442
426,theworldisjustawesome/0.0003194866294506937
427,idiosyncraticdifficultylevels/0.0003194866294506937
428,casualdangerdialog/0.0003194866294506937
429,bossinmookclothing/0.0003194866294506937
430,whentreesattack/0.0003194866294506937
431,spacecompression/0.0003194866294506937
432,schrodingersplayercharacter/0.0003194866294506937
433,quicksandbox/0.0003194866294506937
434,instantexpert/0.0003194866294506937
435,hitandruntactics/0.0003194866294506937
436,geoeffects/0.0003194866294506937
437,onlythecreatordoesitright/0.0003194866294506937
438,herdhittingattack/0.0003194866294506937
439,precursors/0.0003194866294506937
440,antimagic/0.0003194866294506937
441,coolbutinefficient/0.00031334382947534323
442,attackattackattack/0.00031334382947534323
443,evilsorcerer/0.00031334382947534323
444,optionalsexualencounter/0.00031334382947534323
445,dugtoodeep/0.00031334382947534323
446,macguffindeliveryservice/0.00031334382947534323
447,twentyfourhourarmor/0.00031334382947534323
448,ultimateblacksmith/0.00031334382947534323
449,solesurvivor/0.00031334382947534323
450,nonlethalko/0.00031334382947534323
451,golem/0.00031334382947534323
452,spitefulai/0.00031334382947534323
453,religiousandmythologicalthemenaming/0.00031334382947534323
454,badassbaritone/0.00031334382947534323
455,violenceistheonlyoption/0.00031334382947534323
456,mutuallyexclusivepartymembers/0.00031334382947534323
457,changingclothesisafreeaction/0.00031334382947534323
458,icannotselfterminate/0.00031334382947534323
459,mushroomsamba/0.00031334382947534323
460,borderpatrol/0.00031334382947534323
461,heroofanotherstory/0.00031334382947534323
462,boozebasedbuff/0.00031334382947534323
463,mindrape/0.00031334382947534323
464,historyrepeats/0.0003072010586038232
465,myspeciesdothprotesttoomuch/0.0003072010586038232
466,deadlygas/0.0003072010586038232
467,skillscoresandperks/0.0003072010586038232
468,menutimelockout/0.0003072010586038232
469,nobodyleftbehind/0.0003072010586038232
470,onebulletclips/0.0003072010586038232
471,geniusloci/0.0003072010586038232
472,canonidentifier/0.0003072010586038232
473,blatantitemplacement/0.0003072010586038232
474,elitetweak/0.0003072010586038232
475,reasonableauthorityfigure/0.0003072010586038232
476,coldsniper/0.0003072010586038232
477,artificiallimbs/0.0003072010586038232
478,necksnap/0.0003072010586038232
479,stoppokingme/0.0003072010586038232
480,pirate/0.0003072010586038232
481,onlythechosenmaywield/0.0003072010586038232
482,lizardfolk/0.0003072010586038232
483,killedmidsentence/0.0003072010586038232
484,hitboxdissonance/0.0003072010586038232
485,cosmickeystone/0.0003010582586284727
486,beatingadeadplayer/0.0003010582586284727
487,battlecry/0.0003010582586284727
488,fantasticnuke/0.0003010582586284727
489,guntwirling/0.0003010582586284727
490,healthdamageasymmetry/0.0003010582586284727
491,moneysink/0.0003010582586284727
492,actionsurvivor/0.0003010582586284727
493,retirony/0.0003010582586284727
494,solocharacterrun/0.0003010582586284727
495,airoulette/0.0003010582586284727
496,stuckitems/0.0003010582586284727
497,unobtainium/0.0003010582586284727
498,balancebuff/0.0003010582586284727
499,callasmeerparabbit/0.0003010582586284727
500,fantasticdrug/0.0003010582586284727
501,overratedandunderleveled/0.0003010582586284727
502,aninteriordesignerisyou/0.0003010582586284727
503,homingprojectile/0.0003010582586284727
504,lawfulevil/0.0003010582586284727
505,aftercombatrecovery/0.0003010582586284727
506,genderequalensemble/0.0003010582586284727
507,fishpeople/0.0003010582586284727
508,emptyroompsych/0.0003010582586284727
509,suspiciousvideogamegenerosity/0.0003010582586284727
510,easingintotheadventure/0.0002949154586531222
511,humansarebastards/0.0002949154586531222
512,thecavalry/0.0002949154586531222
513,evilweapon/0.0002949154586531222
514,heroeswantredheads/0.0002949154586531222
515,droneofdread/0.0002949154586531222
516,weakbutskilled/0.0002949154586531222
517,dialoguetree/0.0002949154586531222
518,troperiffic/0.0002949154586531222
519,moneymultiplier/0.0002949154586531222
520,swampsareevil/0.0002949154586531222
521,characterlevel/0.0002949154586531222
522,romancesidequest/0.0002949154586531222
523,gamefavoredgender/0.0002949154586531222
524,thelawofconservationofdetail/0.0002949154586531222
525,apatheticcitizens/0.0002949154586531222
526,carryabigstick/0.0002949154586531222
527,supremechef/0.0002949154586531222
528,shouldersofdoom/0.0002949154586531222
529,selfdestructmechanism/0.0002949154586531222
530,scunthorpeproblem/0.0002949154586531222
531,noarcinarchery/0.0002949154586531222
532,necromancer/0.0002949154586531222
533,cult/0.0002949154586531222
534,knockback/0.0002949154586531222
535,itspopularnowitsucks/0.0002949154586531222
536,gutturalgrowler/0.0002949154586531222
537,fullfrontalassault/0.0002949154586531222
538,godsaveusfromthequeen/0.0002949154586531222
539,hardmodeperks/0.0002887726586777717
540,thirdpersonseductress/0.0002887726586777717
541,theunchosenone/0.0002887726586777717
542,areaofeffect/0.0002887726586777717
543,backstory/0.0002887726586777717
544,knifenut/0.0002887726586777717
545,understatement/0.0002887726586777717
546,spikesofvillainy/0.0002887726586777717
547,killthegod/0.0002887726586777717
548,benevolentarchitecture/0.0002887726586777717
549,hubunderattack/0.0002887726586777717
550,playableepilogue/0.0002887726586777717
551,ohmygods/0.0002887726586777717
552,thealcatraz/0.0002887726586777717
553,monsterarena/0.0002887726586777717
554,baldofevil/0.0002887726586777717
555,lowlevelrun/0.0002887726586777717
556,lovablerogue/0.0002887726586777717
557,exposedtotheelements/0.0002887726586777717
558,fireballs/0.0002887726586777717
559,barrierchangeboss/0.0002887726586777717
560,dragonrider/0.0002887726586777717
561,thevirus/0.0002887726586777717
562,emptylevels/0.0002887726586777717
563,emptyshell/0.0002887726586777717
564,pixelhunt/0.0002887726586777717
565,itemfarming/0.0002887726586777717
566,fountainofexpies/0.0002887726586777717
567,punchpackingpistol/0.00028262988780625165
568,leveleditor/0.00028262988780625165
569,improvisedweapon/0.00028262988780625165
570,supernaturalgoldeyes/0.00028262988780625165
571,sealedgoodinacan/0.00028262988780625165
572,noncombatexp/0.00028262988780625165
573,maximumhpreduction/0.00028262988780625165
574,improbableaimingskills/0.00028262988780625165
575,companioncube/0.00028262988780625165
576,hulkspeak/0.00028262988780625165
577,gameplayderailment/0.00028262988780625165
578,nukeem/0.00028262988780625165
579,gameplayautomation/0.00028262988780625165
580,drillsergeantnasty/0.00028262988780625165
581,celebrityvoiceactor/0.00028262988780625165
582,distantsequel/0.00028262988780625165
583,colorcodedelements/0.00028262988780625165
584,irrelevantsidequest/0.00028262988780625165
585,coldbloodedtorture/0.00028262988780625165
586,itcanthink/0.00028262988780625165
587,precursorheroes/0.00028262988780625165
588,spellmynamewithathe/0.00028262988780625165
589,gunshiprescue/0.00028262988780625165
590,theguardsmustbecrazy/0.00028262988780625165
591,spidertank/0.00028262988780625165
592,dropthehammer/0.00028262988780625165
593,storybreadcrumbs/0.00028262988780625165
594,givemeyourinventoryitem/0.00028262988780625165
595,summonbiggerfish/0.00028262988780625165
596,chaoticgood/0.00028262988780625165
597,invisibilitycloak/0.00028262988780625165
598,notevenbotheringwiththeaccent/0.00028262988780625165
599,withthisherring/0.00028262988780625165
600,blackandwhitemorality/0.00028262988780625165
601,visiblesilence/0.00028262988780625165
602,nonactionguy/0.00028262988780625165
603,kineticweaponsarejustbetter/0.00028262988780625165
604,awfultruth/0.00027648708783090115
605,macrossmissilemassacre/0.00027648708783090115
606,backfromthebrink/0.00027648708783090115
607,challengerun/0.00027648708783090115
608,ascendedfanon/0.00027648708783090115
609,railroading/0.00027648708783090115
610,actionbomb/0.00027648708783090115
611,lovecraftlite/0.00027648708783090115
612,decapitatedarmy/0.00027648708783090115
613,dissonantserenity/0.00027648708783090115
614,notinthisforyourrevolution/0.00027648708783090115
615,drowningmysorrows/0.00027648708783090115
616,enjoythestoryskipthegame/0.00027648708783090115
617,fakeultimatehero/0.00027648708783090115
618,sdrawkcabname/0.00027648708783090115
619,riddlefortheages/0.00027648708783090115
620,talktoeveryone/0.00027648708783090115
621,creatorworship/0.00027648708783090115
622,talkingthemonstertodeath/0.00027648708783090115
623,wrenchwench/0.00027648708783090115
624,humanresources/0.00027648708783090115
625,abandonedmine/0.00027648708783090115
626,chronicbackstabbingdisorder/0.00027648708783090115
627,jerkassgods/0.00027648708783090115
628,copyprotection/0.00027648708783090115
629,interchangeableantimatterkeys/0.00027648708783090115
630,lastdiscmagic/0.00027648708783090115
631,improbableage/0.00027648708783090115
632,actuallyfourmooks/0.00027648708783090115
633,morallyambiguousdoctorate/0.00027648708783090115
634,chaoticneutral/0.00027648708783090115
635,murderisthebestsolution/0.00027648708783090115
636,readingsareoffthescale/0.00027648708783090115
637,organdrops/0.00027648708783090115
638,orphanedetymology/0.00027648708783090115
639,wehavereserves/0.00027648708783090115
640,theberserker/0.00027648708783090115
641,swordandsorcerer/0.00027648708783090115
642,corruptchurch/0.00027034428785555065
643,framingdevice/0.00027034428785555065
644,goldandwhitearedivine/0.00027034428785555065
645,aristocratsareevil/0.00027034428785555065
646,ancestralweapon/0.00027034428785555065
647,almostdeadguy/0.00027034428785555065
648,healinghands/0.00027034428785555065
649,humansacrifice/0.00027034428785555065
650,mordor/0.00027034428785555065
651,multimeleemaster/0.00027034428785555065
652,revivekillszombie/0.00027034428785555065
653,ruinsforruinssake/0.00027034428785555065
654,statsticks/0.00027034428785555065
655,thelastoftheseisnotliketheothers/0.00027034428785555065
656,vomitindiscretionshot/0.00027034428785555065
657,fixeddamageattack/0.00027034428785555065
658,mauveshirt/0.00027034428785555065
659,multiplelifebars/0.00027034428785555065
660,laresistance/0.00027034428785555065
661,sawedoffshotgun/0.00027034428785555065
662,toocooltolive/0.00027034428785555065
663,bountyhunter/0.00027034428785555065
664,gameoftheyearedition/0.00027034428785555065
665,suicidebycop/0.00027034428785555065
666,orangebluecontrast/0.00027034428785555065
667,robotbuddy/0.00027034428785555065
668,dungeonshop/0.00027034428785555065
669,animalmotifs/0.00027034428785555065
670,luckstat/0.00027034428785555065
671,senselesssacrifice/0.00027034428785555065
672,healingpotion/0.00027034428785555065
673,aibreaker/0.00027034428785555065
674,warriorpoet/0.00027034428785555065
675,foetossingcharge/0.00027034428785555065
676,suicideattack/0.0002642015169840306
677,stickybomb/0.0002642015169840306
678,nonplayercharacter/0.0002642015169840306
679,everybodysdeaddave/0.0002642015169840306
680,crypticbackgroundreference/0.0002642015169840306
681,blackmage/0.0002642015169840306
682,chaosarchitecture/0.0002642015169840306
683,secondaryfire/0.0002642015169840306
684,charactershields/0.0002642015169840306
685,lawfulstupid/0.0002642015169840306
686,discountcard/0.0002642015169840306
687,elementalweapon/0.0002642015169840306
688,greenthumb/0.0002642015169840306
689,donotdropyourweapon/0.0002642015169840306
690,hollywooddarkness/0.0002642015169840306
691,disadvantageousdisintegration/0.0002642015169840306
692,manonfire/0.0002642015169840306
693,whitemage/0.0002642015169840306
694,sheatheyoursword/0.0002642015169840306
695,multiplechoicepast/0.0002642015169840306
