Company,Country
igda Scotland Chapter,Scotland
Iplay,Scotland
Junkfish,Scotland
Kobojo,Scotland
No Code Studio,Scotland
One Thumb Mobile,Scotland
Orthrus Studios,Scotland
Outplay Entertainment,Scotland
Pocket Sized Hands,Scotland
Proper Games,Scotland
Reagent Games,Scotland
Reloaded Games,Scotland
Retro Army,Scotland
Robotical,Scotland
Rockstar North,Scotland
Ruffian Games,Scotland
Serious Parody,Scotland
Storm Cloud,Scotland
Stormcloud,Scotland
Tag Games,Scotland
VEEMEE,Scotland
Blue Planet Software,United States
HumaNature Studios,United States
Left Behind Games,United States
Studio Furukawa,United States
Mechanist Games,China
NetDragon,China
Outact,China
Shortfuse Game Studios,China
Archimage,United States
Bouncing Pixel,United States
GameAnax,United States
Laser Shot,United States
Lava Level,United States
Revelation Interactive,United States
Six Foot,United States
Tiny Lions,United States
Triseum,United States
Gold Creek Games,United States
Hatchlings,United States
Numinous Games,United States
12 East Games,United States
Appsomniacs,United States
Beach Day Studios,United States
Blue Void Studios,United States
Carpe Fulgur,United States
ClutchPlay Games,United States
Coldrice Games,United States
Farjay Studios,United States
GraceWorks Interactive,United States
Jumpdrive Studios,United States
Lil Sumn Games,United States
Long Neck Games,United States
Moonlight Kids,United States
Nami Tentou,United States
Night & Day Studios,United States
Night Dive Studios,United States
PAGDIG/IGDA,United States
PagodaWest Games,United States
Panic,United States
Pet Tomato,United States
Portland Indie Game Squad (PIGSquad),United States
Rose City Games,United States
Siege Games,United States
Silver Creek Entertainment,United States
SleepNinja,United States
Soma Games,United States
Star Maid Games,United States
Starsoft Entertainment ,United States
The Fullbright Company,United States
Tinderbox Entertainment,United States
Clint Siu,United States
Everi,United States
International Game Technology,United States
Juppiomenz,United States
Ruby Seven Studios,United States
Spin Games,United States
Butterscotch Shenanigans,United States
Campfire Studios,United States
Graphite Lab,United States
Happy Badger Studio,United States
Neuron Games,United States
Parallax Studio,United States
Pixel Press,United States
Riot Games,United States
Simutronics Corp,United States
StoryUp,United States
Terrifying Jellyfish,United States
Woodsy Studio,United States
Arbor Interactive,United States
DreamGate VR,United States
Gaudium,United States
Heart Shaped Games,United States
Image Space,United States
Quantum Signal,United States
Redact Games,United States
Rocketcat Games,United States
Scientifically Proven Entertainment,United States
Spellbound AR,United States
Stardock,United States
Swamiware,United States
Vectorform Game Studio,United States
Wolverine Soft,United States
Gameloft,United States
High Voltage Software,United States
igda Lafayette Chapter,United States
inXile Entertainment (Microsoft),United States
Raconteur Games,United States
Undead Labs (Microsoft),United States
3000AD,United States
302 Interactive,United States
Artix Entertainment,United States
Astro Crow,United States
CyberDream,United States
Dabster Entertainment,United States
Firebrand Games,United States
GameSim,United States
Gentleman Squid Studio,United States
Gorilla Systems Corporation,United States
Hapa Games,United States
igda Orlando Chapter,United States
Immersed Games,United States
Indienomicon,United States
Intelimmerse,United States
Iron Galaxy Studios,United States
Isotope 244,United States
Major Games,United States
MetalPop,United States
Mografi,United States
Not Suspicious,United States
ootii,United States
Outhouse Games,United States
PANICPOP,United States
Phyken Media,United States
Raydon Corporation,United States
Reactor Interactive,United States
Rehametrics,United States
Sharecare Reality Labs,United States
Six Shooter Games,United States
Steamroller Studios,United States
TBA Games,United States
Trendy Entertainment,United States
Verapy Therapy,United States
War Drum Studios,United States
Zoxide Games,United States
AVEN Games,United States
baKno,United States
Big Duck Games,United States
Clockwork Elements,United States
Codebell,United States
Digital Tales,United States
Foundry IV,United States
Game Artists,United States
Ghostpunch Games,United States
HELM Systems,United States
Intuicode,United States
KefSensei Studios,United States
Lima Sky,United States
Magic Leap,United States
Nuclei,United States
Shiver Entertainment,United States
Slang,United States
Slashkey,United States
Trilight Studios,United States
1st Games,Ukraine
4A Games,Ukraine
Absolutist,Ukraine
Apps Ministry,Ukraine
Beatshapers,Ukraine
Birds Eye View Games,Ukraine
Black Wing Foundation,Ukraine
Catalyst Apps,Ukraine
Creoteam,Ukraine
Crytek,Ukraine
Drama Drifters,Ukraine
EJaw,Ukraine
Frogwares,Ukraine
G5 Entertainment,Ukraine
Gameloft,Ukraine
GSC Game World,Ukraine
GSN Games,Ukraine
Icegoo Games,Ukraine
Jutiful,Ukraine
Kevuru Games,Ukraine
Lookinar Studio,Ukraine
Melior Games,Ukraine
Mirowin,Ukraine
Persha Studia (Wargaming),Ukraine
Plarium,Ukraine
Plarium,Ukraine
Plarium,Ukraine
Plarium,Ukraine
Plarium,Ukraine
Playtika,Ukraine
Playtika,Ukraine
Playtika,Ukraine
Qumaron,Ukraine
Room 8 Studio,Ukraine
Sigma Software,Ukraine
Storymind Entertainment,Ukraine
Sumom Games,Ukraine
Ubisoft Kiev,Ukraine
VOLMI Games,Ukraine
Vostok Games,Ukraine
ZADZEN,Ukraine
7 Raven Studios,Thailand
Asiasoft,Thailand
Corecell Technology,Thailand
Donuts,Thailand
FairPlay Studios,Thailand
Gameloft,Thailand
Infinity Levels Studio,Thailand
NC True,Thailand
New Era Online,Thailand
Peakware Studio,Thailand
PIGSSS GAMES,Thailand
Pocket PlayLab,Thailand
RingZero Game Studio,Thailand
Sanuk Games,Thailand
VALOFE Thailand,Thailand
ViquaSoft,Thailand
Virtual Realms,Thailand
Coldwood Interactive,Sweden
Nifflas' Games,Sweden
Saber Interactive,Sweden
Babloon Studios,Sweden
Coffee Stain Studios,Sweden
Dennaton Games,Sweden
Double Zero One Zero,Sweden
Forgotten Key,Sweden
Gameport,Sweden
Ghost Games (Electronic Arts),Sweden
Global Fun,Sweden
Greyish Games,Sweden
Guru Games,Sweden
Hello There,Sweden
Image & Form Games,Sweden
Image & Form International,Sweden
Jovian Industries,Sweden
Lamp Ant Games,Sweden
Lavapotion,Sweden
Legendo Entertainment,Sweden
Ludosity Interactive,Sweden
ManagerZone,Sweden
MindArk,Sweden
Pathos Interactive,Sweden
Pieces Interactive,Sweden
River End Games,Sweden
Senri,Sweden
Shortfuse Games,Sweden
SimBin,Sweden
Stunlock Studios,Sweden
The Bearded Ladies Consulting,Sweden
THQ Nordic,Sweden
Thunderful Publishing,Sweden
Triolith Entertainment,Sweden
Wishfully Games,Sweden
Zoink Games,Sweden
Almedia,France
apelab,Switzerland
Asteroid Lab,Switzerland
BISBOG,Switzerland
bitforge,Switzerland
Blindflug Studios,Switzerland
Colorbloks,Switzerland
Crown Adam,Switzerland
EA Geneva (Electronic Arts),Switzerland
Etter Studios,Switzerland
EverdreamSoft,Switzerland
Furinkazan,Switzerland
Gbanga,Switzerland
GIANTS Software,Switzerland
GoLive Games,Switzerland
igda Switzerland Chapter,Switzerland
Ink Kit,Switzerland
Inlusio,Switzerland
Karios Games,Switzerland
Koboldgames,Switzerland
Koch Media,Switzerland
Magic Leap,Switzerland
Magic Leap,Switzerland
Massively Multiplayer Online Science,Switzerland
Mindmaze,Switzerland
Mindmaze,Switzerland
Mister Whale's Game Service,Switzerland
NOWWA Corp,Liechtenstein
OZWE Games,Switzerland
Playables,Switzerland
Reha-Stim Medtec,Switzerland
RNDRLN Games,Switzerland
Somniacs,Switzerland
Stray Fawn Studios,Switzerland
Struckd,Switzerland
Struckd,Switzerland
Studio PixMix,France
Sunnyside Games,Switzerland
Swiss Game Developers Association,Switzerland
Team Niche,Switzerland
Tourmaline Studio,Switzerland
Urban Games,Switzerland
VertaMed,Switzerland
Virtually Live,Switzerland
Atomic Jelly,Poland
Detalion,Poland
Gamedust,Poland
Geemzo,Poland
GSpot Studios,Poland
Kids with Sticks,Poland
Monster Couch,Poland
Odyssey,Poland
Picadilla,Poland
Plata Games,Poland
PlayWay,Poland
PlayWay,Poland
Raba Games,Poland
Robot Gentlemen,Poland
Techland,Poland
Techland,Poland
Ten Square Games,Poland
Tequila Mobile,Poland
TopWare Interactive,Poland
Artifex Mundi,Poland
Artifex Mundi,Poland
Bloober Team,Poland
Carbon Studio VR,Poland
Connect2Media,Poland
Crimson Pine Games,Poland
Drago Entertainment,Poland
Freemind,Poland
Ganymede Entertainment,Poland
Ganymede Technologies,Poland
Infinite Dreams,Poland
Mateusz Skutnik,Poland
Moonlit Games Studio,Poland
PlayWay,Poland
PlayWay,Poland
Reality Pump Studios,Poland
Sodigital,Poland
Sperasoft,Poland
Spil Games Eastern Europe,Poland
Tate Multimedia,Poland
The Farm 51,Poland
Amber,Romania
Amused Sloth,Romania
Atypical Games,Romania
BANDAI NAMCO Entertainment Romania,Romania
Breadcrumbs Interactive,Romania
Ci Games,Romania
EA Romania (Electronic Arts),Romania
EA Sports (Electronic Arts),Romania
eRepublik,Romania
Fun Labs,Romania
Gameloft,Romania
Gameloft,Romania
I-play,Romania
IDEA Studios,Romania
igda Romania Chapter,Romania
Isoftbet,Romania
Isoftbet,Romania
Killhouse Games,Romania
King.com (Activision),Romania
Mindmaze,Romania
Playtika,Romania
Playwing,Romania
Sand Sailor Studio,Romania
Stuck In Attic,Romania
Ubisoft Bucharest,Romania
11bit studios,Poland
Acid Wizard Studio,Poland
Anshar Studios,Poland
Atomic Wolf,Poland
Baby Bison Games,Poland
Big Daddy's Creations,Poland
CD Projekt,Poland
CD Projekt Red,Poland
Cherrypick Games,Poland
Ci Games,Poland
Craneballs Studios,Czech Republic
Creative Forge Games,Poland
CreativeForge Games,Poland
Crunching Koalas,Poland
Different Tales,Poland
Digital Melody,Poland
Eagle Spark,Poland
Event Horizon,Poland
Exor Studios,Poland
Failcore,Poland
Flying Wild Hog,Poland
G2A Dev Studio,Poland
Gamelion Studios,Poland
Games Operators,Poland
Gamesture,Poland
Huuuge Games,Poland
iFun4all,Poland
Juggler Games,Poland
Jujubee,Poland
Kool2Play,Poland
LK Avalon,Poland
Mass Creation,Poland
MoaCube,Poland
Monad Rock,Poland
Nitreal Games,Poland
OhNoo Studio,Poland
one2tribe,Poland
Orchid Games,Poland
People Can Fly,Poland
Plastic Studios,Poland
PlayWay,Poland
PlayWay,Poland
PlayWay,Poland
Qubic Games,Poland
Red Dev Games,Poland
Red Dot Games,Poland
Silden,Poland
SONKA,Poland
Spectral Games,Poland
Spokko,Poland
Straitjacket Entertainment,Czech Republic
Superhot Team,Poland
Techland,Poland
Teyon,Poland
The Astronauts,Poland
The Farm 51,Poland
Torquemada Games,Poland
Twin Bottles,Poland
United Label,Poland
Varsav Game Studios,Poland
Vile Monarch,Poland
Vivid Games,Poland
Vivid Games,Poland
Wastelands Interactive,Poland
World-Loom,Poland
Yaza Games,Poland
34 Big Things,Italy
3DClouds,Italy
505 Games (Digital Bros),Italy
Associazione Editori Sviluppatori Videogiochi Italiani (AESVI),Italy
Bad Seed,Italy
Black Robot Games,Italy
Blizzard Entertainment,Italy
Brain in the Box,Italy
BTS Bioengineering,Italy
Chubby Pixel,Italy
Cyber Coconut,Italy
Digital Bros,Italy
Digital Tales,Italy
DigitalFun,Italy
Elf Game Works,Italy
Forge Reply,Italy
Gameloft,Italy
Global Fun,Italy
Heartbit Interactive,Italy
Indie Construction,Italy
Indomitus Games,Italy
Italo Games,Italy
Koch Media,Italy
Lunar Great Wall Studios,Italy
Mangatar,Italy
Milestone,Italy
MimiLab,Italy
Mixed Bag,Italy
Molleindustria,Italy
Nintendo Italia,Italy
Ossocubo,Italy
Ovosonico,Italy
Picaresque Studio,Italy
Playstos Entertainment,Italy
PlaySys,Italy
Santa Ragione,Italy
Stigma Studios,Italy
Studio Clangore,Italy
Stupidi Pixel,Italy
Taito (Square Enix),Italy
Tiny Bull Studios,Italy
Ubisoft Milan,Italy
We Are Muesli,Italy
WePassion,Italy
WhatWapp Entertainment,Italy
White Milk Games,Italy
2024 Studios,Egypt
AN Games,Egypt
Appsinnovate,Egypt
Gimzat,Egypt
Hordecore,Egypt
Instinct Games,Egypt
Insya,Egypt
Rumbling Games,Egypt
VRteek,Egypt
Youmaku Games,Egypt
Build a Rocket Boy,Hungary
Gameloft,Hungary
Invictus,Hungary
Kiloo,Hungary
Nemesys,Hungary
Neocore,Hungary
Pocket Games,Hungary
Primal Game Studio,Hungary
Zen Studios,Hungary
1492 Studio,France
Alt Shift,France
Antek,France
Bakcorp Studio,France
Cheese Burgames,France
Cubical Drift,France
Curapy,France
Dear Villagers,France
Digixart Entertainment,France
Exkee,France
Feerik Games,France
Honikou Games,France
Immersive Factory,France
Kilosaurus,France
La Moutarde,France
LookAtMyGame,France
Midgar Studio,France
Moving Player,France
NaturalPad,France
Olderbytes,France
Oudidon,France
Permadeath,France
Piranaking,France
Pirogue Studio,France
Pixel Reef,France
Scimob,France
SeithCG,France
Smart Tale,France
SoulGame Studio,France
Splashteam,France
Swing Swing Submarine,France
The Game Bakers,France
TLK Games,France
Tony Studio,France
Ubisoft Montpellier,France
Unexpected Studio,France
Wild Sheep Studio,France
Wolcen Studio,France
2tainment,Germany
5th Planet Games,Germany
Aeria Games,Germany
AppLovin,Germany
Bigpoint,Germany
Black Pants Game Studio,Germany
Brain Stone,Germany
Brightside Games,Germany
Crowdpark,Germany
Crunchy Leaf Games,Germany
Exozet,Germany
Exozet,Germany
Fakt Software,Germany
Fox and Sheep,Germany
GameGenetics,Germany
Gameloft,Germany
Grizzly Games,Germany
gumi Germany,Germany
Hardscore Games,Germany
Honig Studios,Germany
Huuuge Games,Germany
Hypnotic Owl,Germany
Inbetween Games,Germany
Ion Lands,Germany
it Matters Games,Germany
Jam City,Germany
Jo-Mei Games,Germany
King.com (Activision),Germany
Klang Games,Germany
Magnussoft,Germany
Maschinen-Mensch,Germany
Megagon Industries,Germany
morgen studios,Germany
My.Games,Germany
Noio,Germany
Paintbucket Games,Germany
Phantom8,Germany
Pixonic,Germany
Playsnak,Germany
Radon Labs (Bigpoint),Germany
Reha-Stim Medtec,Germany
Riot Games,Germany
Sandbox Interactive,Germany
Six Foot,Germany
Smeet,Germany
Snowprint Studios,Germany
SOFTGAMES,Germany
Spaces of Play,Germany
Stratosphere Games,Germany
Toadman Interactive,Germany
TreasureHunt,Germany
Twisted Fingers Games,Germany
Ubisoft Berlin,Germany
Upalela,Germany
VR Bits,Germany
Wargaming Berlin,Germany
waza! Games,Germany
Wooga,Germany
Yager Development,Germany
Binary Star,New Zealand
Custard Square,New Zealand
DOTDOT,New Zealand
Flightless,New Zealand
Frogshark,New Zealand
Grinding Gear Games,New Zealand
inGame,New Zealand
Itsfine Games,New Zealand
Marker Metro,New Zealand
Metia Interactive,New Zealand
Mytona,New Zealand
New Zealand Game Developers Association,New Zealand
Ninja Kiwi,New Zealand
Oddboy,New Zealand
Rush Digital,New Zealand
Scarlet City Studios,New Zealand
Planetrism,Finland
Rival Games,Finland
10tons,Finland
Bon Games,Finland
Catland,Finland
Colossal Order,Finland
Hologram Monster,Finland
Hyperkani,Finland
Kopla Games (flaregames),Finland
Panic Art Studios,Finland
Parta Games,Finland
TeacherGaming,Finland
TeacherGaming,Finland
AKGames,Russia
Arkadium,Russia
Ino-Co,Russia
Ino-Co Plus,Russia
Sperasoft,Russia
1C Company,Russia
Apps Ministry,Russia
Buka Entertainment,Russia
Dynamic Pixels,Russia
Eagle Dynamics,Russia
Enplex Games,Russia
Evil Corporation Games,Russia
Fibrum,Russia
G5 Entertainment,Russia
Gaijin Entertainment,Russia
Game Insight,Russia
Game Insight,Russia
Game-Labs,Russia
Gameloft,Russia
Glu Mobile,Russia
Ice Pick Lodge,Russia
Ice-Pick Lodge,Russia
IT Territory,Russia
KamaGames Studio,Russia
Kedoo Entertainment,Russia
KranX Productions,Russia
Magisterion,Russia
Mandragora,Russia
My.Games,Russia
My.Games,Russia
Mytona,Russia
Nearga Digital,Russia
Nekki,Russia
