AChannel tt2670718
HugttoPrettyCure tt9005780
HybridXHeartMagiasAcademyAtaraxia tt5867902
IDontLikeYouAtAllBigBrother tt1872461
IeNakiKoRemi tt0168338
ImGonnaBeAnAngel tt0207152
IrodukuTheWorldInColours tt9050480
IsThisAZombie tt1780262
ItazuraNaKiss tt1214373
ItsudatteMySanta tt1183366
Jewelpet2009 tt1642495
JewelpetHappiness tt1642495
JewelpetKiraDeco tt1642495
JewelpetMagicalChange tt1642495
JoJosBizarreAdventureBattleTendency tt2359704
JoJosBizarreAdventureDiamondIsUnbreakable tt2359704
JoJosBizarreAdventureGoldenWind tt2359704
JoJosBizarreAdventurePhantomBlood tt2359704
JoJosBizarreAdventureStardustCrusaders tt2359704
JuniTaisenZodiacWar tt7694276
K tt2377452
KOBeast tt0104582
KOn tt1410218
Kaiji tt1202625
KakushigotoMyDadsSecretAmbition tt11299538
KamisamaKiss tt2320220
KanColle tt3639872
Karin tt1127249
Kingdom tt2404499
Kinnikuman tt0178148
KiraKiraHappyHirakeCocotama tt12987362
KonoOtoTomareSoundsOfLife tt9886006
KonoSuba tt5370118
KungFuLove NONE
KuroganeCommunication NONE
KyouNoGoNoNi tt1308085
LastExileFamTheSilverWing tt2142293
LaytonMysteryDetectiveAgency tt9532342
LittleGhostQTaro tt1038935
LittlePollon tt0294158
LiveOnCardliverKakeru tt15280396
LoveLive tt2595486
LupinIIIPart1 tt0159175
MAR tt0841963
MM tt1952071
Macross tt0142183
Macross7 tt0156220
MagicalWitchPuniechan tt1193476
MahouNoMakoChan tt0288983
MahouShojoLalabel tt0288989
MahouTsukaiChappy tt0288990
MajesticPrince tt2703708
Major tt1693435
MakyouDensetsuAcrobunch tt11400164
MaoChan tt0433669
MapleStory NONE
MarieAndGali NONE
MarvelAnimeBlade tt1988235
MarvelAnimeIronMan tt1707807
MarvelAnimeWolverine tt1847521
MeatOrDie NONE
MechaUde tt6225934
Megazone23 tt0160521
MermaidSaga tt0409625
MetalFightBeyblade tt1674928
MetalFightBeybladeZeroG tt3021606
MinamiKe tt1132205
MiracleWanda NONE
MirumoDePon tt0796127
Mnemosyne tt1196027
MobPsycho100 tt5897304
MobileSuitGundam00 tt1134000
MouryouNoHako tt2172914
Moyashimon tt1143514
MrStainOnJunkAlley tt0848960
MusashiGundoh tt0846454
MyHime tt0824043
MyLittleMonster tt2309302
NanakaSixSeventeen tt1086235
Naruto tt0409591
NegimaSecondSeason tt1187349
NeoHumanCasshern tt0192886
Nichijou tt2098308
NinetyOneDays tt5839706
NinjaHattori tt2787558
NobunagaConcerto tt3717892
NodameCantabile tt0928099
Noir tt0294154
OkamiSan tt1685410
OnmyouTaisenki tt0963017
Orange tt5839732
Oresuki tt10883006
OverLord2012 tt4869896
OxTales tt0470651
PetitEva tt2891516
Phoenix tt1324042
Piano tt1071676
PianoNoMori tt8043492
PiccolinoNoBoken tt0204102
PitaTen tt0857298
PlaceToPlace tt2309934
PrincessPrincess tt1188328
PrincessSarah tt0168375
QueensBlade tt1407599
R15 tt2075073
RanmaOneHalf tt0096686
ReKan tt5079104
ReZero tt5607616
RedPhotonZillion tt0293994
RideBack tt1364721
RockLeesSpringtimeOfYouth tt2301807
RosarioPlusVampire tt1161684
Saikano tt0373605
SaintSeiyaKnightsOfTheZodiac tt6908976
Saiyuki tt0111056
Saki tt1409064
SamuraiSeven tt0482424
SazaeSan tt0236924
SecretOfCeruleanSand tt1576820
SeiJuushiBismarck tt0294181
SevenSeeds tt9348718
ShangriLa tt2051683
SilverSpoon tt2909912
SkullMan tt0996277
Slayers tt0112166
Sola tt1120961
SorcererStabberOrphen tt0251816
SpaceAdventureCobra tt0235138
SpacePirateMito tt2639316
SpecialA tt1216196
SpellboundMagicalPrincessLilPri tt14895298
Spiral tt0369167
SteelAngelKurumi2 tt0991052
Stitch tt1282011
Stratos4 tt0429439
StrawberryOneHundredPercent tt1165082
SuitePrettyCure NONE
SuperCombiningMagicalRobotGinguiser tt1371593
SuperPig tt0108966
SuperSonico tt3399734
Supernatural tt1679482
SweetValerian NONE
TacticalRoar NONE
TaiChiChasers tt11808432
TegamiBachiLetterBee tt1528592
Tekkaman tt0294211
TenchiInTokyo NONE
TenjhoTenge tt0809815
TenrouSiriusTheJaeger tt8565136
TerrorInResonance tt3613454
TheGoodWitchOfTheWest tt0988925
TheJungleBook tt0283750
ThePrinceOfTennis tt0466352
TheThreeMusketeers tt0294002
ThreeThousandLeaguesInSearchOfMother tt0074002
ThrillerRestaurant NONE
TicoOfTheSevenSeas tt0168354
TimeBokan24 tt16435810
ToiletBoundHanakoKun tt10777610
Touch tt0294208
TwentyOneEmon tt3897210
TwinSpica tt1491857
UFOPrincessValkyrie tt0443717
UFOWarriorDaiApolon tt0488473
Ulysses31 tt0131190
UnGo tt2127216
UtaNoPrinceSama tt2362887
VipersCreed tt2033910
Voltron tt0086824
Wagnaria tt1685484
WanderingSon tt2011519
WataMote tt2963556
WeWereThere tt2147761
WeissKreuz tt0192943
Whistle tt3389064
Witchblade tt0813971
WonderBeatScramble tt1333622
X1999 tt0312258
YamadaKunAndTheSevenWitches tt4623042
YamiToBoushiToHonNoTabibito tt1172149
YouAndMe tt7164706
YouAreBeingSummonedAzazel tt8869838
YoureUnderArrest tt0111351
YozakuraQuartet tt1301972
YuGiOhFirstAnimeSeries tt4834194
ZeroSevenGhost tt1424033
ZeroZeroNineOne tt1025104
ZoidsNewCentury tt0214354
Zoobles NONE
