Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
bottomlessbladder/0.000995451814983266,magicknight/0.003341916397304553,hundredpercentcompletion/0.001959190070824721,shortrangeshotgun/0.002388195490859466,limitbreak/0.0017223842137383874,meaningfulname/0.002936086411648863,coldbloodedtorture/0.004587613443702005
drivingquestion/0.0009267999656740754,brokeyourarmpunchingoutcthulhu/0.003287130882594642,wakeupcallboss/0.0018808224679917323,explodingbarrels/0.002359764592158758,levelgrinding/0.0016952600528921137,exactlywhatitsaysonthetin/0.002936086411648863,theberserker/0.004487882716665005
cashcowfranchise/0.0009267999656740754,wingedhumanoid/0.003232345367884731,sequencebreaking/0.0018710265176376086,criticalexistencefailure/0.00233133369345805,signatureline/0.0016816979724689767,boringbutpractical/0.0028525392373336517,immunetobullets/0.004487882716665005
fanficsof20152019/0.0009267999656740754,surprisecreepy/0.003232345367884731,nonstandardgameover/0.001861230567283485,backstab/0.0022460409973559265,remixedlevel/0.0016681358920458398,allthereinthemanual/0.0028525392373336517,mauveshirt/0.004388151989628004
whatthehellisthataccent/0.0009096370033467776,fastballspecial/0.0031775598531748207,harderthanhard/0.0018318427162211143,revolversarejustbetter/0.0022460409973559265,helloinsertnamehere/0.0016410117311995661,mythologygag/0.0028525392373336517,suicideattack/0.004288421262591004
battlecry/0.0008409851540375869,ourdragonsaredifferent/0.0031775598531748207,recurringboss/0.0018318427162211143,gatlinggood/0.0022460409973559265,vendortrash/0.0016410117311995661,bookends/0.002661574267470311,smokingiscool/0.004288421262591004
trollingcreator/0.0008409851540375869,starcrossedlovers/0.0030679888237549993,bossinmookclothing/0.0017730670140963726,setamooktokillamook/0.0022460409973559265,characterdevelopment/0.0016410117311995661,artificialstupidity/0.002649638956853852,ngosuperpower/0.004188690535554004
dramaticirony/0.0008409851540375869,itemget/0.0030679888237549993,flunkyboss/0.001763271063742249,carfu/0.0022176100986552186,bonusdungeon/0.001627449650776429,bittersweetending/0.002613833025004476,backforthedead/0.004188690535554004
fullfrontalassault/0.0008238221917102892,thegrimreaper/0.0029584177943351776,oldsavebonus/0.0017436791630340018,hyperspacearsenal/0.0022176100986552186,playingwithfire/0.001627449650776429,easteregg/0.002578027093155099,praetorianguard/0.004088959808517004
itspopularnowitsucks/0.0008238221917102892,pantheraawesome/0.0029584177943351776,recurringriff/0.0017338832126798781,privatemilitarycontractors/0.0021891791999545107,beefgate/0.0016138875703532922,darkerandedgier/0.0025660917825386406,antiair/0.003989229081480004
thelawofconservationofdetail/0.0008238221917102892,fishingminigame/0.002903632279625267,degradedboss/0.0017240872623257545,shotgunsarejustbetter/0.002160748301253803,bfs/0.0016138875703532922,continuitynod/0.0025064152294563464,coolcar/0.003889498354443004
baldofevil/0.0008066592293829915,popquiz/0.002903632279625267,bossrush/0.001714291311971631,mookhorrorshow/0.002160748301253803,squishywizard/0.0016003254899301554,ohcrap/0.002494479918839888,foreverwar/0.003889498354443004
cutenessproximity/0.0008066592293829915,neversaydie/0.002794061250205446,anticlimaxboss/0.0017044953616175073,scarechord/0.002160748301253803,antigrinding/0.0016003254899301554,callback/0.002482544608223429,easylogistics/0.003889498354443004
hubunderattack/0.0008066592293829915,mutuallyexclusivepartymembers/0.002794061250205446,pointofnoreturn/0.0017044953616175073,ourzombiesaredifferent/0.002132317402553095,theendoftheworldasweknowit/0.0015732013290838814,videogamecaringpotential/0.002482544608223429,deathworld/0.0037897676274060038
easierthaneasy/0.0008066592293829915,rainbowspeak/0.002739275735495535,ruleofcool/0.0016849034609092602,blownacrosstheroom/0.0021038865038523866,miniboss/0.0015596392486607446,nerf/0.0024706092976069702,logojoke/0.0036900369003690036
thealcatraz/0.0008066592293829915,worldtree/0.002739275735495535,promotedtoplayable/0.0016751075105551365,chainsawgood/0.0021038865038523866,lethaljokecharacter/0.0015460771682376077,mooks/0.0024467386763740526,hivemind/0.0035903061733320034
thepowerofhate/0.0008066592293829915,onlythechosenmaywield/0.002739275735495535,dualboss/0.0016751075105551365,videogameflamethrowerssuck/0.0021038865038523866,noobcave/0.0015189530073913338,gamebreakingbug/0.0024109327445246765,cosmeticallyadvancedprequel/0.0035903061733320034
knowwhentofoldem/0.0008066592293829915,meteorsummoningattack/0.002739275735495535,turnsred/0.0016261277587845185,onehitpolykill/0.0020754556051516787,itemcrafting/0.0015189530073913338,justifiedtrope/0.0024109327445246765,friendlysniper/0.0034905754462950037
understatement/0.0008066592293829915,creditsmedley/0.002739275735495535,butthoumust/0.0015673520566597769,icallitvera/0.0020754556051516787,dualwielding/0.0015189530073913338,interfacescrew/0.0023989974339082175,thealliance/0.0033908447192580035
spellmynamewithathe/0.0007894962670556938,godsaveusfromthequeen/0.0026297047060757136,climaxboss/0.0015673520566597769,emergencyweapon/0.0020754556051516787,criticalhit/0.001505390926968197,wordofgod/0.0023273855702094647,beenthereshapedhistory/0.0033908447192580035
summonbiggerfish/0.0007894962670556938,rageagainsttheheavens/0.0026297047060757136,earlygamehell/0.0015575561063056532,bullettime/0.002047024706450971,peninsulaofpowerleveling/0.00149182884654506,subvertedtrope/0.002303514948976547,militaryandwarfarevideogames/0.0032911139922210033
castofsnowflakes/0.0007894962670556938,heroeswantredheads/0.0026297047060757136,infinityminusonesword/0.0015575561063056532,donotrunwithagun/0.002018593807750263,greatoffscreenwar/0.00149182884654506,nintendohard/0.002303514948976547,stealthbasedgame/0.003191383265184003
yourmom/0.0007894962670556938,sadclown/0.0026297047060757136,marathonlevel/0.0015477601559515297,blingblingbang/0.001990162909049555,uniqueenemy/0.00149182884654506,timedmission/0.0022915796383600885,cannonfodder/0.003191383265184003
companioncube/0.0007894962670556938,distresseddude/0.0026297047060757136,giantspacefleafromnowhere/0.0014987804041809115,limitedloadout/0.0019048702129474313,spellmynamewithans/0.001478266766121923,permanentlymissablecontent/0.0022915796383600885,journeytothecenterofthemind/0.003191383265184003
wrenchwench/0.0007723333047283961,camebackstrong/0.0026297047060757136,slippyslideyiceworld/0.0014987804041809115,karmameter/0.0018764393142467234,thebattledidntcount/0.0014375805248525123,expy/0.0022796443277436295,comicbookfantasycasting/0.003091652538147003
evilerthanthou/0.0007723333047283961,dragonrider/0.0025749191913658027,compilationrerelease/0.0014693925531185407,yourheadasplode/0.0018764393142467234,didyoujustpunchoutcthulhu/0.0014375805248525123,runninggag/0.0022796443277436295,expandeduniverse/0.003091652538147003
drowningmysorrows/0.0007723333047283961,killthegod/0.0025749191913658027,puzzleboss/0.0014595966027644172,heavilyarmoredmook/0.0018480084155460155,sidequest/0.0014104563640062386,andyourrewardisclothes/0.0022319030852777943,gangstastyle/0.003091652538147003
enjoythestoryskipthegame/0.0007723333047283961,lightisgood/0.0025201336766558923,lethallavaland/0.0014498006524102935,actionizedsequel/0.0018480084155460155,fantasycounterpartculture/0.0013968942835831017,nicejobbreakingithero/0.0022080324640448767,flingalightintothefuture/0.003091652538147003
ironicname/0.0007723333047283961,precursorheroes/0.0025201336766558923,selfimposedchallenge/0.00144000470205617,simpleyetawesome/0.0018480084155460155,randomdrop/0.0013968942835831017,cutscenepowertothemax/0.0022080324640448767,taponthehead/0.003091652538147003
amazingtechnicolorpopulation/0.0007723333047283961,soreloser/0.0025201336766558923,lethaljokeitem/0.00144000470205617,pacifistrun/0.0018480084155460155,darkisnotevil/0.0013968942835831017,unexpectedgameplaychange/0.0022080324640448767,antiarmor/0.002991921811110003
hairtriggertemper/0.0007723333047283961,jerkassgods/0.0024653481619459814,videogamesofthe2000s/0.0014302087517020464,grenadelauncher/0.0017911466181445995,teleportspam/0.0013833322031599647,heroicsacrifice/0.002184161842811959,loosecanon/0.002991921811110003
dissonantserenity/0.0007723333047283961,swordandsorcerer/0.0024653481619459814,brokenbridge/0.0014302087517020464,fallingdamage/0.0017911466181445995,desperationattack/0.001356208042313691,elitemooks/0.0021722265321955005,permastubble/0.002991921811110003
satan/0.0007551703424010985,wholesomecrossdresser/0.0024653481619459814,sequentialboss/0.0014302087517020464,aka47/0.0017627157194438916,sealedevilinacan/0.001356208042313691,escortmission/0.002136420600346124,wherethehellisspringfield/0.002991921811110003
thelastoftheseisnotliketheothers/0.0007551703424010985,halfhumanhybrid/0.0024653481619459814,cherrytapping/0.0014204128013479227,bondoneliner/0.0017627157194438916,summonmagic/0.001356208042313691,whamline/0.0021125499791132063,coloncancer/0.002892191084073003
metaphoricallytrue/0.0007208444177465031,lovecraftlite/0.0024653481619459814,secondquest/0.0014204128013479227,videogamedemake/0.0017627157194438916,thehero/0.001342645961890554,difficultbutawesome/0.0021006146684967478,youhavegottobekiddingme/0.002892191084073003
fanficsof20102014/0.0007036814554192053,constructedworld/0.0024653481619459814,bossremix/0.0014106168509937993,menaretheexpendablegender/0.0017627157194438916,statuseffects/0.001342645961890554,gamemod/0.0021006146684967478,savedbycanon/0.002892191084073003
signaturestyle/0.0006865184930919077,goodwingsevilwings/0.002410562647236071,cap/0.0014008209006396756,megacorp/0.0017342848207431837,hublevel/0.001329083881467417,insurmountablewaistheightfence/0.0020409381154144536,encyclopediaexposita/0.002892191084073003
theknightswhosaysquee/0.0006865184930919077,ancestralweapon/0.002410562647236071,heroicmime/0.0014008209006396756,artificialatmosphericactions/0.0017342848207431837,magitek/0.0013155218010442802,jerkass/0.002017067494181536,hopelesswar/0.0026927296299990027
creepyawesome/0.0006865184930919077,whitehairblackheart/0.002410562647236071,battlethememusic/0.0013812289999314284,sniperrifle/0.0017342848207431837,moneyspider/0.0013155218010442802,colourcodedforyourconvenience/0.002017067494181536,vicecity/0.0026927296299990027
earnyourbadending/0.0006865184930919077,goldandwhitearedivine/0.002410562647236071,hopelessbossfight/0.0013812289999314284,thevirus/0.0017342848207431837,inuniversegameclock/0.0013155218010442802,thedragon/0.002017067494181536,stunguns/0.0026927296299990027
crackfic/0.0006865184930919077,kingincognito/0.002410562647236071,warmupboss/0.0013714330495773047,gasmaskmooks/0.0017342848207431837,duelboss/0.0013019597206211434,eldritchabomination/0.0020051321835650774,mutualkill/0.0026927296299990027
stealthhibye/0.0006865184930919077,rescueromance/0.00235577713252616,killerapp/0.001361637099223181,stocksoundeffects/0.0017058539220424758,myrulesarenotyourrules/0.0012883976401980063,thecameo/0.00198126156233216,catapultnightmare/0.0026927296299990027
nobodypoops/0.00066935553076461,inevitabletournament/0.00235577713252616,humongousmecha/0.001361637099223181,healthyself/0.0017058539220424758,scratchdamage/0.0012883976401980063,unintentionallyunwinnable/0.00198126156233216,torchthefranchiseandrun/0.0026927296299990027
malevolentmaskedmen/0.00066935553076461,noitemuseforyou/0.00235577713252616,whereitallbegan/0.0013518411488690576,soundcodedforyourconvenience/0.0017058539220424758,kaizotrap/0.0012883976401980063,sceneryporn/0.00198126156233216,ruderandcruder/0.0026927296299990027
itamusedme/0.00066935553076461,literalsplitpersonality/0.00235577713252616,suspiciousvideogamegenerosity/0.001342045198514934,badassinanicesuit/0.0017058539220424758,finishingmove/0.0012883976401980063,toodumbtolive/0.00198126156233216,stillwearingtheoldcolors/0.0026927296299990027
nonmammalmammaries/0.00066935553076461,elementalweapon/0.00235577713252616,jokeitem/0.001342045198514934,standardfpsguns/0.001677423023341768,wolfpackboss/0.0012748355597748695,difficultyspike/0.0019693262517157008,itstheonlywaytobesure/0.0025929989029620025
offscreeninertia/0.00066935553076461,frothymugsofwater/0.002300991617816249,thememusicpowerup/0.001342045198514934,thirdpersonshooter/0.001677423023341768,themanbehindtheman/0.0012748355597748695,pun/0.0019454556304827834,humansarespecial/0.0025929989029620025
comedicsociopathy/0.00066935553076461,retgone/0.002300991617816249,idleanimation/0.0013322492481608102,diegeticinterface/0.001677423023341768,adamsmithhatesyourguts/0.0012748355597748695,chekhovsgun/0.0019454556304827834,goodsmokingevilsmoking/0.0025929989029620025
herewegoagain/0.0006521925684373123,ladyofblackmagic/0.002300991617816249,previousplayercharactercameo/0.0013322492481608102,voicewithaninternetconnection/0.001677423023341768,tacticalsuicideboss/0.0012612734793517326,artificialbrilliance/0.0019454556304827834,acepilot/0.0025929989029620025
ambiguouslyevil/0.0006521925684373123,whitemagiciangirl/0.0022462061031063387,dropthehammer/0.0013224532978066868,invisiblemonsters/0.001677423023341768,combatmedic/0.0012477113989285955,avertedtrope/0.0019335203198663246,notwhatisignedonfor/0.0025929989029620025
sunglassesatnight/0.0006521925684373123,hellhound/0.0022462061031063387,disconefinaldungeon/0.001293065446744316,firstpersonshooter/0.00164899212464106,onestattorulethemall/0.0012341493185054587,whatthehellplayer/0.0019335203198663246,diehardonanx/0.0025929989029620025
seeyouinhell/0.0006521925684373123,technicolorfire/0.0022462061031063387,tagline/0.0012734735460360686,pistolwhipping/0.00164899212464106,blackoutbasement/0.0012205872380823218,cutsceneincompetence/0.0019215850092498658,vaguenessiscoming/0.0025929989029620025
losingyourhead/0.0006521925684373123,npcroadblock/0.0022462061031063387,variablemix/0.0012734735460360686,westernrpg/0.00164899212464106,improbableweaponuser/0.0012205872380823218,heelfaceturn/0.0019215850092498658,elitesaremoreglamorous/0.0025929989029620025
thegreateststorynevertold/0.0006521925684373123,humansaretherealmonsters/0.002191420588396428,kingmook/0.0012734735460360686,optionalstealth/0.00164899212464106,bottomlesspits/0.0012205872380823218,largeham/0.0019215850092498658,codename/0.0024932681759250023
theladette/0.0006521925684373123,popularwithfurries/0.002191420588396428,autobotsrockout/0.0012636775956819451,necksnap/0.001620561225940352,nowwherewasigoingagain/0.0012205872380823218,damnyoumusclememory/0.001909649698633407,clearmyname/0.0024932681759250023
cityofadventure/0.0006521925684373123,themagicgoesaway/0.002191420588396428,thatoneattack/0.001244085694973698,sniperpistol/0.001620561225940352,actionrpg/0.001207025157659185,violationofcommonsense/0.001909649698633407,wehardlyknewye/0.0024932681759250023
sesquipedalianloquaciousness/0.0006521925684373123,somethingaboutarose/0.002191420588396428,nonlinearsequel/0.0012244937942654506,kungfuproofmook/0.001592130327239644,linearwarriorsquadraticwizards/0.001207025157659185,glasscannon/0.001909649698633407,escapistcharacter/0.0024932681759250023
gildedcage/0.0006350296061100146,tertiarysexualcharacteristics/0.002191420588396428,wavemotiongun/0.0012244937942654506,explosivebarrels/0.001592130327239644,lastchancehitpoint/0.001207025157659185,curbstompbattle/0.0018977143880169482,crewofone/0.0024932681759250023
holdyourhippogriffs/0.0006350296061100146,gianthandsofdoom/0.0021366350736865174,purposelyoverpowered/0.0012146978439113271,thetetriseffect/0.001563699428538936,fightermagethief/0.001207025157659185,playercharacter/0.0018857790774004894,noonegetsleftbehind/0.0024932681759250023
firstpersonsnapshooter/0.0006178666437827169,nightmarefetishist/0.0021366350736865174,supertitle64advance/0.0012049018935572035,sprintmeter/0.001563699428538936,absurdlyhighlevelcap/0.001193463077236048,multipleendings/0.0018261025243181954,obligatoryswearing/0.0024932681759250023
heroiccomedicsociopath/0.0006178666437827169,trippyfinalesyndrome/0.0021366350736865174,undergroundmonkey/0.0011951059432030798,lasersight/0.0015352685298382282,superboss/0.001179900996812911,whathappenedtothemouse/0.0018141672137017366,generalripper/0.0023935374488880026
affectionatenickname/0.0006178666437827169,everythingsbetterwithpenguins/0.0020818495589766065,youalllookfamiliar/0.0011853099928489563,teleportingkeycardsquad/0.0015352685298382282,barefistedmonk/0.001179900996812911,cuttingoffthebranches/0.0018141672137017366,bodycountcompetition/0.0023935374488880026
crazyiscool/0.0006178666437827169,tinyguyhugegirl/0.0020818495589766065,chargedattack/0.0011853099928489563,enemydetectingradar/0.0015352685298382282,shiptease/0.001179900996812911,tookalevelinbadass/0.0018022319030852778,cyberninja/0.0022938067218510024
thenewtens/0.0006007036814554192,companycrossreferences/0.0020818495589766065,truefinalboss/0.0011853099928489563,supersoldier/0.0015352685298382282,speedrun/0.001179900996812911,whamepisode/0.0018022319030852778,fivetokenband/0.0022938067218510024
thedogwasthemastermind/0.0006007036814554192,breakingoldtrends/0.0020818495589766065,sciencefictionvideogames/0.0011755140424948326,universalammunition/0.0015068376311375203,kleptomaniachero/0.001179900996812911,leitmotif/0.001790296592468819,formfittingwardrobe/0.0022938067218510024
moneygrinding/0.0006007036814554192,artstyledissonance/0.002027064044266696,shiftingsandland/0.001165718092140709,leeroyjenkins/0.0014784067324368124,defeatmeansfriendship/0.001179900996812911,handwave/0.0017783612818523602,thoushaltnotkill/0.002194075994814002
improbableinfantsurvival/0.0006007036814554192,mon/0.002027064044266696,thegoomba/0.001165718092140709,coolbutinefficient/0.0014499758337361043,slidingscaleofsillinessversusseriousness/0.0011663389163897742,inuniverse/0.0017664259712359015,homoeroticsubtext/0.002194075994814002
kubrickstare/0.0006007036814554192,friendlyrivalry/0.002027064044266696,fetchquest/0.001165718092140709,optionalsexualencounter/0.0014499758337361043,onehitpointwonder/0.0011663389163897742,thereveal/0.0017664259712359015,wantedmeter/0.002194075994814002
beebeegun/0.0006007036814554192,pointyears/0.002027064044266696,youcantthwartstageone/0.001165718092140709,boozebasedbuff/0.0014499758337361043,finalbosspreview/0.0011663389163897742,bilingualbonus/0.0017664259712359015,itgetseasier/0.002194075994814002
asideglance/0.0006007036814554192,fireandbrimstonehell/0.001972278529556785,marathonboss/0.001165718092140709,mushroomsamba/0.0014499758337361043,swordofplotadvancement/0.0011663389163897742,sequelhook/0.0017664259712359015,stealthrun/0.002194075994814002
offtherails/0.0006007036814554192,injuredvulnerability/0.001972278529556785,fakelongevity/0.001165718092140709,deadlygas/0.0014215449350353964,intercontinuitycrossover/0.0011663389163897742,tooawesometouse/0.0017664259712359015,militarysciencefiction/0.002094345267777002
letsfightlikegentlemen/0.0006007036814554192,morphicresonance/0.001972278529556785,damagespongeboss/0.0011559221417865855,coldsniper/0.0014215449350353964,healersignsonearly/0.0011663389163897742,leaningonthefourthwall/0.0017425553500029839,bulletproofvest/0.002094345267777002
genderblendername/0.0006007036814554192,olderandwiser/0.001972278529556785,playableepilogue/0.0011559221417865855,blatantitemplacement/0.0014215449350353964,hptoone/0.0011527768359666374,videogamecrueltypunishment/0.001730620039386525,gangbangers/0.002094345267777002
badasspreacher/0.0006007036814554192,morethanmindcontrol/0.001972278529556785,brutalbonuslevel/0.0011559221417865855,killedmidsentence/0.0014215449350353964,artifactofdoom/0.0011527768359666374,bodyhorror/0.0017186847287700663,strappedtoanoperatingtable/0.002094345267777002
battlebutler/0.0006007036814554192,hearingvoices/0.001972278529556785,noticethis/0.0011461261914324618,onebulletclips/0.0014215449350353964,randomnumbergod/0.0011527768359666374,hoistbyhisownpetard/0.0017067494181536075,filmnoir/0.002094345267777002
puttingthebandbacktogether/0.0005835407191281215,glitchentity/0.001972278529556785,mirrorboss/0.0011363302410783381,retirony/0.0013931140363346885,ridiculouslycutecritter/0.0011527768359666374,powerupletdown/0.0017067494181536075,theeighties/0.002094345267777002
fictionalcurrency/0.0005835407191281215,teensareshort/0.0019174930148468745,thatonesidequest/0.0011363302410783381,actionsurvivor/0.0013931140363346885,crossovership/0.0011527768359666374,axcrazy/0.0016948141075371487,interplayofsexandviolence/0.002094345267777002
onlymostlydead/0.0005835407191281215,resetbutton/0.0019174930148468745,aibreaker/0.0011265342907242147,guntwirling/0.0013931140363346885,publicdomainartifact/0.0011392147555435003,schmuckbait/0.0016828787969206899,vigilanteman/0.002094345267777002
cutekitten/0.0005835407191281215,silkhidingsteel/0.0019174930148468745,mookmaker/0.0011265342907242147,beatingadeadplayer/0.0013931140363346885,swordbeam/0.0011392147555435003,wellintentionedextremist/0.0016828787969206899,dissimile/0.002094345267777002
notworthkilling/0.0005835407191281215,liplock/0.0019174930148468745,annoyingvideogamehelper/0.001116738340370091,fantasticdrug/0.0013931140363346885,spinattack/0.0011392147555435003,earlyinstallmentweirdness/0.001670943486304231,lol69/0.001994614540740002
levelupatintimacy5/0.0005835407191281215,youkai/0.0019174930148468745,anaxetogrind/0.0010971464396618438,homingprojectile/0.0013931140363346885,tragicmonster/0.0011392147555435003,stealthpun/0.0016590081756877723,homingboulders/0.001994614540740002
heroeslovedogs/0.0005835407191281215,costumeevolution/0.0019174930148468745,deathisaslaponthewrist/0.0010873504893077202,romancesidequest/0.0013646831376339806,walkingshirtlessscene/0.0011392147555435003,sequelescalation/0.0016590081756877723,ridiculousfuturesequelisation/0.001994614540740002
sexywalk/0.0005835407191281215,itemcaddy/0.0019174930148468745,getbackhereboss/0.0010873504893077202,cult/0.0013646831376339806,uselessusefulspell/0.0011392147555435003,moneyfornothing/0.0016590081756877723,withcatliketread/0.001994614540740002
motormouth/0.0005663777568008238,ladyandknight/0.0019174930148468745,videogameremake/0.0010873504893077202,dialoguetree/0.0013646831376339806,disconefinalboss/0.0011392147555435003,loadsandloadsofloading/0.0016590081756877723,theallegedcar/0.001994614540740002
ambiguousdisorder/0.0005663777568008238,dragonsaredemonic/0.0018627075001369639,warpwhistle/0.0010873504893077202,heyitsthatsound/0.0013646831376339806,airbornemook/0.0011256526751203635,thereisnokilllikeoverkill/0.0016470728650713135,deadmansswitch/0.001994614540740002
obliviouslyevil/0.0005663777568008238,curtainsmatchthewindow/0.0018627075001369639,goddamnedboss/0.0010775545389535965,droneofdread/0.0013646831376339806,eternalengine/0.0011256526751203635,onemanarmy/0.0016470728650713135,thosewackynazis/0.001994614540740002
storydifficultysetting/0.0005663777568008238,godsneedprayerbadly/0.0018627075001369639,informedequipment/0.0010775545389535965,benevolentarchitecture/0.0013362522389332727,ganguponthehuman/0.0011120905946972266,actionbomb/0.0016351375544548547,obligatorywarcrimescene/0.001994614540740002
intheendyouareonyourown/0.0005663777568008238,stockweaponnames/0.0018627075001369639,sequeldifficultyspike/0.001067758588599473,clusterfbomb/0.0013362522389332727,noherodiscount/0.0011120905946972266,cosmeticaward/0.0016351375544548547,evilisnotwelllit/0.001994614540740002
unpopularpopularcharacter/0.0005492147944735262,eternalrecurrence/0.0018627075001369639,armorisuseless/0.0010579626382453493,nightofthelivingmooks/0.0013362522389332727,aniceperson/0.0011120905946972266,downerending/0.001623202243838396,newmeat/0.001994614540740002
evildetectingdog/0.0005492147944735262,selffulfillingprophecy/0.0018627075001369639,katanasarejustbetter/0.0010579626382453493,kineticweaponsarejustbetter/0.0013078213402325648,heroespreferswords/0.0010985285142740896,faceheelturn/0.001611266933221937,mobwar/0.001994614540740002
plottriggeringdeath/0.0005492147944735262,thirdoptionadaptation/0.0018627075001369639,macrossmissilemassacre/0.0010481666878912259,itcanthink/0.0013078213402325648,damageovertime/0.0010985285142740896,lightningbruiser/0.001611266933221937,britishmedia/0.001994614540740002
battleamongsttheflames/0.0005492147944735262,fartillery/0.0018627075001369639,flashstep/0.0010481666878912259,improbableaimingskills/0.0013078213402325648,multimookmelee/0.0010985285142740896,brickjoke/0.001611266933221937,nomdeguerre/0.001994614540740002
ambiguouslygay/0.0005320518321462284,whowantstoliveforever/0.0018627075001369639,checkpointstarvation/0.0010481666878912259,imperialstormtroopermarksmanshipacademy/0.0013078213402325648,purelyaestheticgender/0.0010985285142740896,bigdamnheroes/0.0015993316226054783,doubleagent/0.001994614540740002
cuteandpsycho/0.0005320518321462284,relationshipwritingfumble/0.0018627075001369639,fireicelightning/0.0010383707375371022,punchpackingpistol/0.0013078213402325648,firsttown/0.0010985285142740896,irony/0.0015873963119890195,explosivebreeder/0.001994614540740002
thepasswordisalwaysswordfish/0.0005320518321462284,thanatosgambit/0.0018627075001369639,badassnormal/0.0010383707375371022,invisibilitycloak/0.0013078213402325648,rarecandy/0.0010985285142740896,whatthehellhero/0.0015873963119890195,triggerhappy/0.001994614540740002
andyourrewardisinteriordecorating/0.0005320518321462284,awesomemomentofcrowning/0.001807921985427053,sequeldifficultydrop/0.0010383707375371022,stockscream/0.001279390441531857,greenhillzone/0.0010985285142740896,retcon/0.0015873963119890195,justastupidaccent/0.001994614540740002
fiction500/0.0005320518321462284,firstgirlwins/0.001807921985427053,itsallupstairsfromhere/0.0010383707375371022,decapitatedarmy/0.001279390441531857,lifedrain/0.0010849664338509527,moodwhiplash/0.001563525690756102,bizarreandimprobableballistics/0.001994614540740002
parallelporntitles/0.0005320518321462284,siblingteam/0.001807921985427053,goldenending/0.0010383707375371022,talkingthemonstertodeath/0.001279390441531857,crutchcharacter/0.0010849664338509527,mightyglacier/0.001563525690756102,surprisinglysuddendeath/0.0018948838137030019
