Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17
guestfighter/0.004665506251142533,meaningfulname/0.0064546033953299725,fanservice/0.00568106576264004,mythologygag/0.008695448366380724,castofsnowflakes/0.0014414061406700439,videogamecrueltypunishment/0.00875119879435539,thehero/0.004331654032675738,gatlinggood/0.005765673314519505,scoringpoints/0.013727275793450032,ohmygods/0.004994711481960277,ancestralweapon/0.004676716309480567,aluminumchristmastrees/0.006059278726821434,madeofiron/0.00890529472834237,moneyspider/0.006182286841999275,topdownview/0.01822169731736123,arbitraryheadcountlimit/0.00985447461899851,nukeem/0.00675986551052911
nerf/0.004625765993466702,expy/0.006332927747841706,helloinsertnamehere/0.005575125142357708,ohcrap/0.006968858888420131,artificialatmosphericactions/0.0014414061406700439,whatthehellplayer/0.007929168379230031,eldritchlocation/0.00426102923866472,criticalexistencefailure/0.005468612862717563,collisiondamage/0.013491180140982833,talkingthemonstertodeath/0.00487718885885533,supremechef/0.004676716309480567,onebulletclips/0.006022777047744197,featurelessprotagonist/0.00830545622332449,uselessusefulspell/0.0060614603890611785,neversmileatacrocodile/0.01805297789775603,dualwielding/0.00979718116191131,alieninvasion/0.006653689612457972
limitbreak/0.004593973787326037,timedmission/0.006309751434034417,defeatmeansfriendship/0.005018936885875467,nonstandardgameover/0.006929795778059032,yourmom/0.0014274119062946066,insurmountablewaistheightfence/0.007723660775448692,cutsceneincompetence/0.004225716841659212,boomheadshot/0.0054146018714808465,endlessgame/0.012749165233228776,murderisthebestsolution/0.004818427547302856,medievaleuropeanfantasy/0.004676716309480567,warishell/0.0054387501825083956,webgames/0.008190102664667204,bladeonastick/0.006041322646904829,thepasswordisalwaysswordfish/0.01754681963894044,energyweapon/0.009529811695504374,jetpack/0.0065829056804105465
gameover/0.0045224413235095415,boringbutpractical/0.0059099600208586825,combinationattack/0.004807055645310803,continuitynod/0.006820419069047954,hairtriggertemper/0.00135744073441742,itemcrafting/0.007244143033292232,killemall/0.004143321248646358,firstpersonshooter/0.005347088132434951,noplotnoproblem/0.01177105467300752,aworldhalffull/0.004759666235750382,storybranchfavoritism/0.0045859062840537595,takecover/0.00536574682435392,indiegame/0.00807474910600992,antigrinding/0.00602118490474848,misplacedwildlife/0.01720938079973005,zergrush/0.009510713876475306,losttechnology/0.006405945850291984
earlyinstallmentweirdness/0.0042204153651732275,artificialstupidity/0.005689785039689438,characterdevelopment/0.004396535741716768,gamebreakingbug/0.0067735433366146345,sesquipedalianloquaciousness/0.0013434465000419827,bossbattle/0.007209891765995342,themanbehindtheman/0.004143321248646358,apocalypsehow/0.004793475472258605,shootemup/0.011669870821950151,youloseatzerotrust/0.004642143612645434,evilweapon/0.004540501271340356,artisticlicensehistory/0.005329245145276683,nothingisscarier/0.008051678394278464,summonmagic/0.005839945225341335,alldesertshavecacti/0.016534503121309264,magikarppower/0.009434322600359039,easylogistics/0.006335161918244558
promotedtoplayable/0.004140934849821566,easteregg/0.0054348455878092585,didyoujustpunchoutcthulhu/0.0043832931641814765,interfacescrew/0.006695417115892436,metaphoricallytrue/0.0013294522656665455,convectionschmonvection/0.007021509795862447,adultfear/0.004143321248646358,friendlyfireproof/0.004793475472258605,heartcontainer/0.010590576410671524,nippleanddimed/0.00458338230109296,masterswordsman/0.004358881220486742,militaryandwarfarevideogames/0.005292743466199445,pressxtonotdie/0.007982466259084093,duelboss/0.005839945225341335,thatonepuzzle/0.016534503121309264,macrossmissilemassacre/0.009224246591039303,geoeffects/0.006264377986197133
marathonlevel/0.004101194592145735,newgameplus/0.005214670606640014,warpwhistle/0.004290595121434436,bookends/0.006359474366786981,morallyambiguousdoctorate/0.0013294522656665455,fantasticracism/0.006953007261268667,heroicbsod/0.004084467253637177,ludicrousgibs/0.004671950741975992,actiongame/0.010556848460319066,urbansegregation/0.00458338230109296,heroeswantredheads/0.004177261169633128,antiair/0.00507373339173602,hyperspacearsenal/0.00770561771830661,disconefinaldungeon/0.005839945225341335,pinballscoring/0.016028344862493674,bfs/0.009147855314923035,subsystemdamage/0.005981242258007433
truefinalboss/0.004101194592145735,mooks/0.005081406802248102,disconefinalboss/0.004277352543899144,darkerandedgier/0.006336036500570321,instantexpert/0.0012874695625402334,sealedevilinacan/0.006918755993971777,katanasarejustbetter/0.0040491548566316685,gunsakimbo/0.0045504260116933795,spreadshot/0.01052312050996661,canonidentifier/0.004407098366435539,distantsequel/0.004177261169633128,everycarisapinto/0.005000730033581545,eyescream/0.007267274195408928,metalslime/0.005819807483184986,scoremultiplier/0.0146785895056521,wavemotiongun/0.008498529467934762,invisibilitycloak/0.005910458325960007
oldsavebonus/0.003942233561442412,theverydefinitelyfinaldungeon/0.004924966684048902,relationshipvalues/0.004131684191010938,downerending/0.006312598634353662,literalmetaphor/0.0012874695625402334,savescumming/0.006918755993971777,bloodlesscarnage/0.004037384057629832,shotgunsarejustbetter/0.004509917768265842,advancingwallofdoom/0.01038820870855678,trueneutral/0.004348337054883065,slidingscaleofgenderinequality/0.004131856156919724,eagleland/0.00492772667542707,creatorcameo/0.007128849925020187,peninsulaofpowerleveling/0.005698981030246889,flipscreenscrolling/0.014003711827231315,deflectorshields/0.00832664909667316,aliensky/0.005804282427888869
ascendedextra/0.003854804994555585,infinityplusonesword/0.0048148791934642795,fissionmailed/0.004105199035940355,subvertedtrope/0.006242285035703683,ambiguousdisorder/0.0012734753281647962,superdrowningskills/0.0068845047266748866,badassnormal/0.003978530062620651,shortrangeshotgun/0.004361387542364871,bullethell/0.010354480758204323,evilpaysbetter/0.004054530497120696,troperworks/0.004041046131492917,artisticlicensegeography/0.004891224996349832,gainaxending/0.006782789249048333,absurdlyhighlevelcap/0.005558016835152443,spellingbonus/0.013834992407626118,stripperiffic/0.00826935563958596,humanpopsicle/0.005627322597770306
continuingispainful/0.0038071166853445877,elitemooks/0.004780114722753346,kleptomaniachero/0.003972773260587441,callback/0.006203221925342584,enjoythestoryskipthegame/0.0012454868594139214,bribingyourwaytovictory/0.006747499657487327,knifenut/0.003954988464616978,theempire/0.004307376551128154,coopmultiplayer/0.01028702485749941,everyoneisbi/0.004054530497120696,kingincognito/0.00395023610606611,coldsniper/0.004781719959118119,pressxtodie/0.006759718537316876,noobcave/0.00531636392927625,informingthefourthwall/0.013497553568415725,castfromhitpoints/0.008097475268324357,turnbasedstrategy/0.005450362767651743
compilationrerelease/0.003711740066922594,thecameo/0.004762732487397879,playableepilogue/0.003906560372910983,sequelhook/0.005992281129392647,signaturestyle/0.0012454868594139214,charactercustomization/0.006730374023838882,theendoftheworldasweknowit/0.0037784264795894347,poweredarmor/0.004226360064273079,productplacement/0.010084657155384667,sssssnaketalk/0.003937007874015748,awesomemomentofcrowning/0.0038594260806393025,hollywoodsilencer/0.004562709884654694,scenerygorn/0.00673664782558542,randomencounters/0.005255950702807201,digitalpinballtables/0.013497553568415725,nosell/0.008001986173179022,sciencefantasy/0.00527340293753318
yougottahavebluehair/0.0036402076031060984,hundredpercentcompletion/0.004722173938235124,shiptease/0.003747649442487486,avertedtrope/0.005961030641103767,improbableinfantsurvival/0.0012454868594139214,cosmeticaward/0.006730374023838882,timeskip/0.003754884881585762,holdtheline/0.004199354568654721,metroidvania/0.009848561502917469,gaiaslament/0.003937007874015748,friendlyrivalry/0.0038594260806393025,historicaldomaincharacter/0.0042706964520367935,deliberatelymonochrome/0.0063444457261506515,westernrpg/0.005215675218494502,itmayhelpyouonyourquest/0.01282267588999494,gamebreaker/0.007734616706772087,robotbuddy/0.005238010971509467
demotedtoextra/0.0036004673454302677,spiritualsuccessor/0.004681615389072368,callingyourattacks/0.003588738512063988,justifiedtrope/0.005906342286598228,comedicsociopathy/0.0012314926250384841,darkisnotevil/0.006267981915330867,killedoffforreal/0.003754884881585762,laresistance/0.004199354568654721,goombastomp/0.009814833552565011,theusualadversaries/0.0038194852509108005,constructedworld/0.003632401017072285,sniperpistol/0.004197693093882318,corruptcorporateexecutive/0.00620602145576191,fightermagethief/0.005114986507712755,seldomseenspecies/0.01282267588999494,bloodknight/0.007734616706772087,yourequiremorevespenegas/0.005167227039462042
spellmynamewithans/0.0035845712423599354,actiongirl/0.004559939741584101,artifactofdoom/0.003363614693964033,sceneryporn/0.005859466554164909,notsoaboveitall/0.001189509921912172,vendortrash/0.006045348677901082,chekhovsgunman/0.0036371768915673995,justifiedtutorial/0.004185851820845542,oneup/0.009612465850450268,gamebooks/0.0037019626278058525,outlivingonesoffspring/0.003632401017072285,notevenbotheringwiththeaccent/0.004124689735727843,themanydeathsofyou/0.006159880032298996,heroespreferswords/0.004994160054774659,snakesaresinister/0.011304201113548169,weaponofchoice/0.007390855964248883,sentrygun/0.004954875243319766
fakedifficulty/0.0035845712423599354,andyourrewardisclothes/0.004200706877571122,wherearetheynowepilogue/0.0033503721164287415,nicejobbreakingithero/0.00577352771137049,nevermesswithgranny/0.0011755156875367348,youalllookfamiliar/0.005976846143307303,sequelescalation/0.003625406092565563,frombadtoworse/0.004158846325227184,smartbomb/0.009443826098687982,tokenheroicorc/0.003643201316253379,shipsthatpassinthenight/0.003586996004358881,sawedoffshotgun/0.003978683019418893,bullettime/0.006090667897104626,magicknight/0.004853195859680213,interactivemovie/0.011135481693942973,attackdrone/0.007085290859783813,coolplane/0.004636347549106353
supertitle64advance/0.0035209868300786064,disconenuke/0.004102207543890144,welcometocorneria/0.003217946341075827,butthoumust/0.005476648072626135,heroiccomedicsociopath/0.0011755156875367348,moneyfornothing/0.005959720509658858,mygodwhathaveidone/0.0036018644945618908,nogearlevel/0.004158846325227184,gamewithinagame/0.008937906843401126,criticalencumbrancefailure/0.003525678693148431,warriorprince/0.003541590991645478,translationconvention/0.003942181340341655,ourzombiesaredifferent/0.0060445264736417115,rarecandy/0.0046518184381167185,raptorattack/0.009954445756706598,counterattack/0.007047095221725679,magneticweapons/0.004636347549106353
powerupletdown/0.0034494543662621107,thedragon/0.004079031230082855,redoniblueoni/0.003164976030934661,videogamecaringpotential/0.005461022828481695,spellmynamewithathe/0.0011475272187858603,simulationgame/0.0055829565693930674,tagline/0.003472385705541692,tankgoodness/0.0041318408296088256,groundpound/0.008937906843401126,nopointsforneutrality/0.003525678693148431,pluckygirl/0.003541590991645478,tokenminority/0.0039056796612644182,nooshacompliance/0.005859960779790056,roguelike/0.004551129727334971,fixedcamera/0.00927956807828581,mechamooks/0.006760627936289676,artificialintelligence/0.004530171651035215
aniceperson/0.003417662160121446,harderthanhard/0.004061648994727388,doortobefore/0.003138490875864078,unexpectedgameplaychange/0.005296957764965078,brokenrecord/0.001133532984410423,bigcreepycrawlies/0.005565830935744622,finishingmove/0.003413531710532511,thirdpersonshooter/0.0040778298383721085,puzzlegame/0.008836722992343756,expectingsomeonetaller/0.003466917381595957,onlythechosenmaywield/0.003496185978932074,coolguns/0.0038691779821871807,groinattack/0.005721536509401315,swordofplotadvancement/0.004490716500865923,youcantgetyeflask/0.009110848658680615,cherrytapping/0.006626943203086207,fogofwar/0.004494779685011502
improbableweaponuser/0.0033938180055159478,runninggag/0.00401529636711281,fightingyourfriend/0.003045792833117038,chekhovsgun/0.005187581055953999,leftthebackgroundmusicon/0.001133532984410423,inuniversegameclock/0.005548705302096177,thebigguy/0.0033546777155233297,zombieapocalypse/0.004023818847135392,carfu/0.0083308037370569,culturechopsuey/0.003466917381595957,theemperor/0.0034507809662186707,itsrainingmen/0.003759672944955468,implacableman/0.005652324374206944,linearwarriorsquadraticwizards/0.004047686173426235,bioluminescenceiscool/0.009110848658680615,criticalhit/0.006474160650853673,selfdestructmechanism/0.004494779685011502
dubnamechange/0.0033938180055159478,heroicmime/0.00401529636711281,thebattledidntcount/0.0030060651005111637,whathappenedtothemouse/0.00511726745730402,pyromaniac/0.0010775560469086737,bearsarebadnews/0.005377448965611728,heroofanotherstory/0.0033311361175196574,stealthbasedmission/0.003956305108089496,retrauxgames/0.008263347836351985,gildedcage/0.0034081560700434835,siblingteam/0.00331456592807846,deliberatevaluesdissonance/0.0036501679077237553,stupidityistheonlyoption/0.005560041527281116,sprintmeter/0.004047686173426235,icantreachit/0.009110848658680615,teleportspam/0.006455062831824606,brainuploading/0.004494779685011502
loadsandloadsofloading/0.003266649180953289,bossrush/0.0037893273074917433,tsundere/0.002992822522975872,hoistbyhisownpetard/0.005109454835231801,beardofevil/0.0010635618125332362,blobmonster/0.0052404438964241675,andtheadventurecontinues/0.0032369697255049674,explodingbarrels/0.0039022941168527794,invincibilitypowerup/0.008094708084589699,friendlyneighborhoodvampire/0.0034081560700434835,actionmom/0.00331456592807846,quickmelee/0.00357716454956928,offwithhishead/0.0054216172568923755,barefistedmonk/0.00390672197833179,stockdinosaurs/0.008942129239075417,damagespongeboss/0.006416867193766472,beehivebarrier/0.004317819854892939
recurringriff/0.003250753077882957,titledrop/0.003783533229039921,heknowsabouttimedhits/0.002926609635299415,wordofgod/0.0050235159924373815,actuallyprettyfunny/0.0010635618125332362,giantspider/0.0052404438964241675,callforward/0.0031428033334902775,anyonecandie/0.0038752886212344213,bonusstage/0.0077574285810651285,ahomeownerisyou/0.0034081560700434835,goldandwhitearedivine/0.0031783508899382493,gunshiprescue/0.00357716454956928,twentyminutesintothefuture/0.005375475833429461,healingpotion/0.0038261710097063917,shareware/0.008267251560654632,combatmedic/0.006340475917650204,kineticweaponsarejustbetter/0.004317819854892939
missionpacksequel/0.0031712725625312956,dualboss/0.0037719450721362766,nonlethalko/0.0027809412824112084,jerkass/0.005000078126220722,andyourrewardisinteriordecorating/0.001049567578157799,itsuptoyou/0.0052404438964241675,antivillain/0.003131032534488441,madeofexplodium/0.003794272134379346,leveleditor/0.007251509325778272,flatearthatheist/0.0033493947584910095,swordandsorcerer/0.0031783508899382493,dieselpunk/0.00357716454956928,hellisthatnoise/0.0052370515630407195,guyssmashgirlsshoot/0.0038261710097063917,fifteenpuzzle/0.007592373882233845,beatemup/0.006149497727359536,acepilot/0.004247035922845514
videogameremake/0.003147428407925797,flunkyboss/0.00375456283678081,thepoweroffriendship/0.002688243239664168,toodumbtolive/0.004968827637931843,ineedafreakingdrink/0.0010215791094069244,nonplayercharacter/0.005171941361830388,walkingshirtlessscene/0.0030250953434719148,armorisuseless/0.0037537638909518087,videogamelives/0.007251509325778272,modularepilogue/0.0033493947584910095,firstgirlwins/0.003087540864511442,snipingmission/0.0035406628704920426,scarechord/0.0051216980043834355,whentreesattack/0.003785895525393693,pinballspinoff/0.007086215623418255,stonewall/0.006092204270272335,techtree/0.004247035922845514
shiftingsandland/0.0030838439956444677,escortmission/0.0037429746798771655,verbaltic/0.002595545196917128,pun/0.004961015015859623,hollerbutton/0.0010215791094069244,mobilephonegame/0.005154815728181943,mercykill/0.0030250953434719148,handcannon/0.0037402611431426296,publicdomainsoundtrack/0.007251509325778272,immersivesim/0.0032906334469385355,orphanedetymology/0.0030421358517980384,breakoutthemuseumpiece/0.0035406628704920426,stealthbasedgame/0.004960203022263237,enemyscan/0.0037254822989246446,artisticlicensepaleontology/0.007086215623418255,luckilymyshieldwillprotectme/0.0060731064512432684,unitsnottoscale/0.004140860024774376
secretcharacter/0.0030758959441093015,onewingedangel/0.0037255924445216988,publicdomainartifact/0.0025028471541700876,thereveal/0.004820387818559665,adatewithrosiepalms/0.0010215791094069244,schizotech/0.005154815728181943,assholevictim/0.002954470549460897,meleeatrois/0.0037402611431426296,jumpphysics/0.007116597524368444,beinggoodsucks/0.003231872135386062,thirdoptionadaptation/0.0030421358517980384,ateamfiring/0.003504161191414805,gorn/0.004867920175337409,preexistingencounters/0.0037053445567682953,pterosoarer/0.006580057364602666,spinattack/0.005996715175127,powercrystal/0.004140860024774376
blindidiottranslation/0.0030758959441093015,killitwithfire/0.00370241613071441,hotblooded/0.0025028471541700876,deadpansnarker/0.004632884888826388,thatcameoutwrong/0.0010075848750314871,feelies/0.005137690094533498,obviouslyevil/0.002919158152455389,evilversusevil/0.0036592446562875545,walljump/0.00704914162366353,boxedcrook/0.003231872135386062,fountainofexpies/0.0030421358517980384,everybulletisatracer/0.00343115783326033,copyprotection/0.004844849463605952,nowwherewasigoingagain/0.003665069072455596,rhinorampage/0.006580057364602666,lifedrain/0.005729345708720064,braininajar/0.004105468058750663
anticlimaxboss/0.0030758959441093015,wakeupcallboss/0.003679239816907121,flamingsword/0.002476361999099505,whamline/0.004453194581165331,rightforthewrongreasons/0.0009935906406560496,virtualpaperdoll/0.005086313193588163,timetravel/0.002895616554451716,revolversarejustbetter/0.003632239160669196,colorcodedmultiplayer/0.006779318020843873,allcrimesareequal/0.003173110823833588,madlibfantasytitle/0.0030421358517980384,facklerscaleoffpsrealism/0.0033946561541830923,lockeddoor/0.004798708040143039,rarerandomdrop/0.003665069072455596,dinosaurmedia/0.006073899105787076,fireicelightning/0.005710247889690997,slowlaser/0.004070076092726951
thelostwoods/0.0030679478925741354,braggingrightsreward/0.0035981227185816096,truecompanions/0.002449876844028922,largeham/0.004398506226659792,nakedpeoplearefunny/0.0009935906406560496,aerithandbob/0.005086313193588163,anachronicorder/0.0028603041574462073,improvisedweapon/0.003510714430386584,animaltitleindex/0.006678134169786502,genderisnoobject/0.003173110823833588,tinyguyhugegirl/0.0030421358517980384,rareguns/0.003321652796028617,glowingeyesofdoom/0.004752566616680124,healersignsonearly/0.003644931330299247,concealingcanvas/0.005736460266576683,flashstep/0.005710247889690997,theengineer/0.004034684126703238
easymodemockery/0.003036155686433471,breakingthefourthwall/0.003580740483226143,superdeformed/0.0024233916889583387,bilingualbonus/0.004320380005937593,bestialityisdepraved/0.0009935906406560496,unwinnablebydesign/0.004932182490752158,actioncommands/0.0028603041574462073,unusableenemyequipment/0.003510714430386584,powerup/0.006610678269081588,immortalityimmorality/0.003173110823833588,precursorheroes/0.002996730839084635,awesomepersonnelcarrier/0.003321652796028617,antagonisttitle/0.0047294959049486674,forcedlevelgrinding/0.003564380361673849,setpiecepuzzle/0.005567740846971487,armorpiercingattack/0.005576563156487529,colorcodedarmies/0.003999292160679526
blackoutbasement/0.0030202595833631386,turnsred/0.003528593777159743,darkreprise/0.0024101491114230473,goldenending/0.004234441163143174,itspopularnowitsucks/0.0009935906406560496,themaze/0.004932182490752158,interquel/0.0028603041574462073,heavilyarmoredmook/0.003510714430386584,gravityscrew/0.006543222368376673,slaveryisaspecialkindofevil/0.0030555882007286404,tintyrant/0.002996730839084635,mutualkill/0.0032851511169513796,wasonceaman/0.00463721305802284,evilsorcerer/0.0035241048773611504,rubegoldbergdevice/0.0053990214273662894,scratchdamage/0.005404682785225927,realtimewithpause/0.003963900194655813
greenhillzone/0.0030043634802928063,punnyname/0.0034243003650269426,olderthantheylook/0.002396906533887756,whatthehellhero/0.004234441163143174,playerandprotagonistintegration/0.0009795964062806123,beefgate/0.004863679956158378,theatoner/0.0028485333584443713,downerbeginning/0.003456703439149867,surprisedifficulty/0.006307126715909474,cosycatastrophe/0.0029968268891761665,brothersisterteam/0.002996730839084635,armsdealer/0.003248649437874142,storybreadcrumbs/0.00463721305802284,twentybearasses/0.0034838293930484513,privatedetective/0.005230302007761093,manameter/0.005290095871051526,acecustom/0.003963900194655813
uniqueenemy/0.002948727119546643,licensedgame/0.003383741815864187,canonname/0.0023836639563524645,leaningonthefourthwall/0.004086001343770997,geniusditz/0.0009795964062806123,adamsmithhatesyourguts/0.004846554322509933,poorcommunicationkills/0.002836762559442535,myrulesarenotyourrules/0.003443200691340688,stalkedbythebell/0.00623967081520456,iknowyourtruename/0.0029380655776236925,heroiclineage/0.002905920813657828,unorthodoxreload/0.0032121477587969045,bloodierandgorier/0.004591071634559926,gamegourmet/0.0034838293930484513,animalsnottoscale/0.005230302007761093,whipitgood/0.005270998052022459,ridiculouslyhumanrobots/0.003963900194655813
elementalpowers/0.0028215582949839848,bossinmookclothing/0.0033779477374123647,headsiwintailsyoulose/0.0022644807585348414,inuniverse/0.004078188721698776,thisloserisyou/0.0009795964062806123,purelyaestheticgender/0.004829428688861488,prequel/0.002801450162437026,emergencyweapon/0.0034296979435315088,everytenthousandpoints/0.00623967081520456,rpgsequalcombat/0.0029380655776236925,ladyofblackmagic/0.002905920813657828,noswastikas/0.0032121477587969045,cutscene/0.004568000922828469,hptoone/0.003463691650892102,alphabetsoupcans/0.005061582588155897,crutchcharacter/0.005175508956877125,designityourselfequipment/0.003928508228632101
blowyouaway/0.0028136102434488186,degradedboss/0.0032852424821832086,gadgeteergenius/0.0022644807585348414,lighterandsofter/0.004039125611337677,wantedposter/0.0009656021719051751,lightisnotgood/0.004572544184134813,despaireventhorizon/0.002707283770422336,allyourbasearebelongtous/0.0033891897001039712,reformulatedgame/0.006071031063442275,tobelawfulorgood/0.0029380655776236925,powertattoo/0.002815110788231021,cardboardprison/0.003175646079719667,actionizedsequel/0.0045218594993655555,chainmailbikini/0.0034435539087357527,secretroom/0.0048928631685507,flavortext/0.005156411137848058,cyberneticseatyoursoul/0.003893116262608388
lethaljokecharacter/0.0027977141403784864,giantspacefleafromnowhere/0.003250478011472275,supermoveportraitattack/0.0022115104483936754,tookalevelinbadass/0.003984437256832138,sexydiscretionshot/0.0009516079375297378,youhaveresearchedbreathing/0.004555418550486368,goodoldfisticuffs/0.0026955129714205,expansionpack/0.0033621842044856127,coolcar/0.006003575162737361,deathbychildbirth/0.002820542954518745,draconicabomination/0.002769705775517617,elitesaremoreglamorous/0.0030661410424879547,cruelandunusualdeath/0.004360364517245357,leakedexperience/0.0033831406822667043,bonsaiforest/0.0048928631685507,beamspam/0.005041824223673656,emp/0.003857724296584675
