Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38
murderisthebestsolution/0.002192814707157245,postmodernmagik/0.013513513513513514,almostkiss/0.00460084556080577,stockscream/0.0008810340973345431,longrunners/0.006453347674105943,fakegueststar/0.008699170544203924,spinoff/0.011455054214760405,groundhogdayloop/0.008600650860065086,instantexpert/0.0023858302429916236,futuremescaresme/0.0052470902499523,ambiguousdisorder/0.0034692983933443363,simpletonvoice/0.0067064083457526085,redalert/0.0045871559633027525,canoncharacterallalong/0.008959113862192539,notquitedead/0.0059090626360639425,puttingonthereich/0.016315431679129844,sherlockscan/0.003959524857017158,meanwhileinthefuture/0.005190839694656489,misblamed/0.004715447154471545,peripheryhatedom/0.010551558752997603,royalbrat/0.0063641394576646375,earlyinstallmentweirdness/0.009019357583492874,richbitch/0.007630675314765357,rescueromance/0.009610705596107057,specialguest/0.003400878560294743,transformationisafreeaction/0.006614617219692041,multipledemographicappeal/0.006752831832704038,arousedbytheirvoice/0.0028120406467693486,yousaytomato/0.0030439802666106853,whatdididolastnight/0.011758511758511758,coolstarship/0.012899262899262898,enemymine/0.009365456396335256,backfromthedead/0.016828478964401296,crashintohello/0.006118042226487524,broughtdowntobadass/0.005616191586309208,governmentagencyoffiction/0.010189739985945186,fightingseries/0.004824508503196237,characterdevelopment/0.008393694077545803
callforward/0.002141819016293123,villainoverfordinner/0.013513513513513514,itsallmyfault/0.0045593965016994115,thenapoleon/0.0008810340973345431,badbadacting/0.006130680290400646,ineedafreakingdrink/0.008699170544203924,shareduniverse/0.01136761105281567,voiceofthelegion/0.008368200836820083,theabridgedseries/0.0023598973055678017,geniusloci/0.0052470902499523,tuckerization/0.003401933375997844,eatthecamera/0.006408345752608048,negativespacewedgie/0.004448151237142063,adaptationaljerkass/0.008796220882879948,twogirlstoateam/0.0059090626360639425,generalripper/0.016315431679129844,makeitlooklikeanaccident/0.0038862003226279515,expendablealternateuniverse/0.005190839694656489,evilplan/0.004715447154471545,parentalbonus/0.010391686650679457,modestroyalty/0.0063641394576646375,itmakessenseincontext/0.009019357583492874,annoyingyoungersibling/0.0073763194709398445,theglomp/0.00948905109489051,cantgetawaywithnuthin/0.003400878560294743,coolbike/0.006506180871828237,barbiedollanatomy/0.006680220737728725,haveimentionediamheterosexualtoday/0.0027481306320700453,conformingoocmoment/0.0030439802666106853,doublestandardrapefemaleonmale/0.011583011583011582,beamspam/0.011977886977886978,actiongirl/0.009365456396335256,laserguidedamnesia/0.01634304207119741,mukokuseki/0.006118042226487524,youcantthwartstageone/0.005510225707322242,halfarcseason/0.010014054813773718,combatcommentator/0.004703895790616331,whamline/0.008351086493395825
heknowstoomuch/0.0021163211708610623,boymeetsghoul/0.012226512226512226,modestytowel/0.004517947442593053,parodysue/0.0008678843346877589,spittake/0.005915568701263781,breakupbreakout/0.00829455796075258,notsoaboveitall/0.011280167890870933,cutemonstergirl/0.008135750813575081,dynamicentry/0.0023339643681439797,selfdestructmechanism/0.005056286968135852,tokenminority/0.0032672033413048604,bodywipe/0.006408345752608048,thefederation/0.004448151237142063,strongastheyneedtobe/0.008633327903567356,inmediasres/0.0058468619767369535,amillionisastatistic/0.01563562202583277,serialkiller/0.0038128757882387445,doublestandardrapescifi/0.005038167938931298,gadgeteergenius/0.004661246612466125,earworm/0.010231814548361312,sensoryoverload/0.0063641394576646375,takethat/0.008636460327589874,firstkiss/0.0073763194709398445,hopelesssuitor/0.009245742092457421,sarcasmblind/0.003400878560294743,onewingedangel/0.006397744523964433,eyecatch/0.0066076096427534125,lampshadeddoubleentendre/0.0027481306320700453,thecatcameback/0.0030439802666106853,likeasontome/0.011407511407511407,lawofchromaticsuperiority/0.01167076167076167,thedragon/0.008279606379368849,colourcodedforyourconvenience/0.016019417475728156,battleaura/0.006118042226487524,empoweredbadassnormal/0.005510225707322242,ithasbeenanhonor/0.010014054813773718,lovecraftiansuperpower/0.004703895790616331,whathappenedtothemouse/0.008095440988495952
betterondvd/0.0020908233254290014,lookslikeorlok/0.012226512226512226,shecleansupnicely/0.004435049324380337,framingdevice/0.0008678843346877589,vomitdiscretionshot/0.005861790803979565,crossreferencedtitles/0.008193404814889744,seriesfauxnale/0.011192724728926198,rapidaging/0.008135750813575081,darkactiongirl/0.0023339643681439797,unobtainium/0.005056286968135852,drowningmysorrows/0.0032335208326316144,hartmanhips/0.0062593144560357675,ragnarokproofing/0.004170141784820684,namedbytheadaptation/0.008307541944942173,allyourbasearebelongtous/0.0058468619767369535,laststand/0.015295717199184228,amoralattorney/0.0038128757882387445,theneedsofthemany/0.005038167938931298,takenforgranite/0.004661246612466125,dreadfulmusician/0.010071942446043165,halfbreeddiscrimination/0.0063641394576646375,brickjoke/0.008423739629865985,cutebutcacophonic/0.007121963627114333,goingcommando/0.009245742092457421,realafterall/0.003400878560294743,bythepowerofgrayskull/0.006397744523964433,baitandswitchcredits/0.0066076096427534125,courtroomantic/0.002684220617370742,thatsallfolks/0.0030439802666106853,meaningfulbackgroundevent/0.01088101088101088,latexspacesuit/0.01167076167076167,mooks/0.008279606379368849,nosell/0.015857605177993526,imagesong/0.005998080614203455,squishywizard/0.005404259828335276,macgyvering/0.010014054813773718,masterswordsman/0.004703895790616331,justifiedtrope/0.007967618236046017
coldbloodedtorture/0.0020653254799969404,paranormalinvestigation/0.011583011583011582,teammom/0.00435215120616762,editedforsyndication/0.0008547345720409747,companioncube/0.005754235009411132,amicableexes/0.007283026502124216,wholeplotreference/0.011105281566981462,retgone/0.00790330079033008,diedinyourarmstonight/0.0023339643681439797,alienworks/0.004960885327227629,uglyguyhotwife/0.0030987907979386307,bythelightsoftheireyes/0.006110283159463488,goingdownwiththeship/0.004170141784820684,remakecameo/0.008307541944942173,revengebeforereason/0.005660259998755987,mildlymilitary/0.01495581237253569,theboxingepisode/0.0036662267194603314,failsafefailure/0.004885496183206107,fountainofyouth/0.004607046070460705,youaregrounded/0.009752198241406874,royallyscrewedup/0.0063641394576646375,exactlywhatitsaysonthetin/0.008253563071686875,lovablealphabitch/0.006994785705201577,babieseverafter/0.008759124087591242,hypocriticalheartwarming/0.0033536441358462048,powercopying/0.006289308176100629,rapunzelhair/0.006462387452802788,politicalcorrectnessgonemad/0.002684220617370742,hiccuphijinks/0.0029390154298310064,girlongirlishot/0.01088101088101088,nukeem/0.011363636363636364,lighterandsofter/0.008143875127248049,nicejobfixingitvillain/0.015533980582524271,ojou/0.005998080614203455,personalitypowers/0.005192328070361344,fakeoutmakeout/0.00966268446943078,powerlevels/0.004583283078036425,heroicbsod/0.007925010651896037
firstepisodetwist/0.0020653254799969404,vampiresaresexgods/0.010939510939510939,authorappeal/0.004310702147061262,marathonrunning/0.0008547345720409747,comedicsociopathy/0.005592901317558484,twofertokenminority/0.006979567064535707,resetbutton/0.011017838405036727,camebackwrong/0.007787075778707578,backtobackbadasses/0.0023080314307201578,zeerust/0.004960885327227629,brainbleach/0.0030651082892653846,conveyorbeltodoom/0.005961251862891207,explosivedecompression/0.004170141784820684,recursiveadaptation/0.008307541944942173,fanficfuel/0.005535858680102009,bandofbrothers/0.014276002719238613,dachief/0.0036662267194603314,psychiclink/0.004885496183206107,takeovertheworld/0.004607046070460705,domesticonlycartoon/0.009592326139088728,lineagecomesfromthefather/0.0063641394576646375,noodleincident/0.008253563071686875,callingparentsbytheirname/0.006994785705201577,chivalrouspervert/0.008759124087591242,laughtrack/0.0033536441358462048,thisisadrill/0.006180871828236825,tinyguyhugegirl/0.0062445541678768516,embarrassingtattoo/0.002684220617370742,fictionalboardgame/0.0029390154298310064,nicetothewaiter/0.01088101088101088,energyweapon/0.011363636363636364,chekhovsgunman/0.007804546996946046,sequelhook/0.014724919093851133,bishiesparkle/0.005878119001919386,onlythechosenmaywield/0.004980396312387411,intrepidreporter/0.009311314125087842,combatsadomasochist/0.004462670365456519,doesthisremindyouofanything/0.007711972731146144
ihaveyourwife/0.002039827634564879,wolfman/0.010939510939510939,murderthehypotenuse/0.004144905910635829,parodydisplacement/0.0008415848093941904,asideglance/0.005539123420274268,hideyourpregnancy/0.00687841391867287,specialeditiontitle/0.010755508919202518,yourmindmakesitreal/0.007670850767085077,startervillain/0.002282098493296336,theremnant/0.004865483686319404,notevenbotheringwiththeaccent/0.0030314257805921386,iamnotweasel/0.005961251862891207,asteroidthicket/0.003892132332499305,nothissled/0.007655970027691806,ragtagbunchofmisfits/0.005411457361448031,hufflepuffhouse/0.013936097892590074,suspectishatless/0.0035195776506819184,deathworld/0.004885496183206107,canonimmigrant/0.004498644986449865,areyouponderingwhatimpondering/0.009432454036770583,notsoextinct/0.005810736026563365,arsonmurderandjaywalking/0.008083386513507764,schoolplay/0.006994785705201577,unlimitedwardrobe/0.008759124087591242,compressedvice/0.0033536441358462048,wreckedweapon/0.006180871828236825,mindcontroleyes/0.006171943072901539,parentalsexualitysquick/0.0026203106026714386,unconventionalfoodusage/0.0029390154298310064,unrequitedloveswitcheroo/0.01088101088101088,sciencefictionanimeandmanga/0.011056511056511056,wellintentionedextremist/0.007668815744825246,spoileropening/0.01423948220064725,animeandmangaofthe2010s/0.005758157389635317,masterofillusion/0.004980396312387411,inspectorjavert/0.009135628952916374,willfullyweak/0.004462670365456519,moodwhiplash/0.007626757562846187
survivorguilt/0.002039827634564879,holyburnsevil/0.010939510939510939,siblingyinyang/0.004144905910635829,andimthequeenofsheba/0.0008415848093941904,recurringextra/0.005485345522990051,commutingonabus/0.006777260772810034,stockfootage/0.010318293109478838,aformyouarecomfortablewith/0.007205950720595072,adaptationdistillation/0.0022561655558725135,inferredholocaust/0.004865483686319404,intoxicationensues/0.0029977432719188925,blackbeadeyes/0.005961251862891207,oneworldorder/0.003614122880177926,adaptationalniceguy/0.007655970027691806,disneyvillaindeath/0.005411457361448031,ironlady/0.013596193065941536,characternamealias/0.0034462531162927114,psychicstatic/0.004885496183206107,losingyourhead/0.0044444444444444444,spacewhaleaesop/0.009432454036770583,ragstoroyalty/0.005810736026563365,jerkwithaheartofgold/0.00799829823441821,bumblingdad/0.006740429861376065,unsettlinggenderreveal/0.008759124087591242,ittasteslikefeet/0.0033064097113976666,fullcircleportraying/0.006072435480373021,girlishpigtails/0.006099331977926227,makingloveinallthewrongplaces/0.0025564005879721353,kickmeprank/0.0029390154298310064,bedmatereveal/0.010705510705510705,flawedprototype/0.011056511056511056,madscientist/0.007533084492704446,takingthebullet/0.013915857605177993,overtookthemanga/0.005758157389635317,functionalmagic/0.004874430433400445,wiredilemma/0.009135628952916374,rapidfirefisticuffs/0.004462670365456519,fanservice/0.0075841499786962075
xanatosspeedchess/0.002014329789132818,totallynotawerewolf/0.010296010296010296,ambiguouslybrown/0.00410345685152947,loonyfan/0.0008415848093941904,phrasecatcher/0.005431567625705835,writteninabsence/0.006777260772810034,failureistheonlyoption/0.010318293109478838,rippleeffectproofmemory/0.007089725708972571,theendoftheworldasweknowit/0.0022561655558725135,youarenumber6/0.004674680404502958,artisticlicensegeography/0.0029977432719188925,bigballofviolence/0.005663189269746647,alternativecalendar/0.003614122880177926,relatedintheadaptation/0.007493077048379215,imperialstormtroopermarksmanshipacademy/0.005411457361448031,youareincommandnow/0.013596193065941536,britishbrevity/0.0034462531162927114,theroleplayinggame/0.004885496183206107,earlyinstallmentcharacterdesigndifference/0.0044444444444444444,widgetseries/0.009272581934452438,vilernewvillain/0.005810736026563365,inuniverse/0.007828121676239098,perpetualpoverty/0.0064860740175505536,meetcute/0.008637469586374695,hercodenamewasmarysue/0.0033064097113976666,solastseason/0.006072435480373021,wholesomecrossdresser/0.006099331977926227,strawcharacter/0.0025564005879721353,listsong/0.002834050593051328,youneedtogetlaid/0.01053001053001053,rocketpunch/0.011056511056511056,faceheelturn/0.007465218866644045,arbitraryskepticism/0.013754045307443365,otaku/0.005758157389635317,fightermagethief/0.004768464554413479,outrunthefireball/0.008784258608573436,tournamentarc/0.004462670365456519,bittersweetending/0.007498934810396251
badassinanicesuit/0.002014329789132818,supernaturalsoapopera/0.010296010296010296,riddlefortheages/0.00410345685152947,shallowparody/0.0008284350467474062,therewasadoor/0.005324011831137403,straightgay/0.006473801335221525,theverse/0.010318293109478838,humanmomnonhumandad/0.007089725708972571,theheart/0.0022302326184486915,myfutureselfandme/0.004674680404502958,badliar/0.0029640607632456465,furryreminder/0.005663189269746647,abandonship/0.0034751181540172366,kryptonitefactor/0.007167291089754032,eyepatchofpower/0.005411457361448031,theempire/0.013256288239292998,minorcrimerevealsmajorplot/0.0034462531162927114,closeenoughtimeline/0.004732824427480916,laughablyevil/0.004173441734417345,openingshoutout/0.009272581934452438,theevilprince/0.005534034311012728,largeham/0.007743033397149542,identicaltwinidtag/0.0064860740175505536,covertpervert/0.00851581508515815,embarrassingmiddlename/0.0033064097113976666,catgirl/0.005963999132509217,inconsistentdub/0.006026720882950915,oneepisodewonder/0.0025564005879721353,pottydance/0.002729085756271649,parentalincest/0.010354510354510354,tankgoodness/0.01074938574938575,killedoffforreal/0.007465218866644045,alternatecontinuity/0.013592233009708738,catsmile/0.005638195777351248,magitek/0.004662498675426513,barbrawl/0.008784258608573436,impossiblycoolclothes/0.004342057652876613,shiptease/0.0072006817213464
