Topic 1,Topic 2,Topic 3
recurringriff/0.0009591819983349163,justifiedtutorial/0.0005747201020406272,dirtycommunists/0.0008248857086066389
bagofspilling/0.0009591819983349163,creatorcameo/0.0005728661662275929,flipscreenscrolling/0.0008248857086066389
hyperactivemetabolism/0.0009521464335549536,chekhovsgunman/0.0005728661662275929,zeerust/0.0008248857086066389
irony/0.0009498012452949661,nogearlevel/0.0005710122304145586,spycatsuit/0.0008248857086066389
noodleincident/0.000945110868774991,sequelescalation/0.0005710122304145586,weaponofmassdestruction/0.0008248857086066389
nonindicativename/0.0009404204922550158,advancingwallofdoom/0.0005710122304145586,talkingthemonstertodeath/0.0008248857086066389
missionpacksequel/0.0009357301157350407,frombadtoworse/0.0005710122304145586,concealmentequalscover/0.0008149473265752335
thegoomba/0.000933384927475053,moneyspider/0.0005691582946015243,murderisthebestsolution/0.0008149473265752335
videogameremake/0.0009286945509550779,bullethell/0.0005691582946015243,spellingbonus/0.0008149473265752335
handwave/0.0009263493626950904,itsuptoyou/0.00056730435878849,asteroidthicket/0.0008149473265752335
redeyestakewarning/0.0009193137979151277,blobmonster/0.00056730435878849,shortrangelongrangeweapon/0.0008149473265752335
attackofthe50footwhatever/0.0009169686096551401,mygodwhathaveidone/0.00056730435878849,derelictgraveyard/0.0008149473265752335
haveanicedeath/0.0009169686096551401,tankgoodness/0.00056730435878849,punchpackingpistol/0.0008149473265752335
shiftingsandland/0.0009099330448751774,giantspider/0.00056730435878849,politicallyincorrectvillain/0.0008050089445438283
funwithacronyms/0.0009099330448751774,coopmultiplayer/0.0005654504229754558,aworldhalffull/0.0008050089445438283
anticlimaxboss/0.0009075878566151898,nonplayercharacter/0.0005598886155363529,usedfuture/0.000795070562512423
secretcharacter/0.0009075878566151898,thirdpersonshooter/0.0005598886155363529,outlivingonesoffspring/0.000795070562512423
blindidiottranslation/0.0009075878566151898,mobilephonegame/0.0005580346797233187,constructedworld/0.000795070562512423
thelostwoods/0.0009052426683552022,schizotech/0.0005580346797233187,informingthefourthwall/0.000795070562512423
checkpointstarvation/0.0009052426683552022,uselessusefulspell/0.0005580346797233187,digitalpinballtables/0.000795070562512423
suspiciousvideogamegenerosity/0.0009052426683552022,feelies/0.0005561807439102844,monumentaldamage/0.000795070562512423
tooawesometouse/0.0009028974800952146,kleptomaniachero/0.0005561807439102844,youloseatzerotrust/0.0007851321804810177
variablemix/0.0009028974800952146,bladeonastick/0.0005561807439102844,militarysciencefiction/0.0007851321804810177
easymodemockery/0.0008958619153152519,lifedrain/0.0005561807439102844,shipsthatpassinthenight/0.0007851321804810177
kickthedog/0.0008958619153152519,flashstep/0.0005543268080972501,stunguns/0.0007851321804810177
supermode/0.0008935167270552643,fireicelightning/0.0005543268080972501,cutemachines/0.0007851321804810177
nicehat/0.0008935167270552643,productplacement/0.0005543268080972501,fasterthanlighttravel/0.0007851321804810177
blackoutbasement/0.0008911715387952768,antigrinding/0.0005543268080972501,pluckygirl/0.0007751937984496124
doesthisremindyouofanything/0.0008911715387952768,zombieapocalypse/0.0005524728722842158,urbansegregation/0.0007751937984496124
retcon/0.0008888263505352892,virtualpaperdoll/0.0005506189364711815,spacemarine/0.0007751937984496124
greenhillzone/0.0008864811622753016,aerithandbob/0.0005506189364711815,nippleanddimed/0.0007751937984496124
theunfought/0.000879445597495339,tagline/0.000546911064845113,timebomb/0.0007751937984496124
eleventhhoursuperpower/0.000879445597495339,playableepilogue/0.000546911064845113,warriorprince/0.0007751937984496124
berserkbutton/0.000879445597495339,gainaxending/0.0005450571290320787,onlythechosenmaywield/0.0007652554164182072
loadsandloadsofcharacters/0.000879445597495339,stealthbasedmission/0.0005432031932190444,outofgenreexperience/0.0007652554164182072
determinator/0.0008747552209753638,pressxtodie/0.0005432031932190444,thosewackynazis/0.0007652554164182072
miniboss/0.0008724100327153762,scenerygorn/0.0005413492574060101,injuredplayercharacterstage/0.0007652554164182072
villainprotagonist/0.0008700648444553887,metroidvania/0.0005413492574060101,aliensarebastards/0.0007553170343868018
uniqueenemy/0.0008700648444553887,armorpiercingattack/0.0005413492574060101,commandandconquereconomy/0.0007553170343868018
undergroundmonkey/0.0008700648444553887,goombastomp/0.0005394953215929759,bugwar/0.0007553170343868018
actionadventure/0.0008700648444553887,duelboss/0.0005376413857799416,theemperor/0.0007553170343868018
karmahoudini/0.000867719656195401,finishingmove/0.0005376413857799416,seldomseenspecies/0.0007553170343868018
ruleofthree/0.0008583389031554508,disconefinaldungeon/0.0005376413857799416,itmayhelpyouonyourquest/0.0007553170343868018
absurdlyspacioussewer/0.0008559937148954632,summonmagic/0.0005376413857799416,mechanicallifeforms/0.0007553170343868018
hublevel/0.0008513033383754881,metalslime/0.0005357874499669073,canonidentifier/0.0007453786523553966
mirrorboss/0.0008348870205555751,explodingbarrels/0.0005357874499669073,artisticlicensemilitary/0.0007453786523553966
jokeitem/0.0008325418322955875,themaze/0.000533933514153873,sinistergeometry/0.0007453786523553966
catchphrase/0.0008325418322955875,unwinnablebydesign/0.000533933514153873,fictionalcounterpart/0.0007453786523553966
infinityminusonesword/0.0008325418322955875,anyonecandie/0.0005320795783408387,gunaccessories/0.0007453786523553966
msfanservice/0.0008325418322955875,thebigguy/0.0005283717067147702,terraform/0.0007354402703239912
elementalpowers/0.0008325418322955875,oneup/0.0005283717067147702,crystalspiresandtogas/0.0007354402703239912
blowyouaway/0.0008301966440356,beefgate/0.0005265177709017359,railingkill/0.0007354402703239912
trialanderrorgameplay/0.0008301966440356,heroofanotherstory/0.0005246638350887015,nocommunitieswereharmed/0.0007354402703239912
selfimposedchallenge/0.0008301966440356,peninsulaofpowerleveling/0.0005246638350887015,friendlysniper/0.0007354402703239912
artevolution/0.0008301966440356,adamsmithhatesyourguts/0.0005246638350887015,theallegedcar/0.0007354402703239912
lethaljokecharacter/0.0008255062675156248,shiptease/0.0005246638350887015,weakturretgun/0.0007354402703239912
noticethis/0.0008208158909956497,scratchdamage/0.0005246638350887015,trueneutral/0.0007354402703239912
abnormalammo/0.0008161255144756745,purelyaestheticgender/0.0005228098992756672,prettylittleheadshots/0.0007354402703239912
contractualbossimmunity/0.0008090899496957119,madeofexplodium/0.000520955963462633,magicfromtechnology/0.0007354402703239912
eternalengine/0.0008067447614357242,smartbomb/0.0005191020276495987,youareincommandnow/0.0007354402703239912
disproportionateretribution/0.0008043995731757367,armorisuseless/0.0005153941560235301,urbanwarfare/0.000725501888292586
roaringrampageofrevenge/0.0008020543849157491,handcannon/0.0005135402202104958,numbertwo/0.000725501888292586
soundtrackdissonance/0.0007973640083957739,meleeatrois/0.0005135402202104958,siblingteam/0.000725501888292586
youhaveoutlivedyourusefulness/0.0007973640083957739,manameter/0.0005135402202104958,actionmom/0.000725501888292586
vaporware/0.0007973640083957739,absurdlyhighlevelcap/0.0005116862843974615,historicalinjoke/0.000725501888292586
earlybirdcameo/0.0007973640083957739,whipitgood/0.0005116862843974615,pointdefenseless/0.000725501888292586
temptingfate/0.0007973640083957739,deliberatelymonochrome/0.0005098323485844273,rereleasedforfree/0.0007155635062611807
fightinggame/0.0007926736318757988,andtheadventurecontinues/0.0005098323485844273,gangstastyle/0.0007155635062611807
nonamegiven/0.0007879832553558236,evilversusevil/0.0005024166053322901,spaceisnoisy/0.0007155635062611807
crossover/0.0007879832553558236,callingyourattacks/0.0005024166053322901,twodspace/0.0007155635062611807
bossonlylevel/0.0007856380670958361,crutchcharacter/0.0005024166053322901,workssetinworldwarii/0.0007056251242297754
killerapp/0.0007856380670958361,flavortext/0.0005005626695192559,thecaptain/0.0007056251242297754
mercyinvincibility/0.0007856380670958361,corruptcorporateexecutive/0.0004987087337062216,gameoftheyearedition/0.0007056251242297754
kaizotrap/0.0007832928788358486,revolversarejustbetter/0.0004987087337062216,crewofone/0.0007056251242297754
thememusicpowerup/0.0007832928788358486,callforward/0.000495000862080153,universaldriverslicense/0.0007056251242297754
americankirbyishardcore/0.0007786025023158734,themanydeathsofyou/0.000495000862080153,standardfpsenemies/0.0006956867421983701
previousplayercharactercameo/0.0007762573140558858,lightisnotgood/0.000495000862080153,goldandwhitearedivine/0.0006956867421983701
britishmedia/0.0007739121257958983,antivillain/0.0004931469262671187,chromaticsuperiority/0.0006956867421983701
obviousbeta/0.0007692217492759232,youhaveresearchedbreathing/0.0004931469262671187,swordandsorcerer/0.0006956867421983701
ourdragonsaredifferent/0.0007668765610159355,gamewithinagame/0.0004912929904540845,worldwariii/0.0006857483601669649
secondquest/0.0007668765610159355,groundpound/0.0004912929904540845,scifiwritershavenosenseofscale/0.0006857483601669649
lethaljokeitem/0.000764531372755948,beamspam/0.0004894390546410502,nanomachines/0.0006857483601669649
