Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13
,,,,firefly,spidermantheanimatedseries,ben10,johnnytest,itsalwayssunnyinphiladelphia,yugioh5ds,twinpeaks,,
,,,,neongenesisevangelion,foodwars,kamenriderexaid,garfieldandfriends,hannahmontana,yugioh,numb3rs,,
,,,,codegeass,digimonadventure02,megasxlr,themuppetshow,mythbusters,yugiohgx,jessicajones2015,,
,,,,mobilefighterggundam,uruseiyatsura,kamenridergaim,therealghostbusters,degrassithenextgeneration,konosuba,gotham,,
,,,,fullmetalalchemist,deathnote,jackiechanadventures,sesamestreet,marriedwithchildren,claymore,twentyfour,,
,,,,,digimontamers,codelyoko,thepenguinsofmadagascar,bobsburgers,theworldgodonlyknows,coldcase,,
,,,,,xmenevolution,dragonballgt,therenandstimpyshow,thewestwing,chronocrusade,justified,,
,,,,,eyeshield21,kamenriderdecade,metalocalypse,frasier,fatezero,prisonbreak,,
,,,,,tenchimuyo,kaizokusentaigokaiger,inspectorgadget,psych,highschooldxd,,,
,,,,,quantumleap,kamenriderfourze,mylifeasateenagerobot,nedsdeclassifiedschoolsurvivalguide,overlord2012,,,
,,,,,misskobayashisdragonmaid,wakfu,jimmytwoshoes,daria,ravemaster,,,
,,,,,highlander,buzzlightyearofstarcommand,sonicboom,seinfeld,symphogear,,,
,,,,,,winxclub,batman1966,homeimprovement,kenichithemightiestdisciple,,,
,,,,,,superfriends,sofiathefirst,arresteddevelopment,k,,,
,,,,,,sailormoon,oddsquad,theofficeus,,,,
,,,,,,teentitans,chipndalerescuerangers,thirtyrock,,,,
,,,,,,generatorrex,aquateenhungerforce,drakeandjosh,,,,
,,,,,,ben10omniverse,rockosmodernlife,familymatters,,,,
,,,,,,aladdintheseries,celebritydeathmatch,orangeisthenewblack,,,,
,,,,,,thebatman,dangermouse,malcolminthemiddle,,,,
,,,,,,xiaolinshowdown,veggietales,montypythonsflyingcircus,,,,
,,,,,,kirbyrightbackatya,jem,thirdrockfromthesun,,,,
,,,,,,drstone,rockyandbullwinkle,thecolbertreport,,,,
,,,,,,ben10alienforce,batmantheanimatedseries,modernfamily,,,,
,,,,,,stormhawks,gooftroop,kingofthehill,,,,
,,,,,,powerrangersspd,happyheroes,fostershomeforimaginaryfriends,,,,
,,,,,,,wandavision,theitcrowd,,,,
,,,,,,,wanderoveryonder,gilmoregirls,,,,
,,,,,,,,mynameisearl,,,,
,,,,,,,,doug,,,,
,,,,,,,,ilovelucy,,,,
,,,,,,,,ourmissbrooks,,,,
,,,,,,,,madmen,,,,
,,,,,,,,nightcourt,,,,
,,,,,,,,rupaulsdragrace,,,,
,,,,,,,,elchavodelocho,,,,
,,,,,,,,theclevelandshow,,,,
,,,,,,,,w817,,,,
,,,,,,,,veronicamars,,,,
,,,,,,,,crazyexgirlfriend,,,,
,,,,,,,,beavisandbutthead,,,,
,,,,,,,,icarly,,,,
,,,,,,,,gilligansisland,,,,
,,,,,,,,mysterysciencetheater3000,,,,
,,,,,,,,thegoodies,,,,
,,,,,,,,howimetyourmother,,,,
,,,,,,,,pushingdaisies,,,,
,,,,,,,,friends,,,,
,,,,,,,,saturdaynightlive,,,,
