Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
twofertokenminority/0.005717133041357425,expositoryhairstylechange/0.0033050047214353163,putonabus/0.007757780620013399,fatandskinny/0.0019823038087076823,genderflip/0.0032293889002542597,screwtherulesihavemoney/0.0013804696936804547,superspeed/0.0030747425331763578,animaltitleindex/0.00527831094049904,nodubforyou/0.00805886475122635,evilishammy/0.005745365405239773,thememusicpowerup/0.003949658588833846,brokenpedestal/0.004641989561536427,ashimself/0.005921930197446534,adaptationdyejob/0.006261429593702791,affablyevil/0.005079752108097125,whamepisode/0.011764338763028147,adultsareuseless/0.015546218487394958,bonusround/0.01403583015940189,saturdaymorningcartoon/0.01347857415335057,chineseseries/0.021296645307199397
faircop/0.005612231517662794,babieseverafter/0.0032677302320958204,thecameo/0.007597904866313418,genderequalensemble/0.0019306813136892532,tomboyandgirlygirl/0.0032074699710670134,seriesfauxnale/0.0013749032836252915,aliensspeakingenglish/0.0029604398367757494,thesmurfetteprinciple/0.005142969634332398,transformingmecha/0.007867745429062878,ihaveyourwife/0.005490015831673561,transformationtrinket/0.003922881242468871,bettyandveronica/0.004341342569208938,tokenminority/0.005819322496005629,evilplan/0.006221674485171345,mooks/0.005028954587016154,playedforlaughs/0.01127545819551062,realsongthemetune/0.015312791783380018,frenchseries/0.013683171110170688,takenforgranite/0.012969948713601492,gorgeousperioddress/0.018469656992084433
modestybedsheet/0.005349977708426215,anguisheddeclarationoflove/0.0032677302320958204,darkerandedgier/0.007575065472927705,thanksgivingepisode/0.0018893833176745099,failureistheonlyoption/0.003112487944588947,longlostrelative/0.0013637704635149654,blessedwithsuck/0.0029032884885754457,attackofthe50footwhatever/0.004884590777105172,namestoknowinanime/0.007772185767981143,killitwithfire/0.005438945916960319,bfg/0.003896103896103896,teacherstudentromance/0.004305264930129639,seriesofthe1980s/0.005702056551501737,disneydeath/0.006162041822374175,madscientist/0.004978157065935182,chekhovsgun/0.011213047910295617,richbitch/0.01526610644257703,worksneedingtropes/0.013542107490478206,limitedanimation/0.010596363328105794,telenovela/0.01413494157557482
doublestandardrapefemaleonmale/0.005218850803807925,crazyjealousguy/0.0031683315938571643,fanservice/0.00749132103051343,addedalliterativeappeal/0.0018377608226560805,accidentalmisnaming/0.0030467311570272085,beautyisnevertarnished/0.0013415048232943128,arbitraryskepticism/0.0028347068707350806,twodvisualsthreedeffects/0.0046385156749840055,seinen/0.007644772886538829,datingcatwoman/0.005285736172820591,playingwithfire/0.003547998393359218,mybelovedsmother/0.004185006133198644,thedanza/0.005687398308438751,adaptationnamechange/0.0061421642681084515,wellintentionedextremist/0.004967997561718988,subvertedtrope/0.01108822733986561,bookdumb/0.014659197012138189,corpsing/0.01304838482155452,fountainofyouth/0.010087737888356716,historicalbeautyupdate/0.012815680361854504
goodgirlsavoidabortion/0.005087723899189636,relationshipupgrade/0.003093782615178172,mythologygag/0.007392350325842012,playingsick/0.0018377608226560805,wholeplotreference/0.003039424847298127,therearenotherapists/0.0013192391830736602,youcantfightfate/0.002766125252894716,neversaydie/0.004466263103499188,shoujodemographic/0.007230681021851309,deadallalong/0.005234666258107349,defeatmeansfriendship/0.003521221046994243,fakingthedead/0.0041729802535055436,thecastshowoff/0.005584790606997845,teampet/0.005983143833982667,redherring/0.004774966981611298,callback/0.010921799912625601,dumbblonde/0.014472455648926238,theannouncer/0.0128367893920158,westernanimationofthe2020s/0.009918196075107024,imperialchina/0.012438748586505842
depravedbisexual/0.005061498518265978,parentalneglect/0.00308135778539834,takethat/0.007255313965527742,valentinesdayepisode/0.0017551648306265938,creatorcameo/0.0030028932986527167,scenerycensor/0.001302539952908171,theendoftheworldasweknowit/0.002743264713614594,pantyshot/0.004466263103499188,mechashow/0.006912148818245524,humansarebastards/0.005183596343394107,sciencefictionanimeandmanga/0.0033605569688043915,shecleansupnicely/0.004148928494119345,promotiontoopeningtitles/0.0054088916902420075,japaneseseries/0.005883756062654051,fantasticracism/0.004754647973178909,titledrop/0.010224885061058063,annoyingyoungersibling/0.014472455648926238,soundeffectbleep/0.011214557765552264,threeshorts/0.009706268808544907,decadentcourt/0.01206181681115718
teenpregnancy/0.005009047756418662,onthenext/0.00301923363649918,christmasepisode/0.0072400877032706016,thethingthatwouldnotleave/0.001744840331622908,wholeepisodeflashback/0.0029882806791945524,thisisreality/0.001258008672466866,masquerade/0.0027204041743344727,expositorythemetune/0.00445395934839313,fantasyanimeandmanga/0.006625469835000318,missioncontrol/0.005158061386037485,theworfeffect/0.003347168295621904,discussedtrope/0.004124876734733145,specialguest/0.005350258717990062,canonwelding/0.005744613182793989,anyonecandie/0.004683531443665549,bookends/0.009964842205995549,vomitindiscretionshot/0.01419234360410831,goldensnitch/0.01072083509662858,westernanimationofthe1980s/0.009282414275420675,mexicanseries/0.011496419148134188
jurisdictionfriction/0.004956596994571346,importanthaircut/0.002981959147159684,itmakessenseincontext/0.007011693769413485,vanityplate/0.0017138668346118504,flanderization/0.0029590554402782244,heroeswantredheads/0.0012468758523565397,appliedphlebotinum/0.0026632528261341685,toilethumour/0.004417048083074955,lightnovels/0.006306937631394534,disconefinalboss/0.005132526428680864,coolsword/0.0033203909492569286,oohmeaccentsslipping/0.004028669697188349,theplace/0.00493982791222644,adaptationalvillainy/0.00568498051999682,bodyhorror/0.004602255409935995,inuniverse/0.009850423349768041,spoiledbrat/0.014005602240896359,audienceparticipation/0.009944985188319933,funnyanimal/0.009197643368795829,basedonatruestory/0.009611760271390879
thebeard/0.0049303716136476885,accidentalpervert/0.0029571094876000197,whathappenedtothemouse/0.006996467507156343,acquiredsituationalnarcissism/0.0017035423356081647,homage/0.0029517491305491423,signatureline/0.0012413094423013766,ourvampiresaredifferent/0.002514659320813378,animesque/0.004306314287120429,ojou/0.006306937631394534,mentorarchetype/0.004953781727184516,coolbike/0.0033203909492569286,maybemagicmaybemundane/0.003908410900257354,celebrityparadox/0.004749270752407616,racelift/0.005565715194402481,hopespot/0.004571776897287412,heroicbsod/0.009590380494705527,clusterfbomb/0.013678804855275443,lovelyassistant/0.009874453378473692,amazingtechnicolorwildlife/0.008900945195608866,argentineseries/0.00810403316999623
eatingtheeyecandy/0.0049303716136476885,unsettlinggenderreveal/0.0028701356791411958,continuitynod/0.006912723064742067,descendedcreator/0.0016415953415860496,meganekko/0.00294444282082006,thenicknamer/0.0012301766221910503,alienworks/0.0024803685118931955,interspeciesromance/0.0042817067769083126,mechamooks/0.006020258648149328,theheavy/0.004698432153618304,setrightwhatoncewentwrong/0.003307002276074441,eurekamoment/0.0038122038627125573,pilot/0.004646663050966711,twogirlstoateam/0.0055458376401367575,eyescream/0.00447018185512547,moodwhiplash/0.009569577066300527,dirtyoldman/0.01330532212885154,confessioncam/0.008675412611087601,threateningshark/0.008773788835671597,swedishseries/0.006784771956275914
cowboycop/0.00490414623272403,onetruethreesome/0.0028452860195815315,exactlywhatitsaysonthetin/0.006882270540227785,yetanotherchristmascarol/0.0016002973455713063,notsoaboveitall/0.002937136511090978,rewatchbonus/0.001219043802080724,humanpopsicle/0.0024803685118931955,gadgeteergenius/0.004207884246271962,animefirst/0.0053831942409377585,suicidebycop/0.004519687452121955,trainingfromhell/0.0032534475833444904,ambiguousdisorder/0.003776126223633259,locationtitle/0.0045880300787147655,sparedbytheadaptation/0.005506082531605312,backfromthedead/0.004368586812963527,downerending/0.009548773637895525,dramedy/0.013071895424836602,popularitypolynomial/0.00860488080124136,balefulpolymorph/0.008349934302547365,koreandrama/0.006407840180927252
makeitlooklikeanaccident/0.004877920851800372,rescueromance/0.0027707370409025397,karmahoudini/0.006707168524270662,marathonrunning/0.0015693238485602486,reallifewritestheplot/0.0029225238916328142,femmefatale/0.001219043802080724,glowingeyesofdoom/0.00240035662441277,lawyerfriendlycameo/0.00414636547074167,animeandmangaofthe1980s/0.004969102376250239,refusalofthecall/0.004468617537408712,darkisnotevil/0.003213281563797028,coololdlady/0.003691945065781562,lgbtpluscreators/0.004558713592588792,secretidentity/0.005406694760276696,sequelhook/0.00432794879609875,whamline/0.009486363352680521,doublestandard/0.012278244631185807,commercialbreakcliffhanger/0.00747637184370151,themetunerollcall/0.007841308862798288,periodpiece/0.005842442517904259
parentalincest/0.004851695470876715,doublestandardabusefemaleonmale/0.0027583122111227076,brickjoke/0.006395030147999269,compressedvice/0.001548674850552877,affectionatenickname/0.002915217581903732,genreshift/0.0011912117518049084,badasscrew/0.002377496085132648,nofourthwall/0.004023327919681087,magicalgirlgenreindex/0.004905395935529082,sweetpollyoliver/0.0044430825800520915,allyourpowerscombined/0.00319989289061454,armorpiercingquestion/0.003655867426702263,veryspecialepisode/0.004426789405021914,comicbookadaptation/0.005366939651745249,crapsackworld/0.004307629787666362,onlysaneman/0.009423953067465518,blondebrunetteredhead/0.011531279178338003,aprilfoolsday/0.007335308224009028,misplacedwildlife/0.007841308862798288,hollywoodhistory/0.005277044854881266
buryyourgays/0.004746793947182083,meetcute/0.0026961880622235475,adayinthelimelight/0.006387417016870699,valleygirl/0.001538350351549191,teammom/0.00290791127217465,riddlefortheages/0.0011745125216394191,alieninvasion/0.0023546355458525267,dubnamechange/0.0039864166543629115,hotspringsepisode/0.004873542715168503,letsyouandhimfight/0.004340942750625606,supermode/0.003132949524702102,thecasanova/0.0036438415470091638,seriesofthe1970s/0.004250890488266076,weaksauceweakness/0.004909755903633617,macguffin/0.004307629787666362,nicejobbreakingithero/0.009007884499365496,localhangout/0.01134453781512605,allornothing/0.007335308224009028,biggerontheinside/0.007671767049548595,philippineseries/0.005277044854881266
goodcopbadcop/0.004668117804411109,newtransferstudent/0.0026837632324437154,characterdevelopment/0.006356964492356417,happybirthdaytoyou/0.0015280258525455052,retcon/0.0027983166262384195,rousingspeech/0.0011689461115842559,groundhogdayloop/0.0023432052762124658,slapstickknowsnogender/0.0038633791033023277,otaku/0.004809836274447346,bloodierandgorier/0.0043154077932689855,poweredarmor/0.0030793948319721514,domesticabuse/0.0035235827500781683,hurricaneofpuns/0.004104308057636212,robotbuddy/0.004870000795102171,andtheadventurecontinues/0.004287310779233973,doesthisremindyouofanything/0.008581414217062973,brattyteenagedaughter/0.0111577964519141,consolationprize/0.007264776414162787,sciencefictionwesternanimation/0.007544610689611326,danishseries/0.004900113079532605
lipsticklesbian/0.004641892423487451,informedattractiveness/0.0026589135728840516,curbstompbattle/0.0063265119678421345,honestjohnsdealership/0.0015073768545381336,previouslyon/0.002652190431656779,weusedtobefriends/0.0011411140613084402,evilsoundsdeep/0.0023203447369323444,nakedpeoplearefunny/0.0037895565726659775,battleaura/0.004586863731923297,badassindistress/0.004162198049129258,wavemotiongun/0.0030258401392422012,blackmail/0.0034995309906919693,adamwesting/0.00403101684232128,weaponofchoice/0.004691102806710663,wouldhurtachild/0.004287310779233973,noodleincident/0.008571012502860471,comedyseries/0.011111111111111112,celebrityedition/0.007123712794470306,puppetshows/0.00720552706311194,romanaclef/0.00395778364116095
evilmatriarch/0.004615667042563793,sleepcute/0.0026589135728840516,whatthehellhero/0.006303672574456422,fantasticcomedy/0.0014660788585233902,outoffocus/0.0026375778121986147,freakout/0.0011021491909222986,humanaliens/0.0023203447369323444,bearsarebadnews/0.0037526453073478024,superrobotgenre/0.004586863731923297,bashbrothers/0.004162198049129258,shockandawe/0.0029856741196947383,deliberatevaluesdissonance/0.0034634533516126704,rearrangethesong/0.003899092654754401,takeovertheworld/0.004671225252444939,cutshort/0.004236513258153002,actorallusion/0.008290166219392957,thenineties/0.011064425770308124,followtheleader/0.006771053745239103,fantasywesternanimation/0.006739287076675285,princelingrivalry/0.003769317753486619
queermedia/0.004563216280716477,oneheadtaller/0.0026340639133243873,shiptease/0.006212315000913576,swappedroles/0.0014557543595197042,sitcomarchnemesis/0.0026375778121986147,tuckerization/0.0011021491909222986,howdoishotweb/0.002228902579811858,eyecatch/0.0037526453073478024,bishiesparkle/0.004555010511562719,royalswhoactuallydosomething/0.004136663091772637,idiothero/0.0029455081001472753,jerkjock/0.0034153498328402723,oddcouple/0.003899092654754401,sequelseries/0.00461159258964777,ruleofcool/0.0042263537539368075,toodumbtolive/0.008258961076785453,thebully/0.010737628384687208,obviousrulepatch/0.006629990125546621,ourwerewolvesaredifferent/0.006654516170050439,docudrama/0.003392385978137957
afathertohismen/0.004563216280716477,armorpiercingslap/0.0026340639133243873,idiosyncraticepisodenaming/0.0061970887386564345,dancepartyending/0.0014041318645012751,generationxerox/0.0026229651927404504,oncemorewithclarity/0.0011021491909222986,lotuseatermachine/0.002217472310171797,ridiculouslycutecritter/0.003740341552241744,nosebleed/0.004555010511562719,bottomlessmagazines/0.004111128134416015,dualwielding/0.0029321194269647877,amicableexes/0.003343194554681675,australianseries/0.003825801439439469,newpowersastheplotdemands/0.0045519599268506,evilcounterpart/0.0041958752412882255,blatantlies/0.007926106222305437,siblingrivalry/0.010177404295051354,homegame/0.005995203836930456,halfdressedcartoonanimal/0.006612130716738015,eunuchsareevil/0.003203920090463626
rapeasbackstory/0.0044845401379455035,gagboobs/0.0026216390835445556,breakingthefourthwall/0.0061285705584993,hiccuphijinks/0.0014041318645012751,storyarc/0.0026010462635532045,directedbycastmember/0.001074317140646483,cyborg/0.002217472310171797,bishonen/0.0037280377971356856,mechaexpansionpack/0.004459450850480984,deadpersonimpersonation/0.004085593177059394,onewingedangel/0.0029321194269647877,rippedfromtheheadlines/0.003283065156216177,uncanceled/0.003459345362864807,adaptationalheroism/0.004532082372584877,youhaveoutlivedyourusefulness/0.004185715737072031,thereveal/0.007874097651292933,sassyblackwoman/0.009990662931839402,bonusspace/0.005995203836930456,furryconfusion/0.006484974356800746,spiritcultivationgenre/0.003015454202789295
bythebookcop/0.004300962471479898,singletargetsexuality/0.0026092142537647235,spiritualsuccessor/0.0060981180339850175,cutebutcacophonic/0.0013938073654975892,ambiguouslybrown/0.0025864336440950403,callforward/0.0010687507305913197,reallysevenhundredyearsold/0.002206042040531736,talkinganimal/0.0036542152664993358,phenotypestereotype/0.004459450850480984,governmentconspiracy/0.004060058219702773,finishingmove/0.0028517873878698623,allfornothing/0.003259013396829978,onceaseason/0.0034446871198018205,adaptationalniceguy/0.004512204818319154,antihero/0.003972366148531951,justifiedtrope/0.00764525993883792,cringecomedy/0.009943977591036414,latinoamericanmedia/0.005995203836930456,neversmileatacrocodile/0.00627304709023863,turkishdrama/0.0024500565397663023
victimoftheweek/0.004222286328708924,loveconfession/0.0025595149346453955,hypocriticalhumor/0.006075278640599305,parodyepisode/0.0013834828664939034,coolbigsis/0.0025864336440950403,courtroomepisode/0.0010687507305913197,zombieapocalypse/0.002206042040531736,thechewtoy/0.0036050002460751023,adjectivenounfred/0.004268331528317513,themedic/0.003983453347632909,improbableweaponuser/0.0028116213683223993,obstructivebureaucrat/0.0032469875171368787,girloftheweek/0.0034446871198018205,tagalongkid/0.004452572155521984,worthyopponent/0.003830133089505232,nocelebritieswereharmed/0.007614054796230419,unsympatheticcomedyprotagonist/0.009850606909430439,guesthost/0.005854140217237974,seldomseenspecies/0.006103505276988937,israelimedia/0.0016961929890689784
policebrutality/0.004196060947785267,incestsubtext/0.0025470901048655634,bigeater/0.005953468542542177,earworm/0.0013834828664939034,tropenamers/0.00254990209544963,anachronicorder/0.0010576179104809934,badfuture/0.0021831815012516146,excitedshowtitle/0.0034573551848024017,meido/0.004268331528317513,villainousrescue/0.003957918390276288,toku/0.002784844021957424,murderthehypotenuse/0.0032469875171368787,theallegedcar/0.003430028876738834,pragmaticadaptation/0.004452572155521984,villainousbreakdown/0.003819973585289038,msfanservice/0.0075516445110154155,workcom/0.009850606909430439,carriedbythehost/0.005854140217237974,everythingsbetterwithdinosaurs/0.006061119823676514,thelatemiddleages/0.0013192612137203166
copshow/0.004196060947785267,emotionlessgirl/0.0025098156155260675,niceguy/0.00586211096899933,dartboardofhate/0.0013834828664939034,artisticlicensebiology/0.002520676856533302,wideeyedidealist/0.0010520515004258304,alwayschaoticevil/0.0021831815012516146,catsaremean/0.0034573551848024017,portmanteauseriesnickname/0.004236478307956934,warishell/0.003957918390276288,theonlyoneallowedtodefeatyou/0.002784844021957424,notevenbotheringwiththeaccent/0.00321090987805758,poorlydisguisedpilot/0.0034007123906128612,canonimmigrant/0.004432694601256262,damselindistress/0.0037285380473432894,disproportionateretribution/0.007312405084357902,freudiantrio/0.009757236227824463,downtothelastplay/0.005783608407391734,blackbeadeyes/0.006018734370364091,bulgarianmedia/0.0009423294383716547
jackbauerinterrogationtechnique/0.004091159424090635,dudelookslikealady/0.002472541126186571,anaesop/0.005785979657713624,cowboyepisode/0.0013834828664939034,backforthefinale/0.0024695326884297277,backforthedead/0.0010464850903706673,grandtheftme/0.0021831815012516146,firstrunsyndication/0.0033466213888478764,animeandmangaofthe2020s/0.004236478307956934,fakedefector/0.003932383432919667,bfs/0.0026643459633150356,frameup/0.0031988839983644805,bigapplesauce/0.0033420794183609153,decompositecharacter/0.004432694601256262,policeareuseless/0.0036777405262623185,kickthedog/0.007218789656535397,domcom/0.009570494864612512,mygreatestsecondchance/0.005713076597545493,furryreminder/0.0059763489170516675,eastindies/0.0007538635506973238
policeprocedural/0.004091159424090635,sugarandicepersonality/0.002460116296406739,bigdamnheroes/0.0057098483464279185,feudepisode/0.0013731583674902175,coolandunusualpunishment/0.002462226378700646,fictionalvideogame/0.001035352270260341,backtobackbadasses/0.0021603209619714928,widgetseries/0.0033220138786357596,coolplane/0.004236478307956934,dressingastheenemy/0.0038557785608498035,elitemooks/0.002650957290132548,fingore/0.0031507804795920824,thatcameoutwrong/0.0032687882030459827,everybodylaughsending/0.00423391905859903,thestarscream/0.0036066239967489588,hoistbyhisownpetard/0.007197986228130396,bigbrotherbully/0.009290382819794584,realityshowgenreblindness/0.005713076597545493,barefootcartoonanimal/0.005679650743864706,
kangaroocourt/0.004012483281319661,onedialoguetwoconversations/0.002460116296406739,petthedog/0.005694622084170778,scoutout/0.0013628338684865317,geniusditz/0.0024476137592424818,wouldnthitagirl/0.0010297858602051778,realitywarper/0.0021488906923314323,baitandswitchcredits/0.003297406368423643,catsmile/0.004204625087596356,facelessgoons/0.0038557785608498035,blowyouaway/0.0026375686169500603,artisticlicensegeography/0.0031147028405127835,africanamericanmedia/0.0031661805016050776,broadstrokes/0.00417428639580186,namestorunawayfromreallyfast/0.003565985979884182,freudianexcuse/0.007083567371902889,brainlessbeauty/0.009056956115779646,ragequit/0.005501481168006771,frankensteinsmonster/0.005552494383927436,
deadguyjunior/0.003986257900396003,covertpervert/0.0024476914666269074,pun/0.005595651379499361,fullnameultimatum/0.0013112113734681024,captainersatz/0.0024403074495133997,lovemakesyoucrazy/0.0010242194501500147,fantasykitchensink/0.0021374604226913714,barbiedollanatomy/0.0031866725724691175,sailorfuku/0.004140918646875199,dwindlingparty/0.003830243603493182,mindcontroleyes/0.0026375686169500603,offwithhishead/0.0030906510811265844,itwillnevercatchon/0.0031075475293531316,speculativefictionseries/0.0040351435159417985,noholdsbarredbeatdown/0.0035253479630194045,hiddendepths/0.007021157086687886,kavorkaman/0.009010270774976657,multinationalshows/0.005430949358160531,forhalloweeniamgoingasmyself/0.005425338023990167,
conspiracythriller/0.003933807138548687,crossovership/0.002422841807067243,lighterandsofter/0.0055423594615993665,burgerfool/0.0013008868744644167,handwave/0.0024330011397843175,lockedoutoftheloop/0.0010186530400948517,compilationmovie/0.0021260301530513104,rapunzelhair/0.0031497613071509423,kodomomuke/0.004109065426514621,childsoldiers/0.0037536387314233187,healingfactor/0.002610791270585085,embarrassingnickname/0.0030665993217403853,friendsrentcontrol/0.0031075475293531316,adaptationalbadass/0.003915878190347459,nicejobfixingitvillain/0.0034339124250736563,showntheirwork/0.0069379433730678815,lovablealphabitch/0.008916900093370681,productdisplacement/0.005430949358160531,fullydressedcartoonanimal/0.005255796210740474,
surpriseincest/0.0038551309957777138,theglomp/0.002410416977287411,adultfear/0.005504293805956514,fandomlifecycle/0.0013008868744644167,companioncube/0.0023964695911389074,passthepopcorn/0.0010130866300396885,cursedwithawesome/0.0021260301530513104,parentalbonus/0.003100546286726709,noblewomanslaugh/0.004045358985793464,designatedgirlfight/0.0037536387314233187,iknowyoureintheresomewherefight/0.0025572365778551345,amazinglyembarrassingparents/0.0030425475623541863,girlongirlishot/0.0030635728001641724,familyfriendlyfirearms/0.003876123081816013,gorydiscretionshot/0.003372955399776491,laserguidedkarma/0.00691713994466288,granolagirl/0.008823529411764706,luckbasedmission/0.005430949358160531,zanycartoon/0.005128639850803205,
