Topic 1,Topic 2,Topic 3
secretidentity/0.0008468982352135304,idiosyncraticepisodenaming/0.000773448850231227,sassyblackwoman/0.0033179837821914198
comicbookadaptation/0.0008406710423075486,breakingthefourthwall/0.0007648972044669997,cringecomedy/0.003302479185078376
superspeed/0.0008375574458545577,spiritualsuccessor/0.0007610964730162319,workcom/0.0032714699908522877
playingwithfire/0.000825103060042594,hypocriticalhumor/0.0007582459244281562,unsympatheticcomedyprotagonist/0.0032714699908522877
heknowstoomuch/0.0008219894635896031,driventosuicide/0.0007582459244281562,amazingtechnicolorwildlife/0.003255965393739244
defeatmeansfriendship/0.0008188758671366121,actorallusion/0.0007572957415654643,freudiantrio/0.0032404607966261996
crimeandpunishmentseries/0.0008157622706836213,toodumbtolive/0.0007544451929773885,nonfictionseries/0.0032249561995131557
midseasonupgrade/0.0008157622706836213,wordofgod/0.0007430429986250854,koreanseries/0.0032094516024001114
combiningmecha/0.0008095350777776394,bigeater/0.0007430429986250854,threateningshark/0.0032094516024001114
maydecemberromance/0.0008064214813246485,niceguy/0.0007316408042727823,domcom/0.0031784424081740237
aliensspeakingenglish/0.0008064214813246485,blatantlies/0.0007240393413712469,manipulativeediting/0.0031164240197218474
blessedwithsuck/0.0007908534990596939,anaesop/0.000722138975645863,bonusround/0.0030854148254957593
nodubforyou/0.000787739902606703,thereveal/0.0007192884270577872,bigbrotherbully/0.0030854148254957593
dachief/0.000784626306153712,bigdamnheroes/0.0007126371470189438,miniseries/0.0030854148254957593
sciencefictionanimeandmanga/0.0007815127097007211,petthedog/0.0007107367812935599,balefulpolymorph/0.0030544056312696716
theworfeffect/0.0007783991132477301,pun/0.0006983844040785649,brainlessbeauty/0.0030078918399305396
coolsword/0.0007721719203417483,justifiedtrope/0.0006983844040785649,frenchseries/0.0030078918399305396
coolbike/0.0007721719203417483,nocelebritieswereharmed/0.0006955338554904891,kavorkaman/0.0029923872428174953
arbitraryskepticism/0.0007721719203417483,lighterandsofter/0.0006917331240397215,worksneedingtropes/0.0029768826457044514
setrightwhatoncewentwrong/0.0007690583238887574,msfanservice/0.0006898327583143376,lovablealphabitch/0.0029613780485914076
weaksauceweakness/0.0007690583238887574,evenevilhasstandards/0.0006898327583143376,granolagirl/0.0029303688543653194
transformingmecha/0.0007690583238887574,adultfear/0.0006869822097262618,bumblingdad/0.0028993596601392313
robotbuddy/0.0007628311309827756,arsonmurderandjaywalking/0.0006793807468247265,corpsing/0.002868350465913143
namestoknowinanime/0.0007597175345297846,crossover/0.0006765301982366507,misplacedwildlife/0.002868350465913143
alternateuniverse/0.0007597175345297846,theditz/0.0006698789181978071,themetunerollcall/0.002868350465913143
darkactiongirl/0.0007566039380767938,disproportionateretribution/0.0006679785524724233,theannouncer/0.002821836674574011
trainingfromhell/0.0007566039380767938,artshift/0.0006679785524724233,biggerontheinside/0.0028063320774609673
allyourbasearebelongtous/0.0007566039380767938,punnyname/0.0006613272724335799,cantgetawaywithnuthin/0.002790827480347923
youcantfightfate/0.0007534903416238028,kickthedog/0.000659426906708196,upperclasstwit/0.002775322883234879
seinen/0.000747263148717821,hoistbyhisownpetard/0.0006575265409828121,embarrassingmiddlename/0.002775322883234879
theendoftheworldasweknowit/0.000747263148717821,mygodwhathaveidone/0.0006565763581201202,sciencefictionwesternanimation/0.0027598182861218352
darkisnotevil/0.000747263148717821,productplacement/0.0006537258095320444,britcom/0.002744313689008791
allyourpowerscombined/0.00074414955226483,freudianexcuse/0.000647074529493201,schoolplay/0.002728809091895747
moredakka/0.00074414955226483,hiddendepths/0.0006413734323170494,sadistteacher/0.0027133044947827032
masquerade/0.0007410359558118391,truthintelevision/0.0006404232494543574,girlposse/0.002697799897669659
weaponofchoice/0.0007348087629058573,disappeareddad/0.0006366225180035898,blackandnerdy/0.002635781509217483
takeovertheworld/0.0007316951664528663,showntheirwork/0.000633771969415514,puppetshows/0.002635781509217483
laresistance/0.0007316951664528663,thedragon/0.0006328217865528221,wildteenparty/0.002620276912104439
supermode/0.0007285815699998755,laserguidedkarma/0.0006318716036901302,countrymatters/0.002573763120765307
appliedphlebotinum/0.0007254679735468845,seriesofthe1990s/0.0006280708722393624,costumedrama/0.002511744732313131
sequelseries/0.0007223543770938936,ascendedextra/0.0006252203236512867,hairofgoldheartofgold/0.002511744732313131
imperialstormtroopermarksmanshipacademy/0.0007192407806409027,chuckcunninghamsyndrome/0.0006242701407885948,fantasywesternanimation/0.002465230940973999
poweredarmor/0.0007161271841879118,avertedtrope/0.0006223697750632109,soundeffectbleep/0.002465230940973999
newpowersastheplotdemands/0.0007130135877349208,grandfinale/0.0006223697750632109,dropincharacter/0.0024342217467479108
adaptationalheroism/0.00070989999128193,temptingfate/0.0006185690436124432,ourwerewolvesaredifferent/0.0024342217467479108
shoujodemographic/0.000706786394828939,lovetriangle/0.0006176188607497513,halfdressedcartoonanimal/0.002418717149634867
adaptationalniceguy/0.000706786394828939,parentalabandonment/0.0006109675807109078,coolteacher/0.0023877079554087788
wavemotiongun/0.0007036727983759481,bewaretheniceones/0.0006062166663974482,fantasyseries/0.0023877079554087788
evilishammy/0.0007005592019229572,spinoff/0.0006033661178093724,furryconfusion/0.0023722033582957345
pragmaticadaptation/0.0006974456054699663,seriousbusiness/0.0006014657520839885,goldensnitch/0.0023566987611826906
tagalongkid/0.0006974456054699663,showwithinashow/0.0006005155692212967,neversmileatacrocodile/0.0022946803727305148
shockandawe/0.0006943320090169753,enemymine/0.0006005155692212967,kidcom/0.0022791757756174705
decompositecharacter/0.0006943320090169753,vitriolicbestbuds/0.0005995653863586048,seldomseenspecies/0.0022326619842783385
canonimmigrant/0.0006943320090169753,abusiveparents/0.0005900635577316854,weightwoe/0.0022326619842783385
idiothero/0.0006849912196580025,hilarityensued/0.0005891133748689935,everythingsbetterwithdinosaurs/0.0022171573871652946
ourvampiresaredifferent/0.0006849912196580025,freezeframebonus/0.0005748606319286146,blackbeadeyes/0.0022016527900522503
onewingedangel/0.0006818776232050117,missingmom/0.0005739104490659228,awfulweddedlife/0.0022016527900522503
dualwielding/0.0006818776232050117,demotedtoextra/0.0005701097176151551,audienceparticipation/0.0021861481929392064
amoralattorney/0.0006818776232050117,exactwords/0.0005682093518897712,furryreminder/0.0021861481929392064
twofertokenminority/0.0006787640267520207,allthereinthemanual/0.0005682093518897712,gagpenis/0.0021861481929392064
alienworks/0.0006756504302990298,reallife/0.0005596577061255439,lovelyassistant/0.0021706435958261626
humanpopsicle/0.0006756504302990298,comicallymissingthepoint/0.000558707523262852,anythingthatmoves/0.0021241298044870306
mechashow/0.0006756504302990298,determinator/0.000558707523262852,informedjudaism/0.0021241298044870306
ihaveyourwife/0.000669423237393048,batmangambit/0.0005568071575374681,goth/0.0020931206102609424
faircop/0.000666309640940057,gratuitousenglish/0.0005558569746747762,barefootcartoonanimal/0.002077616013147898
finishingmove/0.0006631960444870662,paperthindisguise/0.0005520562432240084,frankensteinsmonster/0.002031102221808766
everybodylaughsending/0.0006631960444870662,leaningonthefourthwall/0.0005520562432240084,soapboxsadie/0.0020155976246957223
killitwithfire/0.0006631960444870662,surprisinglyrealisticoutcome/0.0005520562432240084,forhalloweeniamgoingasmyself/0.001984588430469634
improbableweaponuser/0.0006538552551280934,assholevictim/0.0005511060603613165,sternteacher/0.001984588430469634
broadstrokes/0.0006538552551280934,absenteeactor/0.0005492056946359326,slobsversussnobs/0.001984588430469634
glowingeyesofdoom/0.0006538552551280934,idiotball/0.0005492056946359326,celebritystar/0.0019380746391305021
toku/0.0006476280622221115,irony/0.0005482555117732407,fullydressedcartoonanimal/0.0019225700420174583
fantasyanimeandmanga/0.0006476280622221115,axcrazy/0.0005473053289105489,confessioncam/0.0019070654449044142
theonlyoneallowedtodefeatyou/0.0006476280622221115,truecompanions/0.0005425544145970892,popularitypolynomial/0.0018915608477913701
badasscrew/0.0006476280622221115,redoniblueoni/0.0005406540488717054,zanycartoon/0.001876056250678326
datingcatwoman/0.0006445144657691206,statusquoisgod/0.0005378035002836296,lovablejock/0.0018605516535652822
alieninvasion/0.0006414008693161297,timeskip/0.0005368533174209376,jackassgenie/0.00181403786222615
deadallalong/0.0006382872728631387,coolcar/0.0005359031345582457,transparentcloset/0.0017985332651131061
groundhogdayloop/0.0006382872728631387,bilingualbonus/0.0005349529516955538,accessorywearingcartoonanimal/0.0017985332651131061
modestybedsheet/0.0006351736764101478,onestevelimit/0.0005349529516955538,cartooncreature/0.0017985332651131061
humansarebastards/0.0006320600799571569,imaginespot/0.0005340027688328619,ourmermaidsaredifferent/0.0017520194737739739
humanaliens/0.0006320600799571569,reasonableauthorityfigure/0.0005340027688328619,chineseseries/0.0017520194737739739
speculativefictionseries/0.0006320600799571569,spellmynamewithans/0.0005321024031074781,thestoner/0.0017520194737739739
evilsoundsdeep/0.0006320600799571569,longrunners/0.0005302020373820942,lionsandtigersandhumansohmy/0.0017520194737739739
missioncontrol/0.000628946483504166,baitandswitch/0.0005283016716567103,wickedwitch/0.0017055056824348419
disconefinalboss/0.000625832887051175,cliffhanger/0.0005283016716567103,worldoffunnyanimals/0.0016900010853217978
doublestandardrapefemaleonmale/0.0006196056941451932,heterosexuallifepartners/0.0005273514887940184,thefuninfuneral/0.0016900010853217978
bfs/0.0006196056941451932,thosetwoguys/0.0005254511230686345,nicemeanandinbetween/0.0016589918910957099
elitemooks/0.0006164920976922023,doityourselfthemetune/0.0005216503916178668,involuntaryshapeshifting/0.0016589918910957099
ojou/0.0006164920976922023,bitchinsheepsclothing/0.000520700208755175,stopmotion/0.0016589918910957099
lightnovels/0.0006164920976922023,limitedwardrobe/0.000519750025892483,commercialbreakcliffhanger/0.0016434872939826658
mindcontroleyes/0.0006133785012392114,thebuscameback/0.000519750025892483,speciessurname/0.001627982696869622
blowyouaway/0.0006133785012392114,beachepisode/0.0005187998430297911,lovepotion/0.0016124780997565779
adaptationalbadass/0.0006133785012392114,tsundere/0.0005168994773044073,hauntedhouse/0.0016124780997565779
familyfriendlyfirearms/0.0006071513083332295,manipulativebastard/0.0005168994773044073,aprilfoolsday/0.0016124780997565779
incredibleshrinkingman/0.0006071513083332295,screwthisimouttahere/0.0005159492944417153,allornothing/0.0016124780997565779
healingfactor/0.0006071513083332295,trademarkfavoritefood/0.0005140489287163315,sentientvehicle/0.0015969735026435338
howdoishotweb/0.0006071513083332295,stalkerwithacrush/0.0005111983801282557,consolationprize/0.0015969735026435338
settingupdate/0.0006040377118802387,faceheelturn/0.0005092980144028718,thefashionista/0.0015969735026435338
goodgirlsavoidabortion/0.0006040377118802387,happilymarried/0.00050834783154018,highschooldance/0.0015814689055304897
lotuseatermachine/0.0006040377118802387,tookalevelinbadass/0.0005045471000894122,jerkassball/0.0015814689055304897
cyborg/0.0006040377118802387,evolvingcredits/0.0004997961857759526,livingshadow/0.0015814689055304897
mentorarchetype/0.0006040377118802387,blandnameproduct/0.0004988460029132606,celebrityedition/0.0015659643084174459
depravedbisexual/0.0006009241154272477,yougottahavebluehair/0.0004969456371878768,humanityensues/0.0015659643084174459
zombieapocalypse/0.0006009241154272477,groinattack/0.0004969456371878768,careerresurrection/0.0015504597113044018
reallysevenhundredyearsold/0.0006009241154272477,insistentterminology/0.000495045271462493,greatbigbookofeverything/0.0015349551141913577
ambiguouslyhuman/0.0005978105189742567,suspiciouslysimilarsubstitute/0.0004931449057371091,perkygoth/0.0015349551141913577
alwayschaoticevil/0.0005946969225212659,themole/0.0004921947228744172,samelanguagedub/0.0015194505170783136
whipitgood/0.0005946969225212659,castinggag/0.0004912445400117253,gorgeousperioddress/0.0015194505170783136
grandtheftme/0.0005946969225212659,funnybackgroundevent/0.0004893441742863414,followtheleader/0.0014884413228522257
iknowyoureintheresomewherefight/0.0005946969225212659,killedoffforreal/0.00048744380856095756,coolloser/0.0014884413228522257
teenpregnancy/0.0005946969225212659,blackcomedy/0.00048744380856095756,caninefiction/0.0014729367257391816
badfuture/0.0005946969225212659,alljustadream/0.0004864936256982656,westernanimationofthe1970s/0.0014729367257391816
evilknockoff/0.0005915833260682749,mrfanservice/0.0004855434428355737,alwaysabiggerfish/0.0014574321286261376
thebrute/0.0005915833260682749,halloweenepisode/0.00048364307711018983,obviousrulepatch/0.0014574321286261376
adaptationalattractiveness/0.0005915833260682749,precisionfstrike/0.00048269289424749794,mummy/0.0014419275315130937
backtobackbadasses/0.000588469729615284,bigno/0.000481742711384806,fakeinteractivity/0.0014419275315130937
jurisdictionfriction/0.000588469729615284,genkigirl/0.0004788921627967302,standardizedsitcomhousing/0.0014419275315130937
mechamooks/0.000588469729615284,epicfail/0.00047604161420865444,dogsaredumb/0.0014264229344000496
mixandmatchcritters/0.0005853561331622931,affablyevil/0.00047509143134596255,animatedanthology/0.0014264229344000496
eatingtheeyecandy/0.0005853561331622931,verbaltic/0.00047319106562057866,stockdinosaurs/0.0014109183372870056
realitywarper/0.0005853561331622931,theace/0.00047129069989519483,spicylatina/0.0013954137401739615
thebeard/0.0005853561331622931,mooks/0.0004703405170325029,authortract/0.0013954137401739615
reptilesareabhorrent/0.0005822425367093022,themenaming/0.0004703405170325029,featheredfiend/0.0013799091430609176
fantasykitchensink/0.0005822425367093022,breakthecutie/0.0004674899684444271,artisticlicensepaleontology/0.0013799091430609176
thisisadrill/0.0005822425367093022,papawolf/0.0004665397855817352,thecheerleader/0.0013644045459478735
cowboycop/0.0005822425367093022,madscientist/0.00046558960271904327,asianandnerdy/0.0013488999488348295
makeitlooklikeanaccident/0.0005791289402563112,itsallaboutme/0.00046558960271904327,popculturalosmosisfailure/0.0013333953517217856
cursedwithawesome/0.0005791289402563112,alliterativename/0.0004646394198563514,highconcept/0.0013333953517217856
compilationmovie/0.0005791289402563112,wellintentionedextremist/0.0004646394198563514,informedspecies/0.0013333953517217856
parentalincest/0.0005760153438033204,establishingcharactermoment/0.00046368923699365944,homegame/0.0013178907546087415
cityofadventure/0.0005760153438033204,cassandratruth/0.0004617888712682756,tokenwhite/0.0013178907546087415
titlescream/0.0005760153438033204,playingwithatrope/0.00046083868840558366,giantflyer/0.0013178907546087415
brainwashed/0.0005760153438033204,instrumentalthemetune/0.00045703795695481594,bonusspace/0.0013178907546087415
theheavy/0.0005729017473503294,animationbump/0.00045608777409212404,nerd/0.0013178907546087415
newseasonnewname/0.0005697881508973385,hypocrite/0.00045608777409212404,latinoamericanmedia/0.0013178907546087415
inthenameofthemoon/0.0005697881508973385,mamabear/0.00045418740836674016,monstermash/0.0013023861574956975
elementalpowers/0.0005666745544443476,fandisservice/0.00044848631119058865,middlechildsyndrome/0.0012868815603826534
technobabble/0.0005666745544443476,theteaser/0.0004475361283278967,guesthost/0.0012868815603826534
crapsaccharineworld/0.0005666745544443476,britishbrevity/0.0004475361283278967,horrorwesternanimation/0.0012868815603826534
buryyourgays/0.0005635609579913567,smugsnake/0.00044658594546520476,carriedbythehost/0.0012868815603826534
paletteswap/0.0005573337650853749,redherring/0.00044658594546520476,preppyname/0.0012713769632696095
timestandsstill/0.0005573337650853749,whamshot/0.00044658594546520476,deanbitterman/0.0012713769632696095
broughttoyoubytheletters/0.0005573337650853749,clipshow/0.0004456357626025129,downtothelastplay/0.0012713769632696095
nobledemon/0.0005542201686323839,fantasticracism/0.00044468557973982093,mygreatestsecondchance/0.0012558723661565655
goodcopbadcop/0.0005542201686323839,shipperondeck/0.0004427852140144371,realityshowgenreblindness/0.0012558723661565655
cutemonstergirl/0.0005542201686323839,anyonecandie/0.00043803429970097743,pterosoarer/0.0012558723661565655
lipsticklesbian/0.0005511065721793929,stealthpun/0.00043803429970097743,carnivoreconfusion/0.0012403677690435214
genderbender/0.0005511065721793929,beat/0.00043803429970097743,toothybird/0.0012403677690435214
suicidebycop/0.0005511065721793929,sceneryporn/0.00043803429970097743,dirtyoldwoman/0.0012403677690435214
achillesheel/0.0005511065721793929,artevolution/0.00043423356825020976,instanthumiliationjustaddyoutube/0.0012248631719304773
superpoweredevilside/0.0005479929757264021,bodyhorror/0.00043043283679944204,westernanimationofthe1960s/0.0012248631719304773
evilmatriarch/0.0005479929757264021,manchild/0.00042948265393675015,ineptmage/0.0012093585748174335
adaptationaljerkass/0.0005448793792734111,corruptcorporateexecutive/0.0004285324710740582,ragequit/0.0012093585748174335
megacorp/0.0005448793792734111,sarcasmmode/0.00042758228821136626,minorityshowghetto/0.0011938539777043894
screwdestiny/0.0005448793792734111,hopespot/0.00042758228821136626,luckbasedmission/0.0011938539777043894
refusalofthecall/0.0005448793792734111,abortedarc/0.00042663210534867437,tokenminoritycouple/0.0011938539777043894
afathertohismen/0.0005417657828204202,jerkasshasapoint/0.0004256819224859824,multinationalshows/0.0011938539777043894
sweetpollyoliver/0.0005417657828204202,thestoic/0.0004237815567605986,productdisplacement/0.0011938539777043894
contrastingsequelmaincharacter/0.0005417657828204202,ruleoffunny/0.00042283137389790665,eatsbabies/0.0011938539777043894
queermedia/0.0005417657828204202,loadsandloadsofcharacters/0.0004218811910352147,boardingschool/0.0011783493805913453
evilcostumeswitch/0.0005417657828204202,coololdguy/0.0004209310081725228,fakeshemp/0.0011783493805913453
themeninblack/0.0005355385899144384,invertedtrope/0.0004209310081725228,telenovela/0.0011628447834783012
namedbytheadaptation/0.0005324249934614474,offmodel/0.00041998082530983087,undesirableprize/0.0011628447834783012
barehandedbladeblock/0.0005324249934614474,genderflip/0.00041998082530983087,allguyswantcheerleaders/0.0011628447834783012
rapeasbackstory/0.0005324249934614474,funwithacronyms/0.000419030642447139,hypnoticeyes/0.0011628447834783012
letsyouandhimfight/0.0005293113970084566,leitmotif/0.000419030642447139,losinghorns/0.0011318355892522133
completelydifferenttitle/0.0005293113970084566,nicehat/0.00041808045958444703,magicpants/0.0011318355892522133
codragons/0.0005293113970084566,eyescream/0.00041808045958444703,spoiledsweet/0.0011318355892522133
madeofexplodium/0.0005261978005554656,tomboyandgirlygirl/0.0004171302767217551,dramaticpause/0.0011318355892522133
bloodierandgorier/0.0005261978005554656,arcwords/0.00041522991099637125,pointandlaughshow/0.0011318355892522133
eviloverlord/0.0005261978005554656,oocisseriousbusiness/0.0004142797281336793,asianairhead/0.0011163309921391692
animefirst/0.0005261978005554656,clingyjealousgirl/0.0004133295452709874,animaltalk/0.0011163309921391692
gottacatchthemall/0.0005261978005554656,howwegothere/0.00041142917954560353,deadlygame/0.0010853217979130813
justeatgilligan/0.0005261978005554656,backfromthedead/0.00040857863095752775,dracula/0.0010853217979130813
agelift/0.0005230842041024747,ghost/0.00040762844809483586,seamonster/0.0010853217979130813
powerperversionpotential/0.0005230842041024747,animaltitleindex/0.00040762844809483586,largehamannouncer/0.0010853217979130813
camebackwrong/0.0005230842041024747,whydidithavetobesnakes/0.00040762844809483586,vampireepisode/0.0010698172008000372
evilgenius/0.0005230842041024747,poorcommunicationkills/0.0004066782652321439,historicalbeautyupdate/0.0010543126036869931
transformationisafreeaction/0.0005199706076494838,ruleofthree/0.00040572808236945203,sitcomic/0.0010543126036869931
dangerousforbiddentechnique/0.0005168570111964929,loopholeabuse/0.0004047778995067601,lowerclasslout/0.0010543126036869931
retgone/0.0005168570111964929,failureistheonlyoption/0.0004047778995067601,raptorattack/0.001038808006573949
kaiju/0.0005168570111964929,sequelhook/0.0004047778995067601,nintendohard/0.001038808006573949
finalbattle/0.0005168570111964929,onlyknownbytheirnickname/0.0004047778995067601,karmictransformation/0.001038808006573949
macrossmissilemassacre/0.0005137434147435019,shirtlessscene/0.00040382771664406814,spookykidsmedia/0.0010233034094609052
legacycharacter/0.0005106298182905111,badboss/0.00040382771664406814,imperialchina/0.0010233034094609052
deathbyadaptation/0.0005106298182905111,crapsackworld/0.00040287753378137625,timedmission/0.0010077988123478611
jumpedatthecall/0.0005106298182905111,macguffin/0.00040287753378137625,jadedwashout/0.000992294215234817
acepilot/0.0005106298182905111,earnyourhappyending/0.00040287753378137625,episodecodenumber/0.000992294215234817
bythebookcop/0.0005106298182905111,ironicecho/0.00040287753378137625,everytownamerica/0.000992294215234817
bigfootsasquatchandyeti/0.0005106298182905111,wouldhurtachild/0.00040097716805599236,decadentcourt/0.000992294215234817
darkchick/0.0005075162218375201,andtheadventurecontinues/0.00040097716805599236,nongameplayelimination/0.000992294215234817
badassindistress/0.0005075162218375201,bunnyearslawyer/0.00040002698519330047,throughafacefulloffur/0.0009767896181217732
bashbrothers/0.0005075162218375201,darkandtroubledpast/0.00040002698519330047,secretchaser/0.0009767896181217732
thecaptain/0.0005075162218375201,nevermyfault/0.0003990768023306085,kayfabe/0.0009767896181217732
anaxetogrind/0.0005044026253845291,selfdeprecation/0.0003990768023306085,genieinabottle/0.0009767896181217732
charlesatlassuperpower/0.0005044026253845291,officialcouple/0.0003981266194679166,girlygirl/0.0009612850210087291
pantheraawesome/0.0005044026253845291,thesmurfetteprinciple/0.0003971764366052247,winsbydoingabsolutelynothing/0.0009612850210087291
royalswhoactuallydosomething/0.0005044026253845291,accidentalmisnaming/0.00039622625374253275,apatheticteacher/0.0009612850210087291
fivetokenband/0.0005044026253845291,cutshort/0.00039622625374253275,civilizedanimal/0.0009612850210087291
evilerthanthou/0.0005012890289315383,becarefulwhatyouwishfor/0.00039622625374253275,immelting/0.0009612850210087291
weirdnesscensor/0.0005012890289315383,wholeplotreference/0.0003952760708798408,hormoneaddledteenager/0.0009612850210087291
horrorseries/0.0005012890289315383,ruleofcool/0.0003952760708798408,bigmanoncampus/0.0009612850210087291
