Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
murderisthebestsolution/0.0011056826947801492,theneidermeyer/0.00343128629245117,itsallmyfault/0.0015191271923767435,baitandswitchcomment/0.0007495364708667009,hideyourpregnancy/0.0019476427794008135,outoffocus/0.0019084288942830836,youarenumbersix/0.001766676819981724,endofseriesawareness/0.0023119331317801887,adaptationnamechange/0.0017226268548460213,arsonmurderandjaywalking/0.0030789175174201914,dumbblonde/0.0027778685577960066,startmyown/0.001683958933130534
slidingscaleofgenderinequality/0.0010799691437387504,beamspam/0.00343128629245117,spittake/0.0015191271923767435,beenthereshapedhistory/0.0007495364708667009,whatdididolastnight/0.0019190009738213898,eurekamoment/0.0018749476856114505,noplansnoprototypenobackup/0.001766676819981724,xraysparks/0.0023119331317801887,darthvaderclone/0.0017226268548460213,whathappenedtothemouse/0.0030789175174201914,alternatecontinuity/0.0027451877512337003,hehhehyousaidx/0.0016567983051768156
callforward/0.0010799691437387504,theempire/0.00343128629245117,vomitdiscretionshot/0.0015053169451733186,whatthehellisthataccent/0.0007495364708667009,writteninabsence/0.0019190009738213898,villainwithgoodpublicity/0.001858207081275634,proprecycling/0.0017057569296375266,bananapeel/0.0023119331317801887,fullcircleportraying/0.0016924053310767928,jerkwithaheartofgold/0.003046507859342084,bloodknight/0.0027451877512337003,zanyscheme/0.0016296376772230974
heknowstoomuch/0.001067112368218051,latexspacesuit/0.00334330459264473,modestytowel/0.0015053169451733186,parodyassistance/0.0007495364708667009,commutingonabus/0.0019190009738213898,troperworks/0.001824725872604001,clapyourhandsifyoubelieve/0.0017057569296375266,nonsingingvoice/0.0023119331317801887,unskilledbutstrong/0.0016924053310767928,justifiedtrope/0.0030303030303030303,shonendemographic/0.0027451877512337003,popculturalosmosis/0.0016296376772230974
chaoticevil/0.001067112368218051,lawofchromaticsuperiority/0.00334330459264473,shecleansupnicely/0.0014776964507664688,securitycling/0.0007495364708667009,thecasanova/0.0019190009738213898,nothingisthesameanymore/0.001824725872604001,futuremescaresme/0.001675296984465428,thicklineanimation/0.0023119331317801887,solastseason/0.0016924053310767928,heroicbsod/0.0030140982012639766,authoravatar/0.0027125069446713944,writewhoyouknow/0.0016296376772230974
bfg/0.001067112368218051,energyweapon/0.0032553228928382896,companioncube/0.0014776964507664688,trappedintvland/0.0007495364708667009,blufftheimpostor/0.001890359168241966,animationageghetto/0.0018079852682681844,geniusloci/0.001675296984465428,unsympatheticcomedyprotagonist/0.0023119331317801887,bringit/0.0016924053310767928,inuniverse/0.0029816885431858692,adaptationexpansion/0.0026798261381090886,canadaeh/0.0016296376772230974
talkingisafreeaction/0.001067112368218051,awesomemomentofcrowning/0.0032553228928382896,reallygetsaround/0.0014638862035630438,expospeakgag/0.0007363867082199166,dirtycop/0.001890359168241966,fanficsof20102014/0.001791244663932368,didyoujustflipoffcthulhu/0.0016448370392933293,shockinglyexpensivebill/0.0022674728792459542,catgirl/0.0016621838073075644,nicejobbreakingithero/0.0029654837141468156,stripperiffic/0.0026144645249844764,kavorkaman/0.001602477049269379
bashbrothers/0.001067112368218051,nukeem/0.0032553228928382896,pacmanfever/0.0014638862035630438,iwantmymommy/0.0007363867082199166,doublestandardrapefemaleonmale/0.001890359168241966,coolcar/0.0017745040595965515,goodthingyoucanheal/0.0016143770941212305,scoutout/0.0022674728792459542,blowyouaway/0.0016621838073075644,largeham/0.0029492788851077623,accidentalpervert/0.0026144645249844764,formerchildstar/0.0015753164213156607
creepyawesome/0.0010542555926973515,sciencefictionanimeandmanga/0.0031673411930318494,teammom/0.0014500759563596188,bluntyes/0.0007232369455731324,enhancebutton/0.0018617173626625423,fanficsof20152019/0.0017745040595965515,mayflydecemberromance/0.0016143770941212305,friendlytickletorture/0.0022230126267117198,flight/0.0016621838073075644,doesthisremindyouofanything/0.0029330740560687086,rescueromance/0.0025817837184221705,implausibledeniability/0.0015753164213156607
betterondvd/0.0010542555926973515,finalsolution/0.0031673411930318494,authorappeal/0.001436265709156194,rhetoricalquestionblunder/0.0007232369455731324,likeasontome/0.0018617173626625423,evilgloating/0.001757763455260735,selfdestructmechanism/0.0016143770941212305,meatovision/0.002134092121643251,canoncharacterallalong/0.0016621838073075644,hypocriticalhumor/0.0029006643979906013,femmefatale/0.0025817837184221705,swappedroles/0.0015753164213156607
scarsareforever/0.0010542555926973515,rocketpunch/0.0031673411930318494,comedicsociopathy/0.001436265709156194,knownothingknowitall/0.0007100871829263482,straightgay/0.0018330755570831185,doublesubversion/0.001757763455260735,timeabyss/0.0016143770941212305,unishment/0.002134092121643251,continuitycameo/0.0016621838073075644,moodwhiplash/0.0029006643979906013,thestarscream/0.0025491029118598647,thebeard/0.0015753164213156607
badassindistress/0.001041398817176652,thedeadhavenames/0.0031673411930318494,asideglance/0.001422455461952769,scoobydoohoax/0.0007100871829263482,casttherunnerup/0.0018044337515036948,midseasontwist/0.0017410228509249185,unobtainium/0.0016143770941212305,bedsheetghost/0.002134092121643251,multiarmedanddangerous/0.0016621838073075644,fanservice/0.0028844595689515476,theglomp/0.0025491029118598647,ihavethisfriend/0.0015481557933619426
finalbattle/0.001041398817176652,flawedprototype/0.0031673411930318494,ambiguousdisorder/0.001422455461952769,placeworsethandeath/0.0007100871829263482,diehardonanx/0.0018044337515036948,comicbookadaptation/0.0017410228509249185,alienworks/0.001583917148949132,somethingweforgot/0.002134092121643251,adaptationaljerkass/0.001631962283538336,bittersweetending/0.00285204991087344,defeatmeansfriendship/0.002516422105297559,cousinoliver/0.0015209951654082243
firstepisodetwist/0.001041398817176652,bigbadassbattlesequence/0.0031673411930318494,recurringextra/0.001408645214749344,stoutstrength/0.000696937420279564,californiadoubling/0.001775791945924271,lefthanging/0.001724282246589102,fightingfromtheinside/0.001583917148949132,stockyuck/0.002134092121643251,combattentacles/0.001631962283538336,actorallusion/0.002819640252795333,hopelesssuitor/0.002483741298735253,lamecomeback/0.0015209951654082243
coldbloodedtorture/0.001041398817176652,evilisbigger/0.003079359493225409,phrasecatcher/0.001394834967545919,notsoimaginaryfriend/0.000696937420279564,masterofdisguise/0.001775791945924271,fictionalvideogame/0.001724282246589102,zeerust/0.001583917148949132,jerkasstoone/0.002134092121643251,villainforgottolevelgrind/0.001631962283538336,curbstompbattle/0.0028034354237562796,goingcommando/0.002483741298735253,burgerfool/0.001493834537454506
ihaveyourwife/0.0010285420416559527,tankgoodness/0.003079359493225409,tuckerization/0.001394834967545919,theunsmile/0.000696937420279564,girlongirlishot/0.001775791945924271,artisticlicensebiology/0.001724282246589102,ourzombiesaredifferent/0.0015534572037770333,westernanimationofthe1990s/0.002134092121643251,heartisanawesomepower/0.001631962283538336,pun/0.002738616107600065,newpowersastheplotdemands/0.002483741298735253,bannedepisode/0.001493834537454506
survivorguilt/0.0010285420416559527,yourterroristsareourfreedomfighters/0.002991377793418969,murderthehypotenuse/0.0013810247203424942,misplacedwildlife/0.000696937420279564,rippedfromtheheadlines/0.001775791945924271,borrowedcatchphrase/0.001724282246589102,awizarddidit/0.0015534572037770333,icantbelieveitsnotheroin/0.002134092121643251,powercreeppowerseep/0.001631962283538336,shiptease/0.002738616107600065,hewhofightsmonsters/0.0024510604921729466,playingsick/0.001493834537454506
boringbutpractical/0.0010156852661352533,lensmanarmsrace/0.0029033960936125287,siblingyinyang/0.0013810247203424942,viewersaregeniuses/0.000696937420279564,unrequitedloveswitcheroo/0.001775791945924271,twodvisualsthreedeffects/0.0017075416422532854,kidfromthefuture/0.0015534572037770333,stockanimaldiet/0.0020896318691090167,pantheraawesome/0.001631962283538336,cloudcuckoolander/0.002722411278561011,thefriendswhoneverhang/0.0024510604921729466,discriminateandswitch/0.001493834537454506
badassinanicesuit/0.0010156852661352533,thatsanorder/0.0029033960936125287,therewasadoor/0.0013672144731390692,allthereinthescript/0.000696937420279564,meaningfulbackgroundevent/0.001775791945924271,identicalgrandson/0.0017075416422532854,deaderthandead/0.0015534572037770333,allanimalsaredogs/0.0020007113640405478,compressedadaptation/0.001631962283538336,toodumbtolive/0.0027062064495219575,lukeiamyourfather/0.002385698879048335,ambiguoussyntax/0.001493834537454506
nobledemon/0.0010156852661352533,empathydollshot/0.0029033960936125287,surroundedbyidiots/0.0013672144731390692,reportsofmydeathweregreatlyexaggerated/0.000696937420279564,nicetothewaiter/0.001775791945924271,denserandwackier/0.0017075416422532854,inferredholocaust/0.0015534572037770333,comictrio/0.0020007113640405478,physicalgod/0.001631962283538336,mythologygag/0.0027062064495219575,chivalrouspervert/0.002353018072486029,headtiltinglykinky/0.001493834537454506
dualwielding/0.0010156852661352533,militarybrat/0.0029033960936125287,riddlefortheages/0.0013672144731390692,dramaticthunder/0.0006837876576327798,destinationdefenestration/0.001775791945924271,catapultnightmare/0.0016908010379174689,theremnant/0.0015534572037770333,thatpoorcat/0.0020007113640405478,fantasyanimeandmanga/0.001631962283538336,leaningonthefourthwall/0.00267379679144385,namestoknowinanime/0.002353018072486029,flowersforalgernonsyndrome/0.001493834537454506
xanatosspeedchess/0.0010156852661352533,madeofindestructium/0.0029033960936125287,genkigirl/0.0013672144731390692,gutturalgrowler/0.0006837876576327798,bedmatereveal/0.0017471501403448473,neversaydie/0.0016908010379174689,interspeciesfriendship/0.0015229972586049345,simpletonvoice/0.0020007113640405478,strongastheyneedtobe/0.0016017407597691076,whatthehellhero/0.0026575919624047964,datingcatwoman/0.002353018072486029,longlist/0.001493834537454506
yourprincessisinanothercastle/0.0010028284906145539,wearestrugglingtogether/0.0029033960936125287,ambiguouslybrown/0.0013672144731390692,weirdcrossover/0.0006706378949859955,jurisdictionfriction/0.0017471501403448473,multipartepisode/0.0016908010379174689,humanoidabomination/0.0015229972586049345,pottyemergency/0.0019562511115063133,broughtdowntobadass/0.0016017407597691076,grandfinale/0.0026251823043266895,unsettlinggenderreveal/0.002353018072486029,wildteenparty/0.0014395132815470694
cerebusrollercoaster/0.0009899717150938544,theempath/0.0028154143938060885,passthepopcorn/0.0013534042259356442,themillstone/0.0006706378949859955,thebigboard/0.0017471501403448473,outofcharactermoment/0.0016740604335816524,fantasticdrug/0.0015229972586049345,cutawaygag/0.0019562511115063133,wingedhumanoid/0.0016017407597691076,heroicsacrifice/0.0026251823043266895,unlimitedwardrobe/0.002353018072486029,coveredingunge/0.0014395132815470694
plotarmor/0.0009899717150938544,hunterofmonsters/0.0028154143938060885,pilot/0.0013534042259356442,flatearthatheist/0.0006706378949859955,youneedtogetlaid/0.0017185083347654236,thisisreality/0.0016740604335816524,synchronization/0.0015229972586049345,embarrassingoldphoto/0.0019562511115063133,anotherdimension/0.0016017407597691076,putonabus/0.002608977475287636,comicbooktime/0.002353018072486029,comicallysmallbribe/0.0014395132815470694
chaoticgood/0.0009899717150938544,chromaticsuperiority/0.0028154143938060885,sensitiveguyandmanlyman/0.0013395939787322192,ohmygods/0.0006574881323392113,actorsharedbackground/0.0017185083347654236,canonwelding/0.0016740604335816524,theywouldcutyouup/0.0015229972586049345,outofholidayepisode/0.0019562511115063133,superpowerlottery/0.0016017407597691076,disproportionateretribution/0.0025603629881704748,babieseverafter/0.002353018072486029,itsbeendone/0.0014395132815470694
thebrute/0.0009899717150938544,vanhelsinghatecrimes/0.0028154143938060885,drillsergeantnasty/0.0013395939787322192,bizarrouniverse/0.000644338369692427,omniglot/0.0017185083347654236,cutshort/0.0016740604335816524,myfutureselfandme/0.0014925373134328358,lethallystupid/0.0019562511115063133,supermode/0.0016017407597691076,downerending/0.0025603629881704748,meetcute/0.002320337265923723,coldturkeysareeverywhere/0.0014395132815470694
dissonantserenity/0.0009899717150938544,smugsmiler/0.0028154143938060885,tokenminority/0.0013395939787322192,hitmedammit/0.000644338369692427,parentalincest/0.0016898665291859999,chewingthescenery/0.0016740604335816524,turnedagainsttheirmasters/0.0014925373134328358,happybirthdaytoyou/0.0019562511115063133,supernaturalgoldeyes/0.0016017407597691076,bigdamnheroes/0.0025603629881704748,pyrrhicvictory/0.002320337265923723,manipulativeediting/0.001412352653593351
smartpeopleplaychess/0.000977114939573155,cybercyclops/0.0028154143938060885,dopeslap/0.0013257837315287944,spinoffbabies/0.0006311886070456428,deliberatevaluesdissonance/0.0016898665291859999,unspokenplanguarantee/0.0016573198292458358,planetofhats/0.0014925373134328358,hisnamereallyisbarkeep/0.001911790858972079,fastballspecial/0.001571519235999879,thereveal/0.002544158159131421,adaptationdyejob/0.002287656459361417,gameshowappearance/0.001412352653593351
offwithhishead/0.000977114939573155,fallingintothecockpit/0.0027274326939996482,slashersmile/0.0013257837315287944,collectorofthestrange/0.0006311886070456428,hasatype/0.0016898665291859999,evilsoundsdeep/0.0016405792249100193,roboticreveal/0.0014925373134328358,primetimecartoon/0.001911790858972079,theworfbarrage/0.001571519235999879,karmahoudini/0.0025279533300923674,covertpervert/0.002287656459361417,cringecomedy/0.001412352653593351
gooutwithasmile/0.000977114939573155,colonelbadass/0.0027274326939996482,drowningmysorrows/0.0013257837315287944,coincidentalbroadcast/0.0006311886070456428,ifyoueverdoanythingtohurther/0.0016612247236065761,tenminuteretirement/0.0016238386205742028,thevirus/0.0014925373134328358,bigdamnmovie/0.001911790858972079,youcantthwartstageone/0.001571519235999879,blatantlies/0.0025279533300923674,oppositesattract/0.002287656459361417,acceptableethnictargets/0.0013851920256396327
psychoforhire/0.000977114939573155,generalfailure/0.002639450994193208,fancommunitynicknames/0.0013257837315287944,victoryisboring/0.0006311886070456428,buriedalive/0.0016612247236065761,doityourselfthemetune/0.0016238386205742028,youarenumber6/0.0014925373134328358,kindheartedsimpleton/0.001911790858972079,shesamaninjapan/0.001571519235999879,freezeframebonus/0.0024955436720142605,animeandmangaofthe2000s/0.002254975652799111,electiondayepisode/0.0013851920256396327
implacableman/0.000977114939573155,longlived/0.002639450994193208,relationshipupgrade/0.0013257837315287944,worthlesstreasuretwist/0.0006311886070456428,snarktosnarkcombat/0.0016612247236065761,captainersatz/0.0016238386205742028,acepilot/0.0014620773682607372,badlybatteredbabysitter/0.001911790858972079,empoweredbadassnormal/0.001571519235999879,hoistbyhisownpetard/0.0024793388429752068,allmenareperverts/0.002222294846236805,nobisexuals/0.0013580313976859146
elitemooks/0.000977114939573155,sociopathicsoldier/0.002639450994193208,laughingmad/0.0013119734843253694,mandatoryline/0.0006311886070456428,buscrash/0.0016612247236065761,bloodlesscarnage/0.0016238386205742028,bodysurf/0.0014620773682607372,eatthecamera/0.001911790858972079,bfs/0.0015412977122306506,onceperepisode/0.0024793388429752068,showsomeleg/0.002222294846236805,suicideascomedy/0.0013308707697321962
